episode,timestep,reward
1,16128,-671062157.9737
3,32256,-660033367.4051
5,48384,-657000270.9619
7,64512,-648500681.5644
9,80640,-614579384.0551
11,96768,-449661565.4335
13,112896,-442528318.6886
15,129024,-454633561.8269
17,145152,-441885046.2286
19,161280,-299605305.8815
21,177408,-272715037.6318
23,193536,-275580425.1725
25,209664,-270085706.7959
27,225792,-218802316.0402
29,241920,-158493780.8619
31,258048,-152796596.1816
33,274176,-158033446.552
35,290304,-150253738.5942
37,306432,-116061837.4703
39,322560,-110282924.2836
41,338688,-1925231224.9546
43,354816,-3742235926.3668
45,370944,-4081868310.0372
47,387072,-4425428552.1047
49,403200,-12773642791.9198
51,419328,-21118518168.813
53,435456,-23141489395.1267
55,451584,-25162947832.2839
57,467712,-27506299168.301
59,483840,-29849642508.1227
