Time,CRAH:DesPer 1:Des Heat Mass Flow [kg/s],CRAH:DesPer 1:Des Heat Cap [W],CRAH:DesPer 1:Des Cool Mass Flow [kg/s],CRAH:DesPer 1:Des Sens Cool Cap [W],CRAH:DesPer 1:Des Tot Cool Cap [W],CRAH:DesPer 2:Des Heat Mass Flow [kg/s],CRAH:DesPer 2:Des Heat Cap [W],CRAH:DesPer 2:Des Cool Mass Flow [kg/s],CRAH:DesPer 2:Des Sens Cool Cap [W],CRAH:DesPer 2:Des Tot Cool Cap [W],CRAH:DesPer 3:Des Heat Mass Flow [kg/s],CRAH:DesPer 3:Des Heat Cap [W],CRAH:DesPer 3:Des Cool Mass Flow [kg/s],CRAH:DesPer 3:Des Sens Cool Cap [W],CRAH:DesPer 3:Des Tot Cool Cap [W],CRAH:DesPer 4:Des Heat Mass Flow [kg/s],CRAH:DesPer 4:Des Heat Cap [W],CRAH:DesPer 4:Des Cool Mass Flow [kg/s],CRAH:DesPer 4:Des Sens Cool Cap [W],CRAH:DesPer 4:Des Tot Cool Cap [W],CRAH:DesPer 5:Des Heat Mass Flow [kg/s],CRAH:DesPer 5:Des Heat Cap [W],CRAH:DesPer 5:Des Cool Mass Flow [kg/s],CRAH:DesPer 5:Des Sens Cool Cap [W],CRAH:DesPer 5:Des Tot Cool Cap [W],CRAH:DesPer 6:Des Heat Mass Flow [kg/s],CRAH:DesPer 6:Des Heat Cap [W],CRAH:DesPer 6:Des Cool Mass Flow [kg/s],CRAH:DesPer 6:Des Sens Cool Cap [W],CRAH:DesPer 6:Des Tot Cool Cap [W],CRAH:DesPer 7:Des Heat Mass Flow [kg/s],CRAH:DesPer 7:Des Heat Cap [W],CRAH:DesPer 7:Des Cool Mass Flow [kg/s],CRAH:DesPer 7:Des Sens Cool Cap [W],CRAH:DesPer 7:Des Tot Cool Cap [W],CRAH:DesPer 8:Des Heat Mass Flow [kg/s],CRAH:DesPer 8:Des Heat Cap [W],CRAH:DesPer 8:Des Cool Mass Flow [kg/s],CRAH:DesPer 8:Des Sens Cool Cap [W],CRAH:DesPer 8:Des Tot Cool Cap [W],CRAH:DesPer 9:Des Heat Mass Flow [kg/s],CRAH:DesPer 9:Des Heat Cap [W],CRAH:DesPer 9:Des Cool Mass Flow [kg/s],CRAH:DesPer 9:Des Sens Cool Cap [W],CRAH:DesPer 9:Des Tot Cool Cap [W]
00:05:00,6.486025E-02,0.000000E+00,1.886476E+02,4.216808E+05,4.288168E+05,6.486025E-02,0.000000E+00,1.882326E+02,4.204674E+05,4.277244E+05,6.486025E-02,0.000000E+00,1.884897E+02,4.212109E+05,4.287203E+05,6.486025E-02,0.000000E+00,1.884704E+02,4.211548E+05,4.286688E+05,6.486025E-02,2.338348E+03,1.831290E+02,4.064474E+05,4.115154E+05,6.486025E-02,1.367235E+03,1.847783E+02,4.111014E+05,4.164775E+05,6.486025E-02,2.312278E+03,1.831518E+02,4.065243E+05,4.115731E+05,6.486025E-02,0.000000E+00,1.887631E+02,4.219976E+05,4.297489E+05,6.486025E-02,2.540392E+03,1.828585E+02,4.056412E+05,4.106774E+05
00:10:00,6.486025E-02,0.000000E+00,1.886332E+02,4.216459E+05,4.287813E+05,6.486025E-02,0.000000E+00,1.882179E+02,4.204317E+05,4.276827E+05,6.486025E-02,0.000000E+00,1.884753E+02,4.211759E+05,4.286847E+05,6.486025E-02,0.000000E+00,1.884560E+02,4.211198E+05,4.286333E+05,6.486025E-02,2.338348E+03,1.831290E+02,4.064474E+05,4.115155E+05,6.486025E-02,1.367235E+03,1.847783E+02,4.111014E+05,4.164775E+05,6.486025E-02,2.312278E+03,1.831518E+02,4.065243E+05,4.115731E+05,6.486025E-02,0.000000E+00,1.887486E+02,4.219616E+05,4.297124E+05,6.486025E-02,2.540392E+03,1.828585E+02,4.056412E+05,4.106774E+05
00:15:00,6.486025E-02,0.000000E+00,1.886191E+02,4.216117E+05,4.287465E+05,6.486025E-02,0.000000E+00,1.882034E+02,4.203967E+05,4.276417E+05,6.486025E-02,0.000000E+00,1.884611E+02,4.211416E+05,4.286498E+05,6.486025E-02,0.000000E+00,1.884418E+02,4.210854E+05,4.285983E+05,6.486025E-02,2.338348E+03,1.831290E+02,4.064475E+05,4.115155E+05,6.486025E-02,1.367235E+03,1.847783E+02,4.111014E+05,4.164774E+05,6.486025E-02,2.312278E+03,1.831518E+02,4.065243E+05,4.115731E+05,6.486025E-02,0.000000E+00,1.887343E+02,4.219262E+05,4.296764E+05,6.486025E-02,2.540392E+03,1.828585E+02,4.056412E+05,4.106774E+05
00:20:00,6.486025E-02,0.000000E+00,1.886052E+02,4.215780E+05,4.287123E+05,6.486025E-02,0.000000E+00,1.881892E+02,4.203623E+05,4.276013E+05,6.486025E-02,0.000000E+00,1.884472E+02,4.211078E+05,4.286155E+05,6.486025E-02,0.000000E+00,1.884279E+02,4.210516E+05,4.285640E+05,6.486025E-02,2.338348E+03,1.831290E+02,4.064475E+05,4.115155E+05,6.486025E-02,1.367235E+03,1.847783E+02,4.111014E+05,4.164774E+05,6.486025E-02,2.312278E+03,1.831518E+02,4.065243E+05,4.115731E+05,6.486025E-02,0.000000E+00,1.887202E+02,4.218914E+05,4.296410E+05,6.486025E-02,2.540392E+03,1.828585E+02,4.056412E+05,4.106774E+05
00:25:00,6.486025E-02,0.000000E+00,1.885916E+02,4.215449E+05,4.286787E+05,6.486025E-02,0.000000E+00,1.881753E+02,4.203285E+05,4.275615E+05,6.486025E-02,0.000000E+00,1.884336E+02,4.210746E+05,4.285818E+05,6.486025E-02,0.000000E+00,1.884142E+02,4.210184E+05,4.285303E+05,6.486025E-02,2.338348E+03,1.831290E+02,4.064475E+05,4.115155E+05,6.486025E-02,1.367235E+03,1.847783E+02,4.111014E+05,4.164774E+05,6.486025E-02,2.312278E+03,1.831518E+02,4.065243E+05,4.115731E+05,6.486025E-02,0.000000E+00,1.887064E+02,4.218572E+05,4.296062E+05,6.486025E-02,2.540392E+03,1.828585E+02,4.056413E+05,4.106774E+05
00:30:00,6.486025E-02,0.000000E+00,1.885783E+02,4.215124E+05,4.286457E+05,6.486025E-02,0.000000E+00,1.881616E+02,4.202953E+05,4.275223E+05,6.486025E-02,0.000000E+00,1.884202E+02,4.210420E+05,4.285487E+05,6.486025E-02,0.000000E+00,1.884008E+02,4.209858E+05,4.284972E+05,6.486025E-02,2.338348E+03,1.831290E+02,4.064475E+05,4.115155E+05,6.486025E-02,1.367235E+03,1.847783E+02,4.111014E+05,4.164774E+05,6.486025E-02,2.312278E+03,1.831518E+02,4.065243E+05,4.115731E+05,6.486025E-02,0.000000E+00,1.886929E+02,4.218235E+05,4.295720E+05,6.486025E-02,2.540392E+03,1.828585E+02,4.056413E+05,4.106774E+05
00:35:00,6.486025E-02,0.000000E+00,1.885652E+02,4.214805E+05,4.286132E+05,6.486025E-02,0.000000E+00,1.881482E+02,4.202626E+05,4.274837E+05,6.486025E-02,0.000000E+00,1.884070E+02,4.210100E+05,4.285161E+05,6.486025E-02,0.000000E+00,1.883877E+02,4.209538E+05,4.284646E+05,6.486025E-02,2.338348E+03,1.831290E+02,4.064475E+05,4.115155E+05,6.486025E-02,1.367235E+03,1.847783E+02,4.111014E+05,4.164774E+05,6.486025E-02,2.312278E+03,1.831518E+02,4.065243E+05,4.115731E+05,6.486025E-02,0.000000E+00,1.886796E+02,4.217903E+05,4.295383E+05,6.486025E-02,2.540392E+03,1.828585E+02,4.056413E+05,4.106774E+05
00:40:00,6.486025E-02,0.000000E+00,1.885523E+02,4.214491E+05,4.285813E+05,6.486025E-02,0.000000E+00,1.881350E+02,4.202305E+05,4.274457E+05,6.486025E-02,0.000000E+00,1.883941E+02,4.209785E+05,4.284841E+05,6.486025E-02,0.000000E+00,1.883748E+02,4.209223E+05,4.284326E+05,6.486025E-02,2.338348E+03,1.831290E+02,4.064475E+05,4.115155E+05,6.486025E-02,1.367235E+03,1.847783E+02,4.111014E+05,4.164774E+05,6.486025E-02,2.312278E+03,1.831518E+02,4.065243E+05,4.115731E+05,6.486025E-02,0.000000E+00,1.886665E+02,4.217576E+05,4.295051E+05,6.486025E-02,2.540392E+03,1.828585E+02,4.056413E+05,4.106774E+05
00:45:00,6.486025E-02,0.000000E+00,1.885397E+02,4.214182E+05,4.285499E+05,6.486025E-02,0.000000E+00,1.881221E+02,4.201989E+05,4.274082E+05,6.486025E-02,0.000000E+00,1.883815E+02,4.209476E+05,4.284527E+05,6.486025E-02,0.000000E+00,1.883621E+02,4.208913E+05,4.284011E+05,6.486025E-02,2.338348E+03,1.831290E+02,4.064475E+05,4.115155E+05,6.486025E-02,1.367235E+03,1.847783E+02,4.111014E+05,4.164774E+05,6.486025E-02,2.312278E+03,1.831518E+02,4.065243E+05,4.115731E+05,6.486025E-02,0.000000E+00,1.886537E+02,4.217255E+05,4.294724E+05,6.486025E-02,2.540392E+03,1.828585E+02,4.056413E+05,4.106774E+05
00:50:00,6.486025E-02,0.000000E+00,1.885273E+02,4.213878E+05,4.285191E+05,6.486025E-02,0.000000E+00,1.881094E+02,4.201678E+05,4.273713E+05,6.486025E-02,0.000000E+00,1.883691E+02,4.209171E+05,4.284218E+05,6.486025E-02,0.000000E+00,1.883497E+02,4.208609E+05,4.283702E+05,6.486025E-02,2.338348E+03,1.831290E+02,4.064475E+05,4.115155E+05,6.486025E-02,1.367235E+03,1.847783E+02,4.111014E+05,4.164774E+05,6.486025E-02,2.312278E+03,1.831518E+02,4.065243E+05,4.115731E+05,6.486025E-02,0.000000E+00,1.886411E+02,4.216939E+05,4.294403E+05,6.486025E-02,2.540392E+03,1.828585E+02,4.056413E+05,4.106774E+05
