Time,CRAH:DesPer 1:Des Heat Mass Flow [kg/s],CRAH:DesPer 1:Des Heat Cap [W],CRAH:DesPer 1:Des Cool Mass Flow [kg/s],CRAH:DesPer 1:Des Sens Cool Cap [W],CRAH:DesPer 1:Des Tot Cool Cap [W],CRAH:DesPer 2:Des Heat Mass Flow [kg/s],CRAH:DesPer 2:Des Heat Cap [W],CRAH:DesPer 2:Des Cool Mass Flow [kg/s],CRAH:DesPer 2:Des Sens Cool Cap [W],CRAH:DesPer 2:Des Tot Cool Cap [W],CRAH:DesPer 3:Des Heat Mass Flow [kg/s],CRAH:DesPer 3:Des Heat Cap [W],CRAH:DesPer 3:Des Cool Mass Flow [kg/s],CRAH:DesPer 3:Des Sens Cool Cap [W],CRAH:DesPer 3:Des Tot Cool Cap [W],CRAH:DesPer 4:Des Heat Mass Flow [kg/s],CRAH:DesPer 4:Des Heat Cap [W],CRAH:DesPer 4:Des Cool Mass Flow [kg/s],CRAH:DesPer 4:Des Sens Cool Cap [W],CRAH:DesPer 4:Des Tot Cool Cap [W],CRAH:DesPer 5:Des Heat Mass Flow [kg/s],CRAH:DesPer 5:Des Heat Cap [W],CRAH:DesPer 5:Des Cool Mass Flow [kg/s],CRAH:DesPer 5:Des Sens Cool Cap [W],CRAH:DesPer 5:Des Tot Cool Cap [W],CRAH:DesPer 6:Des Heat Mass Flow [kg/s],CRAH:DesPer 6:Des Heat Cap [W],CRAH:DesPer 6:Des Cool Mass Flow [kg/s],CRAH:DesPer 6:Des Sens Cool Cap [W],CRAH:DesPer 6:Des Tot Cool Cap [W],CRAH:DesPer 7:Des Heat Mass Flow [kg/s],CRAH:DesPer 7:Des Heat Cap [W],CRAH:DesPer 7:Des Cool Mass Flow [kg/s],CRAH:DesPer 7:Des Sens Cool Cap [W],CRAH:DesPer 7:Des Tot Cool Cap [W],CRAH:DesPer 8:Des Heat Mass Flow [kg/s],CRAH:DesPer 8:Des Heat Cap [W],CRAH:DesPer 8:Des Cool Mass Flow [kg/s],CRAH:DesPer 8:Des Sens Cool Cap [W],CRAH:DesPer 8:Des Tot Cool Cap [W],CRAH:DesPer 9:Des Heat Mass Flow [kg/s],CRAH:DesPer 9:Des Heat Cap [W],CRAH:DesPer 9:Des Cool Mass Flow [kg/s],CRAH:DesPer 9:Des Sens Cool Cap [W],CRAH:DesPer 9:Des Tot Cool Cap [W]
00:12:00,6.486025E-02,8.802326E+02,7.553092E+01,5.062137E+05,5.146785E+05,6.486025E-02,1.167004E+03,7.533820E+01,5.046359E+05,5.132087E+05,6.486025E-02,9.975483E+02,7.545643E+01,5.055974E+05,5.144341E+05,6.486025E-02,1.010583E+03,7.544756E+01,5.055250E+05,5.143661E+05,6.486025E-02,3.786690E+03,7.299730E+01,4.863344E+05,4.926543E+05,6.486025E-02,2.815576E+03,7.374528E+01,4.923163E+05,4.989655E+05,6.486025E-02,3.760620E+03,7.300749E+01,4.864287E+05,4.927296E+05,6.486025E-02,8.224612E+02,7.555950E+01,5.064630E+05,5.155434E+05,6.486025E-02,3.988733E+03,7.285547E+01,4.851823E+05,4.914648E+05
00:24:00,6.486025E-02,8.867241E+02,7.551548E+01,5.061038E+05,5.145668E+05,6.486025E-02,1.173496E+03,7.532146E+01,5.045173E+05,5.130750E+05,6.486025E-02,1.004040E+03,7.544000E+01,5.054808E+05,5.143156E+05,6.486025E-02,1.017075E+03,7.543112E+01,5.054083E+05,5.142476E+05,6.486025E-02,3.786690E+03,7.299653E+01,4.863292E+05,4.926490E+05,6.486025E-02,2.815576E+03,7.374513E+01,4.923153E+05,4.989645E+05,6.486025E-02,3.760620E+03,7.300671E+01,4.864235E+05,4.927243E+05,6.486025E-02,8.307515E+02,7.554393E+01,5.063504E+05,5.154290E+05,6.486025E-02,3.988733E+03,7.285467E+01,4.851769E+05,4.914594E+05
00:36:00,6.486025E-02,8.932156E+02,7.550074E+01,5.059986E+05,5.144599E+05,6.486025E-02,1.179987E+03,7.530544E+01,5.044035E+05,5.129464E+05,6.486025E-02,1.010531E+03,7.542427E+01,5.053690E+05,5.142020E+05,6.486025E-02,1.023566E+03,7.541539E+01,5.052965E+05,5.141340E+05,6.486025E-02,3.786690E+03,7.299576E+01,4.863241E+05,4.926438E+05,6.486025E-02,2.815576E+03,7.374498E+01,4.923142E+05,4.989635E+05,6.486025E-02,3.760620E+03,7.300594E+01,4.864184E+05,4.927191E+05,6.486025E-02,8.390418E+02,7.552902E+01,5.062422E+05,5.153190E+05,6.486025E-02,3.988733E+03,7.285389E+01,4.851716E+05,4.914540E+05
00:48:00,6.486025E-02,8.997070E+02,7.548662E+01,5.058975E+05,5.143572E+05,6.486025E-02,1.186479E+03,7.529010E+01,5.042942E+05,5.128224E+05,6.486025E-02,1.017023E+03,7.540919E+01,5.052615E+05,5.140928E+05,6.486025E-02,1.030058E+03,7.540030E+01,5.051889E+05,5.140247E+05,6.486025E-02,3.786690E+03,7.299501E+01,4.863190E+05,4.926386E+05,6.486025E-02,2.815576E+03,7.374483E+01,4.923132E+05,4.989624E+05,6.486025E-02,3.760620E+03,7.300519E+01,4.864133E+05,4.927139E+05,6.486025E-02,8.473321E+02,7.551473E+01,5.061382E+05,5.152134E+05,6.486025E-02,3.988733E+03,7.285311E+01,4.851664E+05,4.914487E+05
01:00:00,6.486025E-02,9.061985E+02,7.547305E+01,5.058001E+05,5.142582E+05,6.486025E-02,1.192970E+03,7.527535E+01,5.041889E+05,5.127026E+05,6.486025E-02,1.023514E+03,7.539467E+01,5.051577E+05,5.139874E+05,6.486025E-02,1.036549E+03,7.538578E+01,5.050851E+05,5.139192E+05,6.486025E-02,3.786690E+03,7.299426E+01,4.863141E+05,4.926336E+05,6.486025E-02,2.815576E+03,7.374468E+01,4.923123E+05,4.989614E+05,6.486025E-02,3.760620E+03,7.300445E+01,4.864083E+05,4.927089E+05,6.486025E-02,8.556224E+02,7.550100E+01,5.060379E+05,5.151115E+05,6.486025E-02,3.988733E+03,7.285235E+01,4.851613E+05,4.914435E+05
01:12:00,6.486025E-02,9.105262E+02,7.546019E+01,5.057096E+05,5.141663E+05,6.486025E-02,1.197298E+03,7.526229E+01,5.040971E+05,5.126008E+05,6.486025E-02,1.027842E+03,7.538186E+01,5.050676E+05,5.138958E+05,6.486025E-02,1.040877E+03,7.537297E+01,5.049950E+05,5.138277E+05,6.486025E-02,3.786690E+03,7.299433E+01,4.863145E+05,4.926341E+05,6.486025E-02,2.815576E+03,7.374469E+01,4.923124E+05,4.989615E+05,6.486025E-02,3.760620E+03,7.300451E+01,4.864088E+05,4.927093E+05,6.486025E-02,8.611493E+02,7.548796E+01,5.059450E+05,5.150171E+05,6.486025E-02,3.988733E+03,7.285242E+01,4.851618E+05,4.914440E+05
01:24:00,6.486025E-02,9.148538E+02,7.544785E+01,5.056226E+05,5.140779E+05,6.486025E-02,1.201625E+03,7.524974E+01,5.040087E+05,5.125025E+05,6.486025E-02,1.032169E+03,7.536958E+01,5.049810E+05,5.138078E+05,6.486025E-02,1.045205E+03,7.536068E+01,5.049083E+05,5.137396E+05,6.486025E-02,3.786690E+03,7.299440E+01,4.863150E+05,4.926345E+05,6.486025E-02,2.815576E+03,7.374471E+01,4.923124E+05,4.989616E+05,6.486025E-02,3.760620E+03,7.300458E+01,4.864092E+05,4.927098E+05,6.486025E-02,8.666762E+02,7.547541E+01,5.058555E+05,5.149261E+05,6.486025E-02,3.988733E+03,7.285248E+01,4.851622E+05,4.914445E+05
01:36:00,6.486025E-02,9.191814E+02,7.543601E+01,5.055390E+05,5.139930E+05,6.486025E-02,1.205953E+03,7.523768E+01,5.039236E+05,5.124076E+05,6.486025E-02,1.036497E+03,7.535780E+01,5.048977E+05,5.137232E+05,6.486025E-02,1.049532E+03,7.534889E+01,5.048250E+05,5.136517E+05,6.486025E-02,3.786690E+03,7.299446E+01,4.863154E+05,4.926350E+05,6.486025E-02,2.815576E+03,7.374472E+01,4.923125E+05,4.989617E+05,6.486025E-02,3.760620E+03,7.300465E+01,4.864097E+05,4.927102E+05,6.486025E-02,8.722030E+02,7.546336E+01,5.057692E+05,5.148385E+05,6.486025E-02,3.988733E+03,7.285255E+01,4.851627E+05,4.914449E+05
01:48:00,6.486025E-02,9.235091E+02,7.542465E+01,5.054585E+05,5.139113E+05,6.486025E-02,1.210281E+03,7.522611E+01,5.038418E+05,5.123160E+05,6.486025E-02,1.040825E+03,7.534649E+01,5.048177E+05,5.136419E+05,6.486025E-02,1.053860E+03,7.533759E+01,5.047450E+05,5.135606E+05,6.486025E-02,3.786690E+03,7.299453E+01,4.863158E+05,4.926354E+05,6.486025E-02,2.815576E+03,7.374473E+01,4.923126E+05,4.989618E+05,6.486025E-02,3.760620E+03,7.300471E+01,4.864101E+05,4.927107E+05,6.486025E-02,8.777299E+02,7.545180E+01,5.056862E+05,5.147542E+05,6.486025E-02,3.988733E+03,7.285262E+01,4.851631E+05,4.914454E+05
02:00:00,6.486025E-02,9.278367E+02,7.541375E+01,5.053812E+05,5.138327E+05,6.486025E-02,1.214608E+03,7.521501E+01,5.037631E+05,5.122276E+05,6.486025E-02,1.045152E+03,7.533566E+01,5.047407E+05,5.135638E+05,6.486025E-02,1.058187E+03,7.532674E+01,5.046680E+05,5.134728E+05,6.486025E-02,3.786690E+03,7.299459E+01,4.863163E+05,4.926358E+05,6.486025E-02,2.815576E+03,7.374475E+01,4.923127E+05,4.989619E+05,6.486025E-02,3.760620E+03,7.300478E+01,4.864106E+05,4.927111E+05,6.486025E-02,8.832568E+02,7.544071E+01,5.056064E+05,5.146731E+05,6.486025E-02,3.988733E+03,7.285268E+01,4.851636E+05,4.914458E+05
