episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,1,0,0,288,288,288,288,288,288,19.543645009253126,19.543645009253126,288,288,288,False,0,1,7314d_00000,2023-07-20_16-29-48,1689859788,14.738856077194214,14.738856077194214,99086,Air-Bulat-2,127.0.0.1,14.738856077194214,1,288,288,288,288,nan,nan,nan,nan,0,0,[],[],14736.225,14346.311,0.958,300562.217,387.071,744.049,1.416,288,288,288,288,19.25714285714286,75.40000000000002,[],[],64.0,60.5,59.5,0.0,1.9798449580868085,0.20000000000000004,0.00011500000000000003,10000.272477213543,0.27017023613055546,10000.0,-2.9802322387695312e-08,0.011677314375265277,4.369749240080515,0.0
nan,nan,nan,nan,0,0,1,0,0,576,576,576,576,288,288,299.39621855862663,299.39621855862663,576,288,576,False,0,2,7314d_00000,2023-07-20_16-29-49,1689859789,0.9638609886169434,15.702717065811157,99086,Air-Bulat-2,127.0.0.1,15.702717065811157,2,576,576,576,576,nan,nan,nan,nan,0,0,[],[],7849.072,7480.891,0.622,462908.432,365.991,786.904,1.204,576,576,576,576,39.150000000000006,76.1,[],[],64.0,180.5,59.5,0.0,2.3142375240723294,0.10000000000000002,0.0001177595628415301,10000.177799479166,0.17651660181581974,10000.0,-2.9802322387695312e-08,0.013631431087136103,4.465726248423258,0.0
nan,nan,nan,nan,0,0,1,0,0,864,864,864,864,288,288,302.04199024331695,302.04199024331695,864,288,864,False,0,3,7314d_00000,2023-07-20_16-29-50,1689859790,0.955294132232666,16.658011198043823,99086,Air-Bulat-2,127.0.0.1,16.658011198043823,3,864,864,864,864,nan,nan,nan,nan,0,0,[],[],5550.546,5195.728,0.512,562714.077,352.872,816.16,1.101,864,864,864,864,30.6,76.3,[],[],64.0,300.5,59.5,0.0,1.2146623492240907,0.05000000000000001,0.00012051912568306007,10000.277766927084,0.2765497459098697,10000.0,2.9802322387695312e-08,0.02592698828060151,4.468048111597697,0.0
nan,nan,nan,nan,0,0,1,0,0,1152,1152,1152,1152,288,288,296.8939993943946,296.8939993943946,1152,288,1152,False,0,4,7314d_00000,2023-07-20_16-29-51,1689859791,0.9721829891204834,17.630194187164307,99086,Air-Bulat-2,127.0.0.1,17.630194187164307,4,1152,1152,1152,1152,nan,nan,nan,nan,0,0,[],[],4405.416,4054.976,0.45,640657.413,348.628,826.096,1.05,1152,1152,1152,1152,21.75,76.4,[],[],64.0,420.5,59.5,0.0,1.7953908368945122,0.025000000000000005,0.00012327868852459015,10000.173046875,0.17235597875745345,10000.0,-8.940696716308594e-08,0.026423966817856186,4.492904031276703,0.0
nan,nan,nan,nan,0,0,1,0,0,1440,1440,1440,1440,288,288,293.2013960543188,293.2013960543188,1440,288,1440,False,0,5,7314d_00000,2023-07-20_16-29-52,1689859792,0.9841148853302002,18.614309072494507,99086,Air-Bulat-2,127.0.0.1,18.614309072494507,5,1440,1440,1440,1440,nan,nan,nan,nan,0,0,[],[],3720.781,3373.496,0.415,693591.842,345.568,833.411,1.002,1440,1440,1440,1440,17.4,76.2,[],[],64.0,540.5,59.5,0.0,1.6729163631796837,0.012500000000000002,0.0001260382513661202,10000.214794921874,0.2142710787554582,10000.0,0.0,0.04383943640023062,4.670467046896617,0.0
nan,nan,nan,nan,0,0,1,0,0,1728,1728,1728,1728,288,288,294.8904015819154,294.8904015819154,1728,288,1728,False,0,6,7314d_00000,2023-07-20_16-29-53,1689859793,0.9785299301147461,19.592839002609253,99086,Air-Bulat-2,127.0.0.1,19.592839002609253,6,1728,1728,1728,1728,nan,nan,nan,nan,0,0,[],[],3263.42,2918.017,0.391,736785.332,343.737,837.851,0.974,1728,1728,1728,1728,16.1,75.9,[],[],64.0,660.5,59.5,0.0,1.5405283997456232,0.006250000000000001,0.00012879781420765027,10000.168334960938,0.16780306487344204,10000.0,8.493661880493164e-07,0.12164957668307304,5.01984326839447,0.0
nan,nan,nan,nan,0,0,1,0,0,2016,2016,2016,2016,288,288,294.4405070103806,294.4405070103806,2016,288,2016,False,0,7,7314d_00000,2023-07-20_16-29-54,1689859794,0.9798412322998047,20.572680234909058,99086,Air-Bulat-2,127.0.0.1,20.572680234909058,7,2016,2016,2016,2016,nan,nan,nan,nan,0,0,[],[],2936.947,2593.864,0.374,770803.725,341.461,843.434,0.954,2016,2016,2016,2016,18.85,76.0,[],[],64.0,780.5,59.5,0.0,1.8961921115716298,0.006250000000000001,0.00013155737704918034,10000.243522135417,0.24324468051393827,10000.0,0.0,0.060104396995302525,4.95903305610021,0.0
nan,nan,nan,nan,0,0,1,0,0,2304,2304,2304,2304,288,288,293.573502646017,293.573502646017,2304,288,2304,False,0,8,7314d_00000,2023-07-20_16-29-55,1689859795,0.9828009605407715,21.55548119544983,99086,Air-Bulat-2,127.0.0.1,21.55548119544983,8,2304,2304,2304,2304,nan,nan,nan,nan,0,0,[],[],2692.453,2351.317,0.364,791909.892,339.547,848.189,0.938,2304,2304,2304,2304,17.7,76.1,[],[],64.0,900.5,59.5,0.0,2.4565346310536067,0.006250000000000001,0.00013431693989071042,10000.203971354167,0.20387261311213176,10000.0,-4.470348358154297e-08,0.0352400397195504,5.124062506357829,0.0
nan,nan,nan,nan,0,0,1,0,0,2592,2592,2592,2592,288,288,288.2472671669165,288.2472671669165,2592,288,2592,False,0,9,7314d_00000,2023-07-20_16-29-56,1689859796,1.0008659362792969,22.556347131729126,99086,Air-Bulat-2,127.0.0.1,22.556347131729126,9,2592,2592,2592,2592,nan,nan,nan,nan,0,0,[],[],2504.305,2164.211,0.353,816556.705,338.536,850.722,0.922,2592,2592,2592,2592,16.05,76.1,[],[],64.0,1020.5,59.5,0.0,2.3953919341166814,0.0031250000000000006,0.00013707650273224044,10000.230411783854,0.2304405209918817,10000.0,0.0,0.012539330390912947,5.089391521612803,0.0
nan,nan,nan,nan,0,0,1,0,0,2880,2880,2880,2880,288,288,286.78892767738773,286.78892767738773,2880,288,2880,False,0,10,7314d_00000,2023-07-20_16-29-57,1689859797,1.0060672760009766,23.562414407730103,99086,Air-Bulat-2,127.0.0.1,23.562414407730103,10,2880,2880,2880,2880,nan,nan,nan,nan,0,0,[],[],2354.295,2014.736,0.344,836884.822,338.026,852.006,0.91,2880,2880,2880,2880,22.6,75.8,[],[],64.0,1140.5,59.5,0.0,2.5740808325509232,0.0015625000000000003,0.0001398360655737705,10000.203295898438,0.20321298241615296,10000.0,-1.4901161193847656e-07,0.037438603412010704,5.276103178660075,0.0
