episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,1,0,0,288,288,288,288,288,288,19.819924574129722,19.819924574129722,288,288,288,False,0,1,9169e_00000,2023-07-20_16-30-39,1689859839,14.532883167266846,14.532883167266846,99139,Air-Bulat-2,127.0.0.1,14.532883167266846,1,288,288,288,288,nan,nan,nan,nan,0,0,[],[],14530.785,14182.612,0.968,297526.983,345.465,833.659,1.231,288,288,288,288,19.266666666666666,75.4904761904762,[],[],64.0,60.5,59.5,0.0,2.6027528906861943,0.20000000000000004,0.00011500000000000003,10000.201741536459,0.19974390628437202,10000.0,0.0,0.010273700918090383,4.237103132406871,0.0
nan,nan,nan,nan,0,0,1,0,0,576,576,576,576,288,288,310.0021254334208,310.0021254334208,576,288,576,False,0,2,9169e_00000,2023-07-20_16-30-40,1689859840,0.9309277534484863,15.463810920715332,99139,Air-Bulat-2,127.0.0.1,15.463810920715332,2,576,576,576,576,nan,nan,nan,nan,0,0,[],[],7729.896,7391.709,0.623,462288.386,336.007,857.125,1.178,576,576,576,576,24.8,75.55,[],[],64.0,180.5,59.5,0.0,2.1018057716389498,0.10000000000000002,0.0001177595628415301,10000.193123372395,0.19106982828428348,10000.0,-1.043081283569336e-07,0.021206103384368714,4.225715855757396,0.0
nan,nan,nan,nan,0,0,1,0,0,864,864,864,864,288,288,294.7690772979703,294.7690772979703,864,288,864,False,0,3,9169e_00000,2023-07-20_16-30-41,1689859841,0.9789280891418457,16.442739009857178,99139,Air-Bulat-2,127.0.0.1,16.442739009857178,3,864,864,864,864,nan,nan,nan,nan,0,0,[],[],5478.937,5144.422,0.502,574034.319,332.59,865.931,1.09,864,864,864,864,16.8,75.7,[],[],64.0,300.5,59.5,0.0,2.282472291588783,0.05000000000000001,0.00012051912568306007,10000.147867838541,0.14696965664625167,10000.0,0.0,0.01849847871659837,4.47274569272995,0.0
nan,nan,nan,nan,0,0,1,0,0,1152,1152,1152,1152,288,288,292.9752590116556,292.9752590116556,1152,288,1152,False,0,4,9169e_00000,2023-07-20_16-30-42,1689859842,0.9848740100860596,17.427613019943237,99139,Air-Bulat-2,127.0.0.1,17.427613019943237,4,1152,1152,1152,1152,nan,nan,nan,nan,0,0,[],[],4354.952,4022.213,0.443,650489.796,330.964,870.185,1.023,1152,1152,1152,1152,17.1,75.8,[],[],64.0,420.5,59.5,0.0,1.6719533984859785,0.025000000000000005,0.00012327868852459015,10000.238981119792,0.2387461523214976,10000.0,-2.9802322387695312e-08,0.015397897989229728,4.295655258496603,0.0
nan,nan,nan,nan,0,0,1,0,0,1440,1440,1440,1440,288,288,291.853100197394,291.853100197394,1440,288,1440,False,0,5,9169e_00000,2023-07-20_16-30-43,1689859843,0.9885711669921875,18.416184186935425,99139,Air-Bulat-2,127.0.0.1,18.416184186935425,5,1440,1440,1440,1440,nan,nan,nan,nan,0,0,[],[],3681.318,3349.068,0.407,707484.803,330.564,871.238,0.982,1440,1440,1440,1440,15.8,75.75,[],[],64.0,540.5,59.5,0.0,2.12321917762359,0.012500000000000002,0.0001260382513661202,10000.196451822916,0.19601859773198763,10000.0,2.9802322387695312e-08,0.03496303826159435,4.589931929111481,0.0
nan,nan,nan,nan,0,0,1,0,0,1728,1728,1728,1728,288,288,306.68897649790085,306.68897649790085,1728,288,1728,False,0,6,9169e_00000,2023-07-20_16-30-43,1689859843,0.9408769607543945,19.35706114768982,99139,Air-Bulat-2,127.0.0.1,19.35706114768982,6,1728,1728,1728,1728,nan,nan,nan,nan,0,0,[],[],3224.272,2892.766,0.383,752154.142,329.878,873.05,0.957,1728,1728,1728,1728,21.2,75.7,[],[],64.0,660.5,59.5,0.0,1.6855272923906643,0.006250000000000001,0.00012879781420765027,10000.23690592448,0.23692487701773643,10000.0,-2.682209014892578e-07,0.024619209487718903,4.644505016009012,0.0
nan,nan,nan,nan,0,0,1,0,0,2016,2016,2016,2016,288,288,291.7527930589493,291.7527930589493,2016,288,2016,False,0,7,9169e_00000,2023-07-20_16-30-44,1689859844,0.9889111518859863,20.345972299575806,99139,Air-Bulat-2,127.0.0.1,20.345972299575806,7,2016,2016,2016,2016,nan,nan,nan,nan,0,0,[],[],2904.679,2573.451,0.366,786724.68,329.646,873.665,0.934,2016,2016,2016,2016,16.2,75.6,[],[],64.0,780.5,59.5,0.0,3.053050539890925,0.0031250000000000006,0.00013155737704918034,10000.232763671875,0.23274449457724888,10000.0,1.4901161193847656e-08,0.01631810943296538,4.802638081709544,0.0
nan,nan,nan,nan,0,0,1,0,0,2304,2304,2304,2304,288,288,297.4149032507454,297.4149032507454,2304,288,2304,False,0,8,9169e_00000,2023-07-20_16-30-45,1689859845,0.9702670574188232,21.31623935699463,99139,Air-Bulat-2,127.0.0.1,21.31623935699463,8,2304,2304,2304,2304,nan,nan,nan,nan,0,0,[],[],2662.634,2332.181,0.354,813509.253,328.899,875.65,0.922,2304,2304,2304,2304,16.3,75.5,[],[],64.0,900.5,59.5,0.0,2.308564570049445,0.0015625000000000003,0.00013431693989071042,10000.114729817707,0.11473989461859067,10000.0,-1.043081283569336e-07,0.036512697610290676,4.874983119964599,0.0
nan,nan,nan,nan,0,0,1,0,0,2592,2592,2592,2592,288,288,290.09274921554663,290.09274921554663,2592,288,2592,False,0,9,9169e_00000,2023-07-20_16-30-46,1689859846,0.9946060180664062,22.310845375061035,99139,Air-Bulat-2,127.0.0.1,22.310845375061035,9,2592,2592,2592,2592,nan,nan,nan,nan,0,0,[],[],2477.094,2146.886,0.344,836601.46,328.675,876.245,0.913,2592,2592,2592,2592,16.5,75.5,[],[],64.0,1020.5,59.5,0.0,2.758895725508531,0.0007812500000000002,0.00013707650273224044,10000.220540364584,0.22054580673575402,10000.0,-5.960464477539063e-08,0.0159237775422909,4.7116943518320715,0.0
nan,nan,nan,nan,0,0,1,0,0,2880,2880,2880,2880,288,288,297.3112495218986,297.3112495218986,2880,288,2880,False,0,10,9169e_00000,2023-07-20_16-30-47,1689859847,0.9705369472503662,23.2813823223114,99139,Air-Bulat-2,127.0.0.1,23.2813823223114,10,2880,2880,2880,2880,nan,nan,nan,nan,0,0,[],[],2326.251,1995.656,0.339,848763.035,329.078,875.172,0.905,2880,2880,2880,2880,17.55,75.5,[],[],64.0,1140.5,59.5,0.0,2.4565667922298116,0.0003906250000000001,0.0001398360655737705,10000.129467773437,0.1294609540142119,10000.0,8.940696716308594e-08,0.04534922866890511,5.148319355646769,0.0
