episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss
-1172.4608305374131,-1830.6914864943387,-1441.6909503613938,120.0,5,0,1,0,0,600,600,600,600,600,600,54.51472887105155,54.51472887105155,600,600,600,False,5,1,d3049_00000,2023-07-24_21-21-08,1690222868,11.008095979690552,11.008095979690552,41565,MacBook-Air-Bulat-2.local,127.0.0.1,11.008095979690552,1,600,600,600,600,-1172.4608305374131,-1830.6914864943387,-1441.6909503613938,120.0,5,0,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387]","[120, 120, 120, 120, 120]",13.055814879507869,0.27988833714642264,0.06508787539159994,4.841810454941431,0.0,0.00301361083984375,0.00186920166015625,0.048236846923828125,2201.23,2196.799,0.191,628046.519,3.671,32687.558,0.539,600,600,600,600,32.556250000000006,78.75625,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387]","[120, 120, 120, 120, 120]",13.055814879507869,0.27988833714642264,0.06508787539159994,4.841810454941431,0.0,0.00301361083984375,0.00186920166015625,0.048236846923828125,64.0,5.0,4.0,0.0,10.0,0.00048,0.1,282.9615783691406,-252924.46875,26317782.0
-1122.024322025968,-1830.6914864943387,-1416.4640647804697,120.0,6,0,1,0,0,1320,1320,1320,1320,720,720,65.79006128549413,65.79006128549413,1320,720,1320,False,11,2,d3049_00000,2023-07-24_21-21-19,1690222879,10.945827960968018,21.95392394065857,41565,MacBook-Air-Bulat-2.local,127.0.0.1,21.95392394065857,2,1320,1320,1320,1320,-1122.024322025968,-1830.6914864943387,-1416.4640647804697,120.0,6,0,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.041167594596574,0.27651663057175735,0.06435221170680717,3.939421649781018,0.0,0.0030907717618075285,0.0019962137395685368,0.04915974356911399,1828.01,1825.379,0.146,820803.131,1.93,62184.667,0.527,1320,1320,1320,1320,24.4375,78.54375,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.041167594596574,0.27651663057175735,0.06435221170680717,3.939421649781018,0.0,0.0030907717618075285,0.0019962137395685368,0.04915974356911399,64.0,11.0,10.0,0.0,10.0,0.00045,0.1,288.026123046875,-203978.09375,15940637.0
-1053.8013345353393,-1830.6914864943387,-1354.2124421606256,120.0,6,0,1,0,0,2040,2040,2040,2040,720,720,65.79305122376232,65.79305122376232,2040,720,2040,False,17,3,d3049_00000,2023-07-24_21-21-30,1690222890,10.945276975631714,32.89920091629028,41565,MacBook-Air-Bulat-2.local,127.0.0.1,32.89920091629028,3,2040,2040,2040,2040,-1053.8013345353393,-1830.6914864943387,-1354.2124421606256,120.0,6,0,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092, -1357.4156055984329, -1194.267876798605, -1252.6199064894251, -1211.928334126358, -1370.4737465973083, -1053.8013345353393]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.043438911750812,0.2741204936911977,0.06389886526573568,3.492492653012613,0.0,0.0028862672693589155,0.0019185683306525735,0.04804835600011489,1827.603,1824.853,0.145,828913.834,1.914,62696.689,0.662,2040,2040,2040,2040,24.720000000000002,77.79333333333334,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092, -1357.4156055984329, -1194.267876798605, -1252.6199064894251, -1211.928334126358, -1370.4737465973083, -1053.8013345353393]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.043438911750812,0.2741204936911977,0.06389886526573568,3.492492653012613,0.0,0.0028862672693589155,0.0019185683306525735,0.04804835600011489,64.0,17.0,16.0,0.0,10.0,0.00042,0.1,283.48944091796875,-147809.71875,9008338.0
-791.603221341987,-1830.6914864943387,-1235.3528314483124,120.0,6,0,1,0,0,2760,2760,2760,2760,720,720,65.93487451147062,65.93487451147062,2760,720,2760,False,23,4,d3049_00000,2023-07-24_21-21-41,1690222901,10.92167615890503,43.82087707519531,41565,MacBook-Air-Bulat-2.local,127.0.0.1,43.82087707519531,4,2760,2760,2760,2760,-791.603221341987,-1830.6914864943387,-1235.3528314483124,120.0,6,0,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092, -1357.4156055984329, -1194.267876798605, -1252.6199064894251, -1211.928334126358, -1370.4737465973083, -1053.8013345353393, -1001.6105737292177, -817.7268771410853, -842.4017745016646, -886.0779431593475, -791.603221341987, -1052.0832167072529]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.043873009086116,0.27286501290310217,0.06361477897487532,3.215510596413174,0.0,0.002809192823327106,0.0019353369007939878,0.04796463510264521,1820.748,1818.188,0.144,832065.598,1.868,64241.14,0.52,2760,2760,2760,2760,22.1625,78.06875,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092, -1357.4156055984329, -1194.267876798605, -1252.6199064894251, -1211.928334126358, -1370.4737465973083, -1053.8013345353393, -1001.6105737292177, -817.7268771410853, -842.4017745016646, -886.0779431593475, -791.603221341987, -1052.0832167072529]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.043873009086116,0.27286501290310217,0.06361477897487532,3.215510596413174,0.0,0.002809192823327106,0.0019353369007939878,0.04796463510264521,64.0,23.0,22.0,0.0,10.0,0.00039,0.1,282.91180419921875,-145393.9375,8497470.0
-791.603221341987,-1830.6914864943387,-1190.322083025703,120.0,6,0,1,0,0,3480,3480,3480,3480,720,720,65.7817192754341,65.7817192754341,3480,720,3480,False,29,5,d3049_00000,2023-07-24_21-21-52,1690222912,10.949366092681885,54.7702431678772,41565,MacBook-Air-Bulat-2.local,127.0.0.1,54.7702431678772,5,3480,3480,3480,3480,-791.603221341987,-1830.6914864943387,-1190.322083025703,120.0,6,0,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092, -1357.4156055984329, -1194.267876798605, -1252.6199064894251, -1211.928334126358, -1370.4737465973083, -1053.8013345353393, -1001.6105737292177, -817.7268771410853, -842.4017745016646, -886.0779431593475, -791.603221341987, -1052.0832167072529, -916.5881805995556, -997.6038984221128, -1051.9810385010837, -962.2484792793582, -997.0212419054053, -1180.7824457266854]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.04426162210844,0.2717253288468052,0.06335809985073212,3.0252129265509744,0.0,0.002909528798070447,0.0019196806282832705,0.04780374724289466,1818.123,1815.492,0.145,827959.335,1.929,62197.731,0.528,3480,3480,3480,3480,25.933333333333337,78.00666666666666,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092, -1357.4156055984329, -1194.267876798605, -1252.6199064894251, -1211.928334126358, -1370.4737465973083, -1053.8013345353393, -1001.6105737292177, -817.7268771410853, -842.4017745016646, -886.0779431593475, -791.603221341987, -1052.0832167072529, -916.5881805995556, -997.6038984221128, -1051.9810385010837, -962.2484792793582, -997.0212419054053, -1180.7824457266854]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.04426162210844,0.2717253288468052,0.06335809985073212,3.0252129265509744,0.0,0.002909528798070447,0.0019196806282832705,0.04780374724289466,64.0,29.0,28.0,0.0,10.0,0.00035999999999999997,0.1,289.6344299316406,-170972.5,11074705.0
-729.4711584044984,-1830.6914864943387,-1130.4732278527279,120.0,6,0,1,0,0,4200,4200,4200,4200,720,720,65.2737067883859,65.2737067883859,4200,720,4200,False,35,6,d3049_00000,2023-07-24_21-22-03,1690222923,11.032372236251831,65.80261540412903,41565,MacBook-Air-Bulat-2.local,127.0.0.1,65.80261540412903,6,4200,4200,4200,4200,-729.4711584044984,-1830.6914864943387,-1130.4732278527279,120.0,6,0,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092, -1357.4156055984329, -1194.267876798605, -1252.6199064894251, -1211.928334126358, -1370.4737465973083, -1053.8013345353393, -1001.6105737292177, -817.7268771410853, -842.4017745016646, -886.0779431593475, -791.603221341987, -1052.0832167072529, -916.5881805995556, -997.6038984221128, -1051.9810385010837, -962.2484792793582, -997.0212419054053, -1180.7824457266854, -828.144090628464, -850.8420703238216, -736.513869280418, -1014.7510213434442, -887.5003571194343, -729.4711584044984]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.047380833401789,0.2707539707411491,0.06315316806623192,2.885623766558054,0.0,0.002914156232561384,0.0019025802612304688,0.048473903111049106,1834.554,1831.93,0.147,813901.164,1.916,62629.595,0.532,4200,4200,4200,4200,27.09375,78.3125,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092, -1357.4156055984329, -1194.267876798605, -1252.6199064894251, -1211.928334126358, -1370.4737465973083, -1053.8013345353393, -1001.6105737292177, -817.7268771410853, -842.4017745016646, -886.0779431593475, -791.603221341987, -1052.0832167072529, -916.5881805995556, -997.6038984221128, -1051.9810385010837, -962.2484792793582, -997.0212419054053, -1180.7824457266854, -828.144090628464, -850.8420703238216, -736.513869280418, -1014.7510213434442, -887.5003571194343, -729.4711584044984]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.047380833401789,0.2707539707411491,0.06315316806623192,2.885623766558054,0.0,0.002914156232561384,0.0019025802612304688,0.048473903111049106,64.0,35.0,34.0,0.0,10.0,0.00033,0.1,292.96527099609375,-90997.484375,3641113.0
-729.4711584044984,-1830.6914864943387,-1091.12654916959,120.0,6,0,1,0,0,4920,4920,4920,4920,720,720,65.89327942413455,65.89327942413455,4920,720,4920,False,41,7,d3049_00000,2023-07-24_21-22-14,1690222934,10.931311130523682,76.73392653465271,41565,MacBook-Air-Bulat-2.local,127.0.0.1,76.73392653465271,7,4920,4920,4920,4920,-729.4711584044984,-1830.6914864943387,-1091.12654916959,120.0,6,0,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092, -1357.4156055984329, -1194.267876798605, -1252.6199064894251, -1211.928334126358, -1370.4737465973083, -1053.8013345353393, -1001.6105737292177, -817.7268771410853, -842.4017745016646, -886.0779431593475, -791.603221341987, -1052.0832167072529, -916.5881805995556, -997.6038984221128, -1051.9810385010837, -962.2484792793582, -997.0212419054053, -1180.7824457266854, -828.144090628464, -850.8420703238216, -736.513869280418, -1014.7510213434442, -887.5003571194343, -729.4711584044984, -832.9465260576769, -803.8670808207826, -901.3208565121251, -819.94858212608, -846.2543767936327, -965.2881187974174]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.048173529316717,0.2699428530597779,0.0629768002340297,2.7776435224685465,0.0,0.0028732346325385863,0.0018829252661728278,0.04816462353962224,1825.091,1821.212,0.15,802481.633,1.881,63780.379,1.818,4920,4920,4920,4920,23.6,78.1375,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092, -1357.4156055984329, -1194.267876798605, -1252.6199064894251, -1211.928334126358, -1370.4737465973083, -1053.8013345353393, -1001.6105737292177, -817.7268771410853, -842.4017745016646, -886.0779431593475, -791.603221341987, -1052.0832167072529, -916.5881805995556, -997.6038984221128, -1051.9810385010837, -962.2484792793582, -997.0212419054053, -1180.7824457266854, -828.144090628464, -850.8420703238216, -736.513869280418, -1014.7510213434442, -887.5003571194343, -729.4711584044984, -832.9465260576769, -803.8670808207826, -901.3208565121251, -819.94858212608, -846.2543767936327, -965.2881187974174]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.048173529316717,0.2699428530597779,0.0629768002340297,2.7776435224685465,0.0,0.0028732346325385863,0.0018829252661728278,0.04816462353962224,64.0,41.0,40.0,0.0,10.0,0.00030000000000000003,0.1,308.2238464355469,-141807.1875,6842427.5
-678.0141823164032,-1830.6914864943387,-1056.44036584276,120.0,6,0,1,0,0,5640,5640,5640,5640,720,720,65.87777958184228,65.87777958184228,5640,720,5640,False,47,8,d3049_00000,2023-07-24_21-22-25,1690222945,10.931230068206787,87.6651566028595,41565,MacBook-Air-Bulat-2.local,127.0.0.1,87.6651566028595,8,5640,5640,5640,5640,-678.0141823164032,-1830.6914864943387,-1056.44036584276,120.0,6,0,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092, -1357.4156055984329, -1194.267876798605, -1252.6199064894251, -1211.928334126358, -1370.4737465973083, -1053.8013345353393, -1001.6105737292177, -817.7268771410853, -842.4017745016646, -886.0779431593475, -791.603221341987, -1052.0832167072529, -916.5881805995556, -997.6038984221128, -1051.9810385010837, -962.2484792793582, -997.0212419054053, -1180.7824457266854, -828.144090628464, -850.8420703238216, -736.513869280418, -1014.7510213434442, -887.5003571194343, -729.4711584044984, -832.9465260576769, -803.8670808207826, -901.3208565121251, -819.94858212608, -846.2543767936327, -965.2881187974174, -812.5401816018287, -678.0141823164032, -813.1067445204518, -915.6244314879735, -793.6078625897555, -903.6152761401161]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.047490362370809,0.2695209383542318,0.0628674998361353,2.691719954523195,0.0,0.002892473910717254,0.0018784340391767786,0.04825896405159159,1821.227,1817.294,0.152,790259.821,1.936,61977.156,1.815,5640,5640,5640,5640,23.68,78.31333333333333,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092, -1357.4156055984329, -1194.267876798605, -1252.6199064894251, -1211.928334126358, -1370.4737465973083, -1053.8013345353393, -1001.6105737292177, -817.7268771410853, -842.4017745016646, -886.0779431593475, -791.603221341987, -1052.0832167072529, -916.5881805995556, -997.6038984221128, -1051.9810385010837, -962.2484792793582, -997.0212419054053, -1180.7824457266854, -828.144090628464, -850.8420703238216, -736.513869280418, -1014.7510213434442, -887.5003571194343, -729.4711584044984, -832.9465260576769, -803.8670808207826, -901.3208565121251, -819.94858212608, -846.2543767936327, -965.2881187974174, -812.5401816018287, -678.0141823164032, -813.1067445204518, -915.6244314879735, -793.6078625897555, -903.6152761401161]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.047490362370809,0.2695209383542318,0.0628674998361353,2.691719954523195,0.0,0.002892473910717254,0.0018784340391767786,0.04825896405159159,64.0,47.0,46.0,0.0,10.0,0.00027,0.1,324.0232849121094,-145115.21875,6083947.0
-678.0141823164032,-1830.6914864943387,-1030.3345730828617,120.0,6,0,1,0,0,6360,6360,6360,6360,720,720,65.27628171082586,65.27628171082586,6360,720,6360,False,53,9,d3049_00000,2023-07-24_21-22-36,1690222956,11.03196907043457,98.69712567329407,41565,MacBook-Air-Bulat-2.local,127.0.0.1,98.69712567329407,9,6360,6360,6360,6360,-678.0141823164032,-1830.6914864943387,-1030.3345730828617,120.0,6,0,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092, -1357.4156055984329, -1194.267876798605, -1252.6199064894251, -1211.928334126358, -1370.4737465973083, -1053.8013345353393, -1001.6105737292177, -817.7268771410853, -842.4017745016646, -886.0779431593475, -791.603221341987, -1052.0832167072529, -916.5881805995556, -997.6038984221128, -1051.9810385010837, -962.2484792793582, -997.0212419054053, -1180.7824457266854, -828.144090628464, -850.8420703238216, -736.513869280418, -1014.7510213434442, -887.5003571194343, -729.4711584044984, -832.9465260576769, -803.8670808207826, -901.3208565121251, -819.94858212608, -846.2543767936327, -965.2881187974174, -812.5401816018287, -678.0141823164032, -813.1067445204518, -915.6244314879735, -793.6078625897555, -903.6152761401161, -726.7250422723899, -820.9991132210346, -865.8161126293217, -737.8404036153976, -879.6078803115362, -924.0466267322664]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.046977176798588,0.26950699979975673,0.06283495530961472,2.6221308832503816,0.0,0.002960438998240345,0.001889354777785967,0.048792137289946934,1825.055,1822.377,0.152,787909.33,1.973,60825.214,0.524,6360,6360,6360,6360,30.831249999999997,78.44999999999999,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092, -1357.4156055984329, -1194.267876798605, -1252.6199064894251, -1211.928334126358, -1370.4737465973083, -1053.8013345353393, -1001.6105737292177, -817.7268771410853, -842.4017745016646, -886.0779431593475, -791.603221341987, -1052.0832167072529, -916.5881805995556, -997.6038984221128, -1051.9810385010837, -962.2484792793582, -997.0212419054053, -1180.7824457266854, -828.144090628464, -850.8420703238216, -736.513869280418, -1014.7510213434442, -887.5003571194343, -729.4711584044984, -832.9465260576769, -803.8670808207826, -901.3208565121251, -819.94858212608, -846.2543767936327, -965.2881187974174, -812.5401816018287, -678.0141823164032, -813.1067445204518, -915.6244314879735, -793.6078625897555, -903.6152761401161, -726.7250422723899, -820.9991132210346, -865.8161126293217, -737.8404036153976, -879.6078803115362, -924.0466267322664]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.046977176798588,0.26950699979975673,0.06283495530961472,2.6221308832503816,0.0,0.002960438998240345,0.001889354777785967,0.048792137289946934,64.0,53.0,52.0,0.0,10.0,0.000244,0.1,328.2945861816406,-151038.484375,7178071.5
-604.7311953682939,-1830.6914864943387,-1008.3040739362303,120.0,6,0,1,0,0,7080,7080,7080,7080,720,720,65.91283748093565,65.91283748093565,7080,720,7080,False,59,10,d3049_00000,2023-07-24_21-22-47,1690222967,10.925650835037231,109.6227765083313,41565,MacBook-Air-Bulat-2.local,127.0.0.1,109.6227765083313,10,7080,7080,7080,7080,-604.7311953682939,-1830.6914864943387,-1008.3040739362303,120.0,6,0,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092, -1357.4156055984329, -1194.267876798605, -1252.6199064894251, -1211.928334126358, -1370.4737465973083, -1053.8013345353393, -1001.6105737292177, -817.7268771410853, -842.4017745016646, -886.0779431593475, -791.603221341987, -1052.0832167072529, -916.5881805995556, -997.6038984221128, -1051.9810385010837, -962.2484792793582, -997.0212419054053, -1180.7824457266854, -828.144090628464, -850.8420703238216, -736.513869280418, -1014.7510213434442, -887.5003571194343, -729.4711584044984, -832.9465260576769, -803.8670808207826, -901.3208565121251, -819.94858212608, -846.2543767936327, -965.2881187974174, -812.5401816018287, -678.0141823164032, -813.1067445204518, -915.6244314879735, -793.6078625897555, -903.6152761401161, -726.7250422723899, -820.9991132210346, -865.8161126293217, -737.8404036153976, -879.6078803115362, -924.0466267322664, -604.7311953682939, -817.0880069064607, -900.3902228944557, -759.1627137955177, -957.4864514168659, -843.3493984643326]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.046047013411394,0.2694498999087263,0.06279700686999444,2.5638078735067653,0.0,0.002909918962898901,0.001878253484176377,0.04846160694704217,1818.074,1815.489,0.147,816674.477,1.894,63366.043,0.516,7080,7080,7080,7080,24.90625,78.40625,"[-1172.4608305374131, -1253.0285081048196, -1635.568067177484, -1316.7058594929138, -1830.6914864943387, -1268.7731978772988, -1519.5707732008182, -1122.024322025968, -1693.3371879639267, -1330.101533126777, -1438.8429465834092, -1357.4156055984329, -1194.267876798605, -1252.6199064894251, -1211.928334126358, -1370.4737465973083, -1053.8013345353393, -1001.6105737292177, -817.7268771410853, -842.4017745016646, -886.0779431593475, -791.603221341987, -1052.0832167072529, -916.5881805995556, -997.6038984221128, -1051.9810385010837, -962.2484792793582, -997.0212419054053, -1180.7824457266854, -828.144090628464, -850.8420703238216, -736.513869280418, -1014.7510213434442, -887.5003571194343, -729.4711584044984, -832.9465260576769, -803.8670808207826, -901.3208565121251, -819.94858212608, -846.2543767936327, -965.2881187974174, -812.5401816018287, -678.0141823164032, -813.1067445204518, -915.6244314879735, -793.6078625897555, -903.6152761401161, -726.7250422723899, -820.9991132210346, -865.8161126293217, -737.8404036153976, -879.6078803115362, -924.0466267322664, -604.7311953682939, -817.0880069064607, -900.3902228944557, -759.1627137955177, -957.4864514168659, -843.3493984643326]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.046047013411394,0.2694498999087263,0.06279700686999444,2.5638078735067653,0.0,0.002909918962898901,0.001878253484176377,0.04846160694704217,64.0,59.0,58.0,0.0,10.0,0.000226,0.1,335.12286376953125,-152961.25,6065605.5
