episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss
-6429.6733240943,-11615.834491678144,-8542.84142568672,360.0,4,0,1,0,0,1440,1440,1440,1440,1440,1440,133.92448694338876,133.92448694338876,1440,1440,1440,False,4,1,e2986_00000,2023-07-25_16-48-22,1690292902,10.754263877868652,10.754263877868652,71346,MacBook-Air-Bulat-2.local,127.0.0.1,10.754263877868652,1,1440,1440,1440,1440,-6429.6733240943,-11615.834491678144,-8542.84142568672,360.0,4,0,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144]","[360, 360, 360, 360]",4.475163718547199,0.25660804706179047,0.05981344716735883,2.6116925424209163,0.0,0.002199411392211914,0.0017523765563964844,0.045931339263916016,2688.071,2674.347,0.291,1236396.676,12.861,27992.611,0.539,1440,1440,1440,1440,31.6375,79.98125,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144]","[360, 360, 360, 360]",4.475163718547199,0.25660804706179047,0.05981344716735883,2.6116925424209163,0.0,0.002199411392211914,0.0017523765563964844,0.045931339263916016,120.0,11.0,10.0,0.0,10.0,0.0026,0.10000000000000002,971.3840535481771,-2683043.0,370870426.6666667
-6429.6733240943,-11660.512025879125,-10188.044902415491,360.0,5,0,1,0,0,3240,3240,3240,3240,1800,1800,164.38870080086977,164.38870080086977,3240,1800,3240,False,9,2,e2986_00000,2023-07-25_16-48-33,1690292913,10.951702117919922,21.705965995788574,71346,MacBook-Air-Bulat-2.local,127.0.0.1,21.705965995788574,2,3240,3240,3240,3240,-6429.6733240943,-11660.512025879125,-10188.044902415491,360.0,5,0,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125]","[360, 360, 360, 360, 360, 360, 360, 360, 360]",4.460544253467799,0.2542989822577267,0.05950507787046829,2.2107306539749803,0.0,0.0025113423665364585,0.0018146302964952257,0.04594590928819445,2411.321,2402.233,0.248,1451874.462,8.276,43497.401,0.532,3240,3240,3240,3240,24.339999999999993,79.60666666666665,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125]","[360, 360, 360, 360, 360, 360, 360, 360, 360]",4.460544253467799,0.2542989822577267,0.05950507787046829,2.2107306539749803,0.0,0.0025113423665364585,0.0018146302964952257,0.04594590928819445,120.0,26.0,25.0,0.0,10.0,0.0019333333333333331,0.10000000000000002,864.6676025390625,-95156375370.04167,369997621.3333333
-6429.6733240943,-11660.512025879125,-10612.59309296284,360.0,5,0,1,0,0,5040,5040,5040,5040,1800,1800,163.98571169629784,163.98571169629784,5040,1800,5040,False,14,3,e2986_00000,2023-07-25_16-48-44,1690292924,10.978357076644897,32.68432307243347,71346,MacBook-Air-Bulat-2.local,127.0.0.1,32.68432307243347,3,5040,5040,5040,5040,-6429.6733240943,-11660.512025879125,-10612.59309296284,360.0,5,0,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125, -11361.20302957359, -11359.652900481484, -11424.182081794817, -11380.347024959845, -11358.514142930591]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.4541842055246565,0.25280262326377,0.05930061084002367,2.024516996357873,0.0,0.002631119319370815,0.0018051692417689732,0.046133995056152344,2192.612,2187.332,0.215,1676976.277,4.527,79525.854,0.508,5040,5040,5040,5040,25.65625,79.5625,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125, -11361.20302957359, -11359.652900481484, -11424.182081794817, -11380.347024959845, -11358.514142930591]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.4541842055246565,0.25280262326377,0.05930061084002367,2.024516996357873,0.0,0.002631119319370815,0.0018051692417689732,0.046133995056152344,120.0,41.0,40.0,0.0,10.0,0.0012666666666666666,0.10000000000000002,354.8317464192708,-1517560489749162.8,356532578.6666667
-6429.6733240943,-11660.512025879125,-10851.643295944461,360.0,5,0,1,0,0,6840,6840,6840,6840,1800,1800,165.19437519480735,165.19437519480735,6840,1800,6840,False,19,4,e2986_00000,2023-07-25_16-48-55,1690292935,10.898439884185791,43.58276295661926,71346,MacBook-Air-Bulat-2.local,127.0.0.1,43.58276295661926,4,6840,6840,6840,6840,-6429.6733240943,-11660.512025879125,-10851.643295944461,360.0,5,0,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125, -11361.20302957359, -11359.652900481484, -11424.182081794817, -11380.347024959845, -11358.514142930591, -11638.558471283073, -11436.548568150018, -11499.956458033925, -11572.73456547925, -11457.121258518764]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.448658189781412,0.25194920603188925,0.05919415549031839,1.9097500320241396,0.0,0.0024895918996710527,0.0017868845086348685,0.04547144237317537,2187.272,2182.003,0.213,1691630.562,4.488,80217.042,0.536,6840,6840,6840,6840,24.90666666666667,79.66000000000001,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125, -11361.20302957359, -11359.652900481484, -11424.182081794817, -11380.347024959845, -11358.514142930591, -11638.558471283073, -11436.548568150018, -11499.956458033925, -11572.73456547925, -11457.121258518764]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.448658189781412,0.25194920603188925,0.05919415549031839,1.9097500320241396,0.0,0.0024895918996710527,0.0017868845086348685,0.04547144237317537,120.0,56.0,55.0,0.0,10.0,0.00095,0.10000000000000002,-0.7026262283325195,-4.9731639637093037e+17,362382250.6666667
-6429.6733240943,-11660.512025879125,-10955.829970288949,360.0,5,0,1,0,0,8640,8640,8640,8640,1800,1800,163.1848313172163,163.1848313172163,8640,1800,8640,False,24,5,e2986_00000,2023-07-25_16-49-06,1690292946,11.03232479095459,54.61508774757385,71346,MacBook-Air-Bulat-2.local,127.0.0.1,54.61508774757385,5,8640,8640,8640,8640,-6429.6733240943,-11660.512025879125,-10955.829970288949,360.0,5,0,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125, -11361.20302957359, -11359.652900481484, -11424.182081794817, -11380.347024959845, -11358.514142930591, -11638.558471283073, -11436.548568150018, -11499.956458033925, -11572.73456547925, -11457.121258518764, -11376.309883736334, -11294.063413020882, -11454.530789744016, -11371.148329888163, -11262.644247600632]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.446105847046468,0.2513623438170092,0.0591222585533226,1.8319370979575031,0.0,0.002557039260864258,0.0017851591110229492,0.04649559656778971,2192.659,2187.213,0.211,1704424.247,4.648,77448.0,0.555,8640,8640,8640,8640,26.36875,78.63749999999999,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125, -11361.20302957359, -11359.652900481484, -11424.182081794817, -11380.347024959845, -11358.514142930591, -11638.558471283073, -11436.548568150018, -11499.956458033925, -11572.73456547925, -11457.121258518764, -11376.309883736334, -11294.063413020882, -11454.530789744016, -11371.148329888163, -11262.644247600632]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.446105847046468,0.2513623438170092,0.0591222585533226,1.8319370979575031,0.0,0.002557039260864258,0.0017851591110229492,0.04649559656778971,120.0,71.0,70.0,0.0,10.0,0.0008666666666666666,0.10000000000000002,-188.40833536783853,-7.467647273133114e+17,353708024.0
-6429.6733240943,-11660.512025879125,-11032.237737199932,360.0,5,0,1,0,0,10440,10440,10440,10440,1800,1800,164.62240657060335,164.62240657060335,10440,1800,10440,False,29,6,e2986_00000,2023-07-25_16-49-17,1690292957,10.936140060424805,65.55122780799866,71346,MacBook-Air-Bulat-2.local,127.0.0.1,65.55122780799866,6,10440,10440,10440,10440,-6429.6733240943,-11660.512025879125,-11032.237737199932,360.0,5,0,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125, -11361.20302957359, -11359.652900481484, -11424.182081794817, -11380.347024959845, -11358.514142930591, -11638.558471283073, -11436.548568150018, -11499.956458033925, -11572.73456547925, -11457.121258518764, -11376.309883736334, -11294.063413020882, -11454.530789744016, -11371.148329888163, -11262.644247600632, -11427.384525467656, -11487.785429723974, -11466.152106975129, -11304.807846979818, -11308.845182716666]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.443305628935517,0.25097530597851364,0.05907647079330063,1.7747730443337624,0.0,0.0025691657230771823,0.0017906057423558728,0.046243338749326506,2196.446,2190.799,0.216,1664773.363,4.768,75498.227,0.631,10440,10440,10440,10440,28.36875,78.67500000000001,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125, -11361.20302957359, -11359.652900481484, -11424.182081794817, -11380.347024959845, -11358.514142930591, -11638.558471283073, -11436.548568150018, -11499.956458033925, -11572.73456547925, -11457.121258518764, -11376.309883736334, -11294.063413020882, -11454.530789744016, -11371.148329888163, -11262.644247600632, -11427.384525467656, -11487.785429723974, -11466.152106975129, -11304.807846979818, -11308.845182716666]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.443305628935517,0.25097530597851364,0.05907647079330063,1.7747730443337624,0.0,0.0025691657230771823,0.0017906057423558728,0.046243338749326506,120.0,86.0,85.0,0.0,10.0,0.0007833333333333334,0.10000000000000002,-233.69493611653647,-1.646541090351217e+18,360650770.6666667
-6429.6733240943,-11660.512025879125,-11090.897061066053,360.0,5,0,1,0,0,12240,12240,12240,12240,1800,1800,164.7975387896737,164.7975387896737,12240,1800,12240,False,34,7,e2986_00000,2023-07-25_16-49-27,1690292967,10.92443585395813,76.47566366195679,71346,MacBook-Air-Bulat-2.local,127.0.0.1,76.47566366195679,7,12240,12240,12240,12240,-6429.6733240943,-11660.512025879125,-11090.897061066053,360.0,5,0,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125, -11361.20302957359, -11359.652900481484, -11424.182081794817, -11380.347024959845, -11358.514142930591, -11638.558471283073, -11436.548568150018, -11499.956458033925, -11572.73456547925, -11457.121258518764, -11376.309883736334, -11294.063413020882, -11454.530789744016, -11371.148329888163, -11262.644247600632, -11427.384525467656, -11487.785429723974, -11466.152106975129, -11304.807846979818, -11308.845182716666, -11482.867991385212, -11146.826533068726, -11465.261495020737, -11467.634825503366, -11593.014852469714]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.441114485511237,0.2506143978334349,0.05902571520173764,1.7303165465758663,0.0,0.002498486462761374,0.0017825294943416819,0.046040731317856735,2185.652,2180.101,0.215,1674558.545,4.69,76761.738,0.613,12240,12240,12240,12240,27.19333333333333,78.58666666666666,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125, -11361.20302957359, -11359.652900481484, -11424.182081794817, -11380.347024959845, -11358.514142930591, -11638.558471283073, -11436.548568150018, -11499.956458033925, -11572.73456547925, -11457.121258518764, -11376.309883736334, -11294.063413020882, -11454.530789744016, -11371.148329888163, -11262.644247600632, -11427.384525467656, -11487.785429723974, -11466.152106975129, -11304.807846979818, -11308.845182716666, -11482.867991385212, -11146.826533068726, -11465.261495020737, -11467.634825503366, -11593.014852469714]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.441114485511237,0.2506143978334349,0.05902571520173764,1.7303165465758663,0.0,0.002498486462761374,0.0017825294943416819,0.046040731317856735,120.0,101.0,100.0,0.0,10.0,0.0007,0.10000000000000002,-245.51386006673178,-1.7397666747200886e+17,368621317.3333333
-6429.6733240943,-11660.512025879125,-11137.873656323982,360.0,5,0,1,0,0,14040,14040,14040,14040,1800,1800,164.56080704717002,164.56080704717002,14040,1800,14040,False,39,8,e2986_00000,2023-07-25_16-49-38,1690292978,10.940096616744995,87.41576027870178,71346,MacBook-Air-Bulat-2.local,127.0.0.1,87.41576027870178,8,14040,14040,14040,14040,-6429.6733240943,-11660.512025879125,-11137.873656323982,360.0,5,0,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125, -11361.20302957359, -11359.652900481484, -11424.182081794817, -11380.347024959845, -11358.514142930591, -11638.558471283073, -11436.548568150018, -11499.956458033925, -11572.73456547925, -11457.121258518764, -11376.309883736334, -11294.063413020882, -11454.530789744016, -11371.148329888163, -11262.644247600632, -11427.384525467656, -11487.785429723974, -11466.152106975129, -11304.807846979818, -11308.845182716666, -11482.867991385212, -11146.826533068726, -11465.261495020737, -11467.634825503366, -11593.014852469714, -11485.524366102118, -11432.471356984706, -11490.433375062343, -11495.822340906216, -11382.321081334157]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.439394106260767,0.25026112130796574,0.0589738852966241,1.6947269269890894,0.0,0.002456322694436098,0.0017771354088416467,0.04586073068472055,2186.061,2180.746,0.213,1688603.713,4.569,78796.278,0.501,14040,14040,14040,14040,27.30625,77.4,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125, -11361.20302957359, -11359.652900481484, -11424.182081794817, -11380.347024959845, -11358.514142930591, -11638.558471283073, -11436.548568150018, -11499.956458033925, -11572.73456547925, -11457.121258518764, -11376.309883736334, -11294.063413020882, -11454.530789744016, -11371.148329888163, -11262.644247600632, -11427.384525467656, -11487.785429723974, -11466.152106975129, -11304.807846979818, -11308.845182716666, -11482.867991385212, -11146.826533068726, -11465.261495020737, -11467.634825503366, -11593.014852469714, -11485.524366102118, -11432.471356984706, -11490.433375062343, -11495.822340906216, -11382.321081334157]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.439394106260767,0.25026112130796574,0.0589738852966241,1.6947269269890894,0.0,0.002456322694436098,0.0017771354088416467,0.04586073068472055,120.0,116.0,115.0,0.0,10.0,0.0006166666666666666,0.10000000000000002,-256.5694173177083,-1.9889461487227372e+18,353985621.3333333
-6429.6733240943,-11660.512025879125,-11164.887137072474,360.0,5,0,1,0,0,15840,15840,15840,15840,1800,1800,164.11885602935803,164.11885602935803,15840,1800,15840,False,44,9,e2986_00000,2023-07-25_16-49-49,1690292989,10.969575881958008,98.38533616065979,71346,MacBook-Air-Bulat-2.local,127.0.0.1,98.38533616065979,9,15840,15840,15840,15840,-6429.6733240943,-11660.512025879125,-11164.887137072474,360.0,5,0,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125, -11361.20302957359, -11359.652900481484, -11424.182081794817, -11380.347024959845, -11358.514142930591, -11638.558471283073, -11436.548568150018, -11499.956458033925, -11572.73456547925, -11457.121258518764, -11376.309883736334, -11294.063413020882, -11454.530789744016, -11371.148329888163, -11262.644247600632, -11427.384525467656, -11487.785429723974, -11466.152106975129, -11304.807846979818, -11308.845182716666, -11482.867991385212, -11146.826533068726, -11465.261495020737, -11467.634825503366, -11593.014852469714, -11485.524366102118, -11432.471356984706, -11490.433375062343, -11495.822340906216, -11382.321081334157, -11360.107264409726, -11567.157303995875, -11446.60721375817, -11296.427104776394, -11207.662547613356]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.437905677302797,0.25000445024943746,0.058936932171903884,1.665707977757601,0.0,0.0025375322862104936,0.0017664649269797585,0.04562843929637562,2190.577,2185.234,0.215,1675673.555,4.582,78567.497,0.514,15840,15840,15840,15840,25.566666666666666,77.87333333333332,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125, -11361.20302957359, -11359.652900481484, -11424.182081794817, -11380.347024959845, -11358.514142930591, -11638.558471283073, -11436.548568150018, -11499.956458033925, -11572.73456547925, -11457.121258518764, -11376.309883736334, -11294.063413020882, -11454.530789744016, -11371.148329888163, -11262.644247600632, -11427.384525467656, -11487.785429723974, -11466.152106975129, -11304.807846979818, -11308.845182716666, -11482.867991385212, -11146.826533068726, -11465.261495020737, -11467.634825503366, -11593.014852469714, -11485.524366102118, -11432.471356984706, -11490.433375062343, -11495.822340906216, -11382.321081334157, -11360.107264409726, -11567.157303995875, -11446.60721375817, -11296.427104776394, -11207.662547613356]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.437905677302797,0.25000445024943746,0.058936932171903884,1.665707977757601,0.0,0.0025375322862104936,0.0017664649269797585,0.04562843929637562,120.0,131.0,130.0,0.0,10.0,0.0005333333333333334,0.10000000000000002,-265.92431640625,-1.7373798143964173e+18,347932882.6666667
-6429.6733240943,-11660.512025879125,-11183.613125043223,360.0,5,0,1,0,0,17640,17640,17640,17640,1800,1800,163.3981300394861,163.3981300394861,17640,1800,17640,False,49,10,e2986_00000,2023-07-25_16-50-00,1690293000,11.018007755279541,109.40334391593933,71346,MacBook-Air-Bulat-2.local,127.0.0.1,109.40334391593933,10,17640,17640,17640,17640,-6429.6733240943,-11660.512025879125,-11183.613125043223,360.0,5,0,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125, -11361.20302957359, -11359.652900481484, -11424.182081794817, -11380.347024959845, -11358.514142930591, -11638.558471283073, -11436.548568150018, -11499.956458033925, -11572.73456547925, -11457.121258518764, -11376.309883736334, -11294.063413020882, -11454.530789744016, -11371.148329888163, -11262.644247600632, -11427.384525467656, -11487.785429723974, -11466.152106975129, -11304.807846979818, -11308.845182716666, -11482.867991385212, -11146.826533068726, -11465.261495020737, -11467.634825503366, -11593.014852469714, -11485.524366102118, -11432.471356984706, -11490.433375062343, -11495.822340906216, -11382.321081334157, -11360.107264409726, -11567.157303995875, -11446.60721375817, -11296.427104776394, -11207.662547613356, -11368.37901404074, -11319.636412898386, -11274.388394840054, -11466.779632456044, -11312.825641693724]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.4367316016693135,0.249813680829618,0.05890932594048532,1.6416272154605918,0.0,0.002545726542570153,0.001760404937121333,0.045403655694455515,2198.359,2192.852,0.22,1635029.172,4.665,77172.896,0.587,17640,17640,17640,17640,26.4625,77.88749999999999,"[-6429.6733240943, -7058.08127197837, -9067.776614996068, -11615.834491678144, -11520.371832135448, -11625.846628265192, -11266.57462251528, -11447.733310197485, -11660.512025879125, -11361.20302957359, -11359.652900481484, -11424.182081794817, -11380.347024959845, -11358.514142930591, -11638.558471283073, -11436.548568150018, -11499.956458033925, -11572.73456547925, -11457.121258518764, -11376.309883736334, -11294.063413020882, -11454.530789744016, -11371.148329888163, -11262.644247600632, -11427.384525467656, -11487.785429723974, -11466.152106975129, -11304.807846979818, -11308.845182716666, -11482.867991385212, -11146.826533068726, -11465.261495020737, -11467.634825503366, -11593.014852469714, -11485.524366102118, -11432.471356984706, -11490.433375062343, -11495.822340906216, -11382.321081334157, -11360.107264409726, -11567.157303995875, -11446.60721375817, -11296.427104776394, -11207.662547613356, -11368.37901404074, -11319.636412898386, -11274.388394840054, -11466.779632456044, -11312.825641693724]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.4367316016693135,0.249813680829618,0.05890932594048532,1.6416272154605918,0.0,0.002545726542570153,0.001760404937121333,0.045403655694455515,120.0,146.0,145.0,0.0,10.0,0.00045000000000000004,0.10000000000000002,-271.2406717936198,-4.654483397075804e+17,355881024.0
