episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss
-6377.451881447555,-19464.10253338826,-13087.291481709577,360.0,4,0,1,0,0,1440,1440,1440,1440,1440,1440,132.84279912493255,132.84279912493255,1440,1440,1440,False,4,1,41fd7_00000,2023-07-25_16-51-02,1690293062,10.841723203659058,10.841723203659058,71560,MacBook-Air-Bulat-2.local,127.0.0.1,10.841723203659058,1,1440,1440,1440,1440,-6377.451881447555,-19464.10253338826,-13087.291481709577,360.0,4,0,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216]","[360, 360, 360, 360]",4.483913233675616,0.2506596606940879,0.05970242782899855,2.6778647007833003,0.0,0.0022530555725097656,0.0018239021301269531,0.04526972770690918,2709.959,2699.708,0.322,1119310.185,9.314,38650.006,0.582,1440,1440,1440,1440,30.7875,77.81875,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216]","[360, 360, 360, 360]",4.483913233675616,0.2506596606940879,0.05970242782899855,2.6778647007833003,0.0,0.0022530555725097656,0.0018239021301269531,0.04526972770690918,64.0,18.0,17.0,0.0,10.0,0.0026,0.1,321.87071533203124,-1082450290371.3,615621315.2
-6377.451881447555,-19577.998925769785,-16429.612344292073,360.0,5,0,1,0,0,3240,3240,3240,3240,1800,1800,152.57366644735743,152.57366644735743,3240,1800,3240,False,9,2,41fd7_00000,2023-07-25_16-51-14,1690293074,11.79968523979187,22.641408443450928,71560,MacBook-Air-Bulat-2.local,127.0.0.1,22.641408443450928,2,3240,3240,3240,3240,-6377.451881447555,-19577.998925769785,-16429.612344292073,360.0,5,0,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403]","[360, 360, 360, 360, 360, 360, 360, 360, 360]",4.5313266297530195,0.25525119141193303,0.060190101784105284,2.3291438929906083,0.0,0.0025139914618598092,0.0017987357245551215,0.045310126410590276,2515.262,2506.56,0.289,1247204.934,7.799,46161.394,0.576,3240,3240,3240,3240,35.03529411764706,78.40588235294118,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403]","[360, 360, 360, 360, 360, 360, 360, 360, 360]",4.5313266297530195,0.25525119141193303,0.060190101784105284,2.3291438929906083,0.0,0.0025139914618598092,0.0017987357245551215,0.045310126410590276,64.0,43.0,42.0,0.0,10.0,0.0019333333333333333,0.1,-201.51224060058593,-8.865146266731436e+19,588453216.0
-6377.451881447555,-19577.998925769785,-17297.13112003963,360.0,5,0,1,0,0,5040,5040,5040,5040,1800,1800,157.69833103834543,157.69833103834543,5040,1800,5040,False,14,3,41fd7_00000,2023-07-25_16-51-25,1690293085,11.416082859039307,34.057491302490234,71560,MacBook-Air-Bulat-2.local,127.0.0.1,34.057491302490234,3,5040,5040,5040,5040,-6377.451881447555,-19577.998925769785,-17297.13112003963,360.0,5,0,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403, -18773.400064154725, -18932.871470148144, -18842.974632183556, -18553.122837052135, -19190.9555783876]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.5348977014974725,0.25679970764204635,0.06036436007127755,2.157713820400044,0.0,0.0026277133396693637,0.0017983572823660715,0.0457831791469029,2321.166,2313.723,0.239,1507386.882,6.574,54757.317,0.587,5040,5040,5040,5040,28.55625,80.4375,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403, -18773.400064154725, -18932.871470148144, -18842.974632183556, -18553.122837052135, -19190.9555783876]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.5348977014974725,0.25679970764204635,0.06036436007127755,2.157713820400044,0.0,0.0026277133396693637,0.0017983572823660715,0.0457831791469029,64.0,68.0,67.0,0.0,10.0,0.0012666666666666666,0.1,-269.2488159179687,-2.7058198658987622e+19,609249462.4
-6377.451881447555,-19577.998925769785,-17757.375775173827,360.0,5,0,1,0,0,6840,6840,6840,6840,1800,1800,157.69324858133984,157.69324858133984,6840,1800,6840,False,19,4,41fd7_00000,2023-07-25_16-51-36,1690293096,11.416396141052246,45.47388744354248,71560,MacBook-Air-Bulat-2.local,127.0.0.1,45.47388744354248,4,6840,6840,6840,6840,-6377.451881447555,-19577.998925769785,-17757.375775173827,360.0,5,0,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403, -18773.400064154725, -18932.871470148144, -18842.974632183556, -18553.122837052135, -19190.9555783876, -18458.405976733862, -18900.09945582464, -19395.33878911646, -19075.669137121567, -19400.790688951307]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.533920922601292,0.25732554208249564,0.06041368686195456,2.0509578902198107,0.0,0.0025573529695209706,0.0017768458316200658,0.04570358677914268,2282.865,2275.347,0.223,1611644.188,6.68,53890.967,0.577,6840,6840,6840,6840,33.54375,79.85624999999999,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403, -18773.400064154725, -18932.871470148144, -18842.974632183556, -18553.122837052135, -19190.9555783876, -18458.405976733862, -18900.09945582464, -19395.33878911646, -19075.669137121567, -19400.790688951307]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.533920922601292,0.25732554208249564,0.06041368686195456,2.0509578902198107,0.0,0.0025573529695209706,0.0017768458316200658,0.04570358677914268,64.0,93.0,92.0,0.0,10.0,0.00095,0.1,-273.06939086914065,-2.84087702211275e+19,612362236.8
-6377.451881447555,-19955.35158449209,-18169.11456087617,360.0,5,0,1,0,0,8640,8640,8640,8640,1800,1800,159.47364078599523,159.47364078599523,8640,1800,8640,False,24,5,41fd7_00000,2023-07-25_16-51-48,1690293108,11.289244174957275,56.763131618499756,71560,MacBook-Air-Bulat-2.local,127.0.0.1,56.763131618499756,5,8640,8640,8640,8640,-6377.451881447555,-19955.35158449209,-18169.11456087617,360.0,5,0,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403, -18773.400064154725, -18932.871470148144, -18842.974632183556, -18553.122837052135, -19190.9555783876, -18458.405976733862, -18900.09945582464, -19395.33878911646, -19075.669137121567, -19400.790688951307, -19634.611543103645, -19750.703104079483, -19955.35158449209, -19539.88341539301, -19788.060085657144]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.530162066971761,0.25733823018577945,0.06038748008139994,1.9760927700317896,0.0,0.002603729565938314,0.0017543633778889973,0.045459469159444175,2270.16,2262.798,0.227,1588250.174,6.565,54833.476,0.537,8640,8640,8640,8640,30.55625,79.0,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403, -18773.400064154725, -18932.871470148144, -18842.974632183556, -18553.122837052135, -19190.9555783876, -18458.405976733862, -18900.09945582464, -19395.33878911646, -19075.669137121567, -19400.790688951307, -19634.611543103645, -19750.703104079483, -19955.35158449209, -19539.88341539301, -19788.060085657144]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.530162066971761,0.25733823018577945,0.06038748008139994,1.9760927700317896,0.0,0.002603729565938314,0.0017543633778889973,0.045459469159444175,64.0,118.0,117.0,0.0,10.0,0.0008666666666666666,0.1,-273.33619995117186,-9.484079712817906e+17,649696076.8
-6377.451881447555,-19955.35158449209,-18368.42767515622,360.0,5,0,1,0,0,10440,10440,10440,10440,1800,1800,154.70675827444018,154.70675827444018,10440,1800,10440,False,29,6,41fd7_00000,2023-07-25_16-51-59,1690293119,11.636919975280762,68.40005159378052,71560,MacBook-Air-Bulat-2.local,127.0.0.1,68.40005159378052,6,10440,10440,10440,10440,-6377.451881447555,-19955.35158449209,-18368.42767515622,360.0,5,0,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403, -18773.400064154725, -18932.871470148144, -18842.974632183556, -18553.122837052135, -19190.9555783876, -18458.405976733862, -18900.09945582464, -19395.33878911646, -19075.669137121567, -19400.790688951307, -19634.611543103645, -19750.703104079483, -19955.35158449209, -19539.88341539301, -19788.060085657144, -19578.07030660908, -19600.49577208559, -18418.99029642554, -19338.192524795322, -19689.904218586908]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.5298372355072924,0.257280992943199,0.06036226926027911,1.9218327052923638,0.0,0.002754967788170124,0.001973119275323276,0.047453518571524786,2292.192,2284.54,0.244,1472403.159,6.774,53145.152,0.589,10440,10440,10440,10440,30.947058823529414,77.2470588235294,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403, -18773.400064154725, -18932.871470148144, -18842.974632183556, -18553.122837052135, -19190.9555783876, -18458.405976733862, -18900.09945582464, -19395.33878911646, -19075.669137121567, -19400.790688951307, -19634.611543103645, -19750.703104079483, -19955.35158449209, -19539.88341539301, -19788.060085657144, -19578.07030660908, -19600.49577208559, -18418.99029642554, -19338.192524795322, -19689.904218586908]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.5298372355072924,0.257280992943199,0.06036226926027911,1.9218327052923638,0.0,0.002754967788170124,0.001973119275323276,0.047453518571524786,64.0,143.0,142.0,0.0,10.0,0.0007833333333333335,0.1,-273.35706787109376,-4.945016690292797e+19,641281081.6
-6377.451881447555,-19955.35158449209,-18486.610744309488,360.0,5,0,1,0,0,12240,12240,12240,12240,1800,1800,160.9285483162047,160.9285483162047,12240,1800,12240,False,34,7,41fd7_00000,2023-07-25_16-52-11,1690293131,11.18699598312378,79.5870475769043,71560,MacBook-Air-Bulat-2.local,127.0.0.1,79.5870475769043,7,12240,12240,12240,12240,-6377.451881447555,-19955.35158449209,-18486.610744309488,360.0,5,0,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403, -18773.400064154725, -18932.871470148144, -18842.974632183556, -18553.122837052135, -19190.9555783876, -18458.405976733862, -18900.09945582464, -19395.33878911646, -19075.669137121567, -19400.790688951307, -19634.611543103645, -19750.703104079483, -19955.35158449209, -19539.88341539301, -19788.060085657144, -19578.07030660908, -19600.49577208559, -18418.99029642554, -19338.192524795322, -19689.904218586908, -19876.321784882217, -18977.520091524, -19042.288140073273, -19405.920415042216, -18558.312295470463]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.526796191292983,0.25713413879821206,0.060331972947252205,1.8792608728355753,0.0,0.002698337330537684,0.0019389040329877067,0.04714306663064396,2281.988,2274.34,0.241,1495888.092,6.778,53114.307,0.585,12240,12240,12240,12240,29.612500000000004,64.2875,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403, -18773.400064154725, -18932.871470148144, -18842.974632183556, -18553.122837052135, -19190.9555783876, -18458.405976733862, -18900.09945582464, -19395.33878911646, -19075.669137121567, -19400.790688951307, -19634.611543103645, -19750.703104079483, -19955.35158449209, -19539.88341539301, -19788.060085657144, -19578.07030660908, -19600.49577208559, -18418.99029642554, -19338.192524795322, -19689.904218586908, -19876.321784882217, -18977.520091524, -19042.288140073273, -19405.920415042216, -18558.312295470463]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.526796191292983,0.25713413879821206,0.060331972947252205,1.8792608728355753,0.0,0.002698337330537684,0.0019389040329877067,0.04714306663064396,64.0,168.0,167.0,0.0,10.0,0.0007,0.1,-273.36000366210936,-1.5056442960366901e+19,579331833.6
-6377.451881447555,-20290.00944351614,-18592.39668895473,360.0,5,0,1,0,0,14040,14040,14040,14040,1800,1800,161.00707561288328,161.00707561288328,14040,1800,14040,False,39,8,41fd7_00000,2023-07-25_16-52-22,1690293142,11.181511163711548,90.76855874061584,71560,MacBook-Air-Bulat-2.local,127.0.0.1,90.76855874061584,8,14040,14040,14040,14040,-6377.451881447555,-20290.00944351614,-18592.39668895473,360.0,5,0,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403, -18773.400064154725, -18932.871470148144, -18842.974632183556, -18553.122837052135, -19190.9555783876, -18458.405976733862, -18900.09945582464, -19395.33878911646, -19075.669137121567, -19400.790688951307, -19634.611543103645, -19750.703104079483, -19955.35158449209, -19539.88341539301, -19788.060085657144, -19578.07030660908, -19600.49577208559, -18418.99029642554, -19338.192524795322, -19689.904218586908, -19876.321784882217, -18977.520091524, -19042.288140073273, -19405.920415042216, -18558.312295470463, -18562.808547536042, -20290.00944351614, -19315.67062493697, -19553.60290395464, -18836.614042768113]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.522453141758871,0.256895517534227,0.06029216539116349,1.8451069671934124,0.0,0.002648280217097356,0.00191346192971254,0.04671170161320613,2236.463,2229.23,0.212,1695239.07,6.466,55675.165,0.522,14040,14040,14040,14040,25.81875,65.01875,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403, -18773.400064154725, -18932.871470148144, -18842.974632183556, -18553.122837052135, -19190.9555783876, -18458.405976733862, -18900.09945582464, -19395.33878911646, -19075.669137121567, -19400.790688951307, -19634.611543103645, -19750.703104079483, -19955.35158449209, -19539.88341539301, -19788.060085657144, -19578.07030660908, -19600.49577208559, -18418.99029642554, -19338.192524795322, -19689.904218586908, -19876.321784882217, -18977.520091524, -19042.288140073273, -19405.920415042216, -18558.312295470463, -18562.808547536042, -20290.00944351614, -19315.67062493697, -19553.60290395464, -18836.614042768113]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.522453141758871,0.256895517534227,0.06029216539116349,1.8451069671934124,0.0,0.002648280217097356,0.00191346192971254,0.04671170161320613,64.0,193.0,192.0,0.0,10.0,0.0006166666666666666,0.1,-273.3638122558594,-5.4115570473617375e+19,591014243.2
-6377.451881447555,-20290.00944351614,-18682.43992076527,360.0,5,0,1,0,0,15840,15840,15840,15840,1800,1800,160.46471798306055,160.46471798306055,15840,1800,15840,False,44,9,41fd7_00000,2023-07-25_16-52-33,1690293153,11.219827890396118,101.98838663101196,71560,MacBook-Air-Bulat-2.local,127.0.0.1,101.98838663101196,9,15840,15840,15840,15840,-6377.451881447555,-20290.00944351614,-18682.43992076527,360.0,5,0,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403, -18773.400064154725, -18932.871470148144, -18842.974632183556, -18553.122837052135, -19190.9555783876, -18458.405976733862, -18900.09945582464, -19395.33878911646, -19075.669137121567, -19400.790688951307, -19634.611543103645, -19750.703104079483, -19955.35158449209, -19539.88341539301, -19788.060085657144, -19578.07030660908, -19600.49577208559, -18418.99029642554, -19338.192524795322, -19689.904218586908, -19876.321784882217, -18977.520091524, -19042.288140073273, -19405.920415042216, -18558.312295470463, -18562.808547536042, -20290.00944351614, -19315.67062493697, -19553.60290395464, -18836.614042768113, -19354.419531798914, -19671.18488637887, -19186.694321374904, -19173.38657916551, -19538.20032571928]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.518188828540383,0.2565709739311497,0.06023987057036115,1.8168174547868672,0.0,0.0027271834286776457,0.0018802556124600496,0.04630739038640803,2239.695,2232.353,0.223,1616648.223,6.552,54942.416,0.534,15840,15840,15840,15840,32.1,73.0125,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403, -18773.400064154725, -18932.871470148144, -18842.974632183556, -18553.122837052135, -19190.9555783876, -18458.405976733862, -18900.09945582464, -19395.33878911646, -19075.669137121567, -19400.790688951307, -19634.611543103645, -19750.703104079483, -19955.35158449209, -19539.88341539301, -19788.060085657144, -19578.07030660908, -19600.49577208559, -18418.99029642554, -19338.192524795322, -19689.904218586908, -19876.321784882217, -18977.520091524, -19042.288140073273, -19405.920415042216, -18558.312295470463, -18562.808547536042, -20290.00944351614, -19315.67062493697, -19553.60290395464, -18836.614042768113, -19354.419531798914, -19671.18488637887, -19186.694321374904, -19173.38657916551, -19538.20032571928]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.518188828540383,0.2565709739311497,0.06023987057036115,1.8168174547868672,0.0,0.0027271834286776457,0.0018802556124600496,0.04630739038640803,64.0,218.0,217.0,0.0,10.0,0.0005333333333333334,0.1,-273.406201171875,-2.5358606933103632e+19,633595500.8
-6377.451881447555,-20290.00944351614,-18755.965156581286,360.0,5,0,1,0,0,17640,17640,17640,17640,1800,1800,158.35932733165646,158.35932733165646,17640,1800,17640,False,49,10,41fd7_00000,2023-07-25_16-52-44,1690293164,11.368857145309448,113.35724377632141,71560,MacBook-Air-Bulat-2.local,127.0.0.1,113.35724377632141,10,17640,17640,17640,17640,-6377.451881447555,-20290.00944351614,-18755.965156581286,360.0,5,0,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403, -18773.400064154725, -18932.871470148144, -18842.974632183556, -18553.122837052135, -19190.9555783876, -18458.405976733862, -18900.09945582464, -19395.33878911646, -19075.669137121567, -19400.790688951307, -19634.611543103645, -19750.703104079483, -19955.35158449209, -19539.88341539301, -19788.060085657144, -19578.07030660908, -19600.49577208559, -18418.99029642554, -19338.192524795322, -19689.904218586908, -19876.321784882217, -18977.520091524, -19042.288140073273, -19405.920415042216, -18558.312295470463, -18562.808547536042, -20290.00944351614, -19315.67062493697, -19553.60290395464, -18836.614042768113, -19354.419531798914, -19671.18488637887, -19186.694321374904, -19173.38657916551, -19538.20032571928, -19593.6055742555, -19385.717156967276, -18820.185496771544, -19190.19025600897, -20025.237674807617]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.514904928775996,0.25625769719536695,0.06019067663700403,1.7929692038442848,0.0,0.002720404644401706,0.0018616111911073023,0.046098475553551496,2258.387,2250.861,0.247,1457198.842,6.693,53786.153,0.545,17640,17640,17640,17640,29.175,75.83125,"[-6377.451881447555, -7109.0990623892685, -19464.10253338826, -19398.512449613216, -18726.875225731746, -19255.75584207298, -19577.998925769785, -18947.188628231434, -19009.526549984403, -18773.400064154725, -18932.871470148144, -18842.974632183556, -18553.122837052135, -19190.9555783876, -18458.405976733862, -18900.09945582464, -19395.33878911646, -19075.669137121567, -19400.790688951307, -19634.611543103645, -19750.703104079483, -19955.35158449209, -19539.88341539301, -19788.060085657144, -19578.07030660908, -19600.49577208559, -18418.99029642554, -19338.192524795322, -19689.904218586908, -19876.321784882217, -18977.520091524, -19042.288140073273, -19405.920415042216, -18558.312295470463, -18562.808547536042, -20290.00944351614, -19315.67062493697, -19553.60290395464, -18836.614042768113, -19354.419531798914, -19671.18488637887, -19186.694321374904, -19173.38657916551, -19538.20032571928, -19593.6055742555, -19385.717156967276, -18820.185496771544, -19190.19025600897, -20025.237674807617]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.514904928775996,0.25625769719536695,0.06019067663700403,1.7929692038442848,0.0,0.002720404644401706,0.0018616111911073023,0.046098475553551496,64.0,243.0,242.0,0.0,10.0,0.00045,0.1,-273.4180908203125,-6.810141248802438e+18,669794809.6
