episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss
-2422.3370447059615,-24990.34634919007,-9973.171607454296,360.0,4,0,1,0,0,1440,1440,1440,1440,1440,1440,133.82800301149678,133.82800301149678,1440,1440,1440,False,4,1,f5e97_00000,2023-07-25_16-56-04,1690293364,10.761929035186768,10.761929035186768,71917,MacBook-Air-Bulat-2.local,127.0.0.1,10.761929035186768,1,1440,1440,1440,1440,-2422.3370447059615,-24990.34634919007,-9973.171607454296,360.0,4,0,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007]","[360, 360, 360, 360]",4.420150906405955,0.25447220706344065,0.06027373896962152,2.6823931647041954,0.0,0.0022411346435546875,0.0017404556274414062,0.04337430000305176,2690.004,2679.402,0.255,1413479.466,9.77,36846.009,0.544,1440,1440,1440,1440,27.4125,77.25,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007]","[360, 360, 360, 360]",4.420150906405955,0.25447220706344065,0.06027373896962152,2.6823931647041954,0.0,0.0022411346435546875,0.0017404556274414062,0.04337430000305176,64.0,18.0,17.0,0.0,10.0,0.0026,0.1,-132.2721160888672,-907696246294.9625,1043048851.2
-2422.3370447059615,-25733.06477177539,-18634.29305006073,360.0,5,0,1,0,0,3240,3240,3240,3240,1800,1800,161.2408520516738,161.2408520516738,3240,1800,3240,False,9,2,f5e97_00000,2023-07-25_16-56-15,1690293375,11.165281057357788,21.927210092544556,71917,MacBook-Air-Bulat-2.local,127.0.0.1,21.927210092544556,2,3240,3240,3240,3240,-2422.3370447059615,-25733.06477177539,-18634.29305006073,360.0,5,0,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986]","[360, 360, 360, 360, 360, 360, 360, 360, 360]",4.409131743508016,0.25265499662677104,0.05991084756600529,2.3072897968034156,0.0,0.0024583604600694445,0.0017722447713216145,0.04374980926513672,2435.933,2426.981,0.23,1565255.121,8.131,44277.157,0.558,3240,3240,3240,3240,25.05,76.91874999999999,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986]","[360, 360, 360, 360, 360, 360, 360, 360, 360]",4.409131743508016,0.25265499662677104,0.05991084756600529,2.3072897968034156,0.0,0.0024583604600694445,0.0017722447713216145,0.04374980926513672,64.0,43.0,42.0,0.0,10.0,0.0019333333333333333,0.1,-831.9997680664062,-1.374818784066063e+20,1087136608.0
-2422.3370447059615,-25876.087019490118,-21191.13536602107,360.0,5,0,1,0,0,5040,5040,5040,5040,1800,1800,161.640846121176,161.640846121176,5040,1800,5040,False,14,3,f5e97_00000,2023-07-25_16-56-26,1690293386,11.13768982887268,33.064899921417236,71917,MacBook-Air-Bulat-2.local,127.0.0.1,33.064899921417236,3,5040,5040,5040,5040,-2422.3370447059615,-25876.087019490118,-21191.13536602107,360.0,5,0,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986, -25741.25838094305, -25682.951867265267, -25875.54927130328, -25791.41113474669, -25876.087019490118]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.407392819982701,0.25133440246761246,0.05963858886986053,2.12686688017907,0.0,0.0025442668369838168,0.0018290110996791295,0.04444973809378488,2229.913,2222.611,0.209,1719172.766,6.526,55161.597,0.534,5040,5040,5040,5040,25.30625,76.1,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986, -25741.25838094305, -25682.951867265267, -25875.54927130328, -25791.41113474669, -25876.087019490118]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.407392819982701,0.25133440246761246,0.05963858886986053,2.12686688017907,0.0,0.0025442668369838168,0.0018290110996791295,0.04444973809378488,64.0,68.0,67.0,0.0,10.0,0.0012666666666666666,0.1,-921.257470703125,-3.631133280756741e+20,1109055148.8
-2422.3370447059615,-25876.087019490118,-22362.78405435583,360.0,5,0,1,0,0,6840,6840,6840,6840,1800,1800,161.37122339684933,161.37122339684933,6840,1800,6840,False,19,4,f5e97_00000,2023-07-25_16-56-37,1690293397,11.156280755996704,44.22118067741394,71917,MacBook-Air-Bulat-2.local,127.0.0.1,44.22118067741394,4,6840,6840,6840,6840,-2422.3370447059615,-25876.087019490118,-22362.78405435583,360.0,5,0,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986, -25741.25838094305, -25682.951867265267, -25875.54927130328, -25791.41113474669, -25876.087019490118, -25758.293694585434, -25634.18668867263, -25774.040714141163, -25322.081785864284, -25728.39902520237]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.406412990290276,0.2503298859995251,0.059450666646270016,2.017266958972467,0.0,0.00244065334922389,0.0018107263665450247,0.04417017886513158,2229.011,2221.958,0.21,1715461.759,6.307,57083.051,0.505,6840,6840,6840,6840,27.32666666666667,76.44666666666667,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986, -25741.25838094305, -25682.951867265267, -25875.54927130328, -25791.41113474669, -25876.087019490118, -25758.293694585434, -25634.18668867263, -25774.040714141163, -25322.081785864284, -25728.39902520237]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.406412990290276,0.2503298859995251,0.059450666646270016,2.017266958972467,0.0,0.00244065334922389,0.0018107263665450247,0.04417017886513158,64.0,93.0,92.0,0.0,10.0,0.00095,0.1,-926.2906005859375,-1.0081997599464122e+19,1096691200.0
-2422.3370447059615,-26046.034745217887,-23094.272806945297,360.0,5,0,1,0,0,8640,8640,8640,8640,1800,1800,161.5723800337875,161.5723800337875,8640,1800,8640,False,24,5,f5e97_00000,2023-07-25_16-56-48,1690293408,11.142423152923584,55.363603830337524,71917,MacBook-Air-Bulat-2.local,127.0.0.1,55.363603830337524,5,8640,8640,8640,8640,-2422.3370447059615,-26046.034745217887,-23094.272806945297,360.0,5,0,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986, -25741.25838094305, -25682.951867265267, -25875.54927130328, -25791.41113474669, -25876.087019490118, -25758.293694585434, -25634.18668867263, -25774.040714141163, -25322.081785864284, -25728.39902520237, -26006.438038763314, -25689.929666468986, -26046.034745217887, -25784.412419518667, -25842.835463957334]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.406052726934463,0.2496677562504095,0.05932682442738141,1.9414195036108584,0.0,0.0024686257044474282,0.0018239021301269531,0.0440448522567749,2229.482,2222.27,0.212,1699627.915,6.433,55963.02,0.536,8640,8640,8640,8640,24.43125,76.63749999999999,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986, -25741.25838094305, -25682.951867265267, -25875.54927130328, -25791.41113474669, -25876.087019490118, -25758.293694585434, -25634.18668867263, -25774.040714141163, -25322.081785864284, -25728.39902520237, -26006.438038763314, -25689.929666468986, -26046.034745217887, -25784.412419518667, -25842.835463957334]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.406052726934463,0.2496677562504095,0.05932682442738141,1.9414195036108584,0.0,0.0024686257044474282,0.0018239021301269531,0.0440448522567749,64.0,118.0,117.0,0.0,10.0,0.0008666666666666666,0.1,-926.64033203125,-4.022273898800293e+20,1106433612.8
-2422.3370447059615,-26046.034745217887,-23549.797490732148,360.0,5,0,1,0,0,10440,10440,10440,10440,1800,1800,160.65790999957463,160.65790999957463,10440,1800,10440,False,29,6,f5e97_00000,2023-07-25_16-56-59,1690293419,11.206015825271606,66.56961965560913,71917,MacBook-Air-Bulat-2.local,127.0.0.1,66.56961965560913,6,10440,10440,10440,10440,-2422.3370447059615,-26046.034745217887,-23549.797490732148,360.0,5,0,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986, -25741.25838094305, -25682.951867265267, -25875.54927130328, -25791.41113474669, -25876.087019490118, -25758.293694585434, -25634.18668867263, -25774.040714141163, -25322.081785864284, -25728.39902520237, -26006.438038763314, -25689.929666468986, -26046.034745217887, -25784.412419518667, -25842.835463957334, -25734.83061046133, -25844.28041359334, -25635.44875060622, -25803.193126233928, -25663.826963650325]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.406559826138338,0.2492433346760548,0.05924695961268471,1.885648835086127,0.0,0.002499284415409483,0.001830890260893723,0.044284195735536776,2234.435,2227.243,0.219,1641249.391,6.411,56150.318,0.53,10440,10440,10440,10440,24.687500000000004,77.05,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986, -25741.25838094305, -25682.951867265267, -25875.54927130328, -25791.41113474669, -25876.087019490118, -25758.293694585434, -25634.18668867263, -25774.040714141163, -25322.081785864284, -25728.39902520237, -26006.438038763314, -25689.929666468986, -26046.034745217887, -25784.412419518667, -25842.835463957334, -25734.83061046133, -25844.28041359334, -25635.44875060622, -25803.193126233928, -25663.826963650325]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.406559826138338,0.2492433346760548,0.05924695961268471,1.885648835086127,0.0,0.002499284415409483,0.001830890260893723,0.044284195735536776,64.0,143.0,142.0,0.0,10.0,0.0007833333333333335,0.1,-926.6677612304687,-3.89038294110739e+19,1096247769.6
-2422.3370447059615,-26099.42399150872,-23873.30018329586,360.0,5,0,1,0,0,12240,12240,12240,12240,1800,1800,161.73019312902576,161.73019312902576,12240,1800,12240,False,34,7,f5e97_00000,2023-07-25_16-57-11,1690293431,11.131549835205078,77.70116949081421,71917,MacBook-Air-Bulat-2.local,127.0.0.1,77.70116949081421,7,12240,12240,12240,12240,-2422.3370447059615,-26099.42399150872,-23873.30018329586,360.0,5,0,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986, -25741.25838094305, -25682.951867265267, -25875.54927130328, -25791.41113474669, -25876.087019490118, -25758.293694585434, -25634.18668867263, -25774.040714141163, -25322.081785864284, -25728.39902520237, -26006.438038763314, -25689.929666468986, -26046.034745217887, -25784.412419518667, -25842.835463957334, -25734.83061046133, -25844.28041359334, -25635.44875060622, -25803.193126233928, -25663.826963650325, -25802.505894538343, -25696.01838045785, -25481.06001408537, -26099.42399150872, -25669.070720236832]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.406914623897434,0.2488927227122912,0.05917741348480801,1.8422433174321469,0.0,0.0024578150580911074,0.0018358230590820312,0.04432061139275046,2233.348,2226.218,0.225,1599522.712,6.354,56656.602,0.519,12240,12240,12240,12240,28.8375,77.2125,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986, -25741.25838094305, -25682.951867265267, -25875.54927130328, -25791.41113474669, -25876.087019490118, -25758.293694585434, -25634.18668867263, -25774.040714141163, -25322.081785864284, -25728.39902520237, -26006.438038763314, -25689.929666468986, -26046.034745217887, -25784.412419518667, -25842.835463957334, -25734.83061046133, -25844.28041359334, -25635.44875060622, -25803.193126233928, -25663.826963650325, -25802.505894538343, -25696.01838045785, -25481.06001408537, -26099.42399150872, -25669.070720236832]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.406914623897434,0.2488927227122912,0.05917741348480801,1.8422433174321469,0.0,0.0024578150580911074,0.0018358230590820312,0.04432061139275046,64.0,168.0,167.0,0.0,10.0,0.0007,0.1,-926.6711303710938,-3.184076558571954e+20,1086358726.4
-2422.3370447059615,-26099.42399150872,-24096.926719343443,360.0,5,0,1,0,0,14040,14040,14040,14040,1800,1800,161.36642223786686,161.36642223786686,14040,1800,14040,False,39,8,f5e97_00000,2023-07-25_16-57-22,1690293442,11.156621217727661,88.85779070854187,71917,MacBook-Air-Bulat-2.local,127.0.0.1,88.85779070854187,8,14040,14040,14040,14040,-2422.3370447059615,-26099.42399150872,-24096.926719343443,360.0,5,0,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986, -25741.25838094305, -25682.951867265267, -25875.54927130328, -25791.41113474669, -25876.087019490118, -25758.293694585434, -25634.18668867263, -25774.040714141163, -25322.081785864284, -25728.39902520237, -26006.438038763314, -25689.929666468986, -26046.034745217887, -25784.412419518667, -25842.835463957334, -25734.83061046133, -25844.28041359334, -25635.44875060622, -25803.193126233928, -25663.826963650325, -25802.505894538343, -25696.01838045785, -25481.06001408537, -26099.42399150872, -25669.070720236832, -25574.459522488956, -25661.384923105496, -25628.895882615365, -25692.711051277838, -25530.484442847315]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.407213868038216,0.24858674744441983,0.05911537185942593,1.807554251462849,0.0,0.002389076428535657,0.0018443816747420873,0.0441887439825596,2228.428,2221.205,0.222,1618380.965,6.432,55974.223,0.537,14040,14040,14040,14040,25.89375,77.4375,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986, -25741.25838094305, -25682.951867265267, -25875.54927130328, -25791.41113474669, -25876.087019490118, -25758.293694585434, -25634.18668867263, -25774.040714141163, -25322.081785864284, -25728.39902520237, -26006.438038763314, -25689.929666468986, -26046.034745217887, -25784.412419518667, -25842.835463957334, -25734.83061046133, -25844.28041359334, -25635.44875060622, -25803.193126233928, -25663.826963650325, -25802.505894538343, -25696.01838045785, -25481.06001408537, -26099.42399150872, -25669.070720236832, -25574.459522488956, -25661.384923105496, -25628.895882615365, -25692.711051277838, -25530.484442847315]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.407213868038216,0.24858674744441983,0.05911537185942593,1.807554251462849,0.0,0.002389076428535657,0.0018443816747420873,0.0441887439825596,64.0,193.0,192.0,0.0,10.0,0.0006166666666666666,0.1,-926.6709350585937,-9.802350848403336e+19,1077552838.4
-2422.3370447059615,-26099.42399150872,-24288.504757337967,360.0,5,0,1,0,0,15840,15840,15840,15840,1800,1800,160.31464341750453,160.31464341750453,15840,1800,15840,False,44,9,f5e97_00000,2023-07-25_16-57-33,1690293453,11.229753017425537,100.08754372596741,71917,MacBook-Air-Bulat-2.local,127.0.0.1,100.08754372596741,9,15840,15840,15840,15840,-2422.3370447059615,-26099.42399150872,-24288.504757337967,360.0,5,0,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986, -25741.25838094305, -25682.951867265267, -25875.54927130328, -25791.41113474669, -25876.087019490118, -25758.293694585434, -25634.18668867263, -25774.040714141163, -25322.081785864284, -25728.39902520237, -26006.438038763314, -25689.929666468986, -26046.034745217887, -25784.412419518667, -25842.835463957334, -25734.83061046133, -25844.28041359334, -25635.44875060622, -25803.193126233928, -25663.826963650325, -25802.505894538343, -25696.01838045785, -25481.06001408537, -26099.42399150872, -25669.070720236832, -25574.459522488956, -25661.384923105496, -25628.895882615365, -25692.711051277838, -25530.484442847315, -25739.569920149836, -25575.22608879392, -25806.46826871708, -26030.406526650026, -25762.396464165115]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.4078325023395495,0.24833478606211135,0.0590674425708682,1.779196455613504,0.0,0.0024817206642844462,0.001810355619950728,0.04406354644081809,2238.256,2230.674,0.222,1618034.119,6.787,53040.422,0.539,15840,15840,15840,15840,26.51875,77.5625,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986, -25741.25838094305, -25682.951867265267, -25875.54927130328, -25791.41113474669, -25876.087019490118, -25758.293694585434, -25634.18668867263, -25774.040714141163, -25322.081785864284, -25728.39902520237, -26006.438038763314, -25689.929666468986, -26046.034745217887, -25784.412419518667, -25842.835463957334, -25734.83061046133, -25844.28041359334, -25635.44875060622, -25803.193126233928, -25663.826963650325, -25802.505894538343, -25696.01838045785, -25481.06001408537, -26099.42399150872, -25669.070720236832, -25574.459522488956, -25661.384923105496, -25628.895882615365, -25692.711051277838, -25530.484442847315, -25739.569920149836, -25575.22608879392, -25806.46826871708, -26030.406526650026, -25762.396464165115]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.4078325023395495,0.24833478606211135,0.0590674425708682,1.779196455613504,0.0,0.0024817206642844462,0.001810355619950728,0.04406354644081809,64.0,218.0,217.0,0.0,10.0,0.0005333333333333334,0.1,-926.6711303710938,-9.84234593518251e+19,1091691456.0
-2422.3370447059615,-26099.42399150872,-24422.15321075046,360.0,5,0,1,0,0,17640,17640,17640,17640,1800,1800,161.32751648742294,161.32751648742294,17640,1800,17640,False,49,10,f5e97_00000,2023-07-25_16-57-44,1690293464,11.159456014633179,111.24699974060059,71917,MacBook-Air-Bulat-2.local,127.0.0.1,111.24699974060059,10,17640,17640,17640,17640,-2422.3370447059615,-26099.42399150872,-24422.15321075046,360.0,5,0,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986, -25741.25838094305, -25682.951867265267, -25875.54927130328, -25791.41113474669, -25876.087019490118, -25758.293694585434, -25634.18668867263, -25774.040714141163, -25322.081785864284, -25728.39902520237, -26006.438038763314, -25689.929666468986, -26046.034745217887, -25784.412419518667, -25842.835463957334, -25734.83061046133, -25844.28041359334, -25635.44875060622, -25803.193126233928, -25663.826963650325, -25802.505894538343, -25696.01838045785, -25481.06001408537, -26099.42399150872, -25669.070720236832, -25574.459522488956, -25661.384923105496, -25628.895882615365, -25692.711051277838, -25530.484442847315, -25739.569920149836, -25575.22608879392, -25806.46826871708, -26030.406526650026, -25762.396464165115, -25472.808615743124, -25512.665211606723, -25694.924278548217, -25700.022311652854, -25610.877586351526]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.408073902089295,0.24811633886108686,0.05902625554669563,1.7556808967905717,0.0,0.002514099588199538,0.0018139274752869898,0.044260219651825576,2238.525,2231.068,0.219,1640714.376,6.677,53915.79,0.528,17640,17640,17640,17640,26.56875,77.21875,"[-6436.033434161671, -6043.969601759489, -2422.3370447059615, -24990.34634919007, -25452.837867188566, -25310.57312518208, -25686.93441898636, -25733.06477177539, -25632.540837596986, -25741.25838094305, -25682.951867265267, -25875.54927130328, -25791.41113474669, -25876.087019490118, -25758.293694585434, -25634.18668867263, -25774.040714141163, -25322.081785864284, -25728.39902520237, -26006.438038763314, -25689.929666468986, -26046.034745217887, -25784.412419518667, -25842.835463957334, -25734.83061046133, -25844.28041359334, -25635.44875060622, -25803.193126233928, -25663.826963650325, -25802.505894538343, -25696.01838045785, -25481.06001408537, -26099.42399150872, -25669.070720236832, -25574.459522488956, -25661.384923105496, -25628.895882615365, -25692.711051277838, -25530.484442847315, -25739.569920149836, -25575.22608879392, -25806.46826871708, -26030.406526650026, -25762.396464165115, -25472.808615743124, -25512.665211606723, -25694.924278548217, -25700.022311652854, -25610.877586351526]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.408073902089295,0.24811633886108686,0.05902625554669563,1.7556808967905717,0.0,0.002514099588199538,0.0018139274752869898,0.044260219651825576,64.0,243.0,242.0,0.0,10.0,0.00045,0.1,-926.6713500976563,-5.539077745205685e+18,1087954604.8
