episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-3701.422946165961,-3701.422946165961,-3701.422946165961,120.0,1,0,1,0,0,120,120,120,120,120,120,19.779752029057875,19.779752029057875,120,120,120,False,1,1,2492c_00000,2023-07-25_19-20-29,1690302029,6.0693700313568115,6.0693700313568115,78734,MacBook-Air-Bulat-2.local,127.0.0.1,6.0693700313568115,1,120,120,120,120,-3701.422946165961,-3701.422946165961,-3701.422946165961,120.0,1,0,[-3701.422946165961],[120],21.08015501794736,0.47173381836946343,0.09921168492845266,27.563910838986228,0.0,0.0032901763916015625,0.0031232833862304688,0.06895065307617188,6066.785,5960.933,0.563,213179.365,104.205,1151.575,0.832,120,120,120,120,22.9,78.2888888888889,[-3701.422946165961],[120],21.08015501794736,0.47173381836946343,0.09921168492845266,27.563910838986228,0.0,0.0032901763916015625,0.0031232833862304688,0.06895065307617188,64.0,15.5,14.5,0.0,3.6074395100275676,0.20000000000000007,0.0020000000000000005,9.476425743103027,0.8408867557843526,10.0,-2.384185791015625e-07,0.05424431583087429,4.584365749359131,0.30000000000000004
-3701.422946165961,-4356.1733646595885,-4028.7981554127746,120.0,1,0,1,0,0,240,240,240,240,120,120,38.86786024338067,38.86786024338067,240,120,240,False,2,2,2492c_00000,2023-07-25_19-20-33,1690302033,3.0940020084381104,9.163372039794922,78734,MacBook-Air-Bulat-2.local,127.0.0.1,9.163372039794922,2,240,240,240,240,-3701.422946165961,-4356.1733646595885,-4028.7981554127746,120.0,1,0,"[-3701.422946165961, -4356.1733646595885]","[120, 120]",21.247610225463607,0.4678813278223359,0.0988249343624045,21.35811929312603,0.0,0.0034570693969726562,0.002944469451904297,0.06889104843139648,4577.058,4479.481,0.4,299950.226,95.99,1250.136,0.912,240,240,240,240,30.74,78.1,"[-3701.422946165961, -4356.1733646595885]","[120, 120]",21.247610225463607,0.4678813278223359,0.0988249343624045,21.35811929312603,0.0,0.0034570693969726562,0.002944469451904297,0.06889104843139648,64.0,45.5,14.5,0.0,0.6607803499093279,0.3000000000000001,0.0019666666666666665,8.7099596341451,0.6015505691369375,10.0,-2.5033950805664062e-06,10.214384861096429,16.519688367843628,0.30000000000000004
-3701.422946165961,-9741.433348946648,-5933.009886590732,120.0,1,0,1,0,0,360,360,360,360,120,120,37.731777452623916,37.731777452623916,360,120,360,False,3,3,2492c_00000,2023-07-25_19-20-36,1690302036,3.183014154434204,12.346386194229126,78734,MacBook-Air-Bulat-2.local,127.0.0.1,12.346386194229126,3,360,360,360,360,-3701.422946165961,-9741.433348946648,-5933.009886590732,120.0,1,0,"[-3701.422946165961, -4356.1733646595885, -9741.433348946648]","[120, 120, 120]",21.425352685597307,0.4666069914238398,0.098777568512476,17.9029537860013,0.0,0.0035047531127929688,0.002956390380859375,0.0690460205078125,4111.48,4016.577,0.347,345526.188,93.402,1284.773,0.897,360,360,360,360,19.275,77.575,"[-3701.422946165961, -4356.1733646595885, -9741.433348946648]","[120, 120, 120]",21.425352685597307,0.4666069914238398,0.098777568512476,17.9029537860013,0.0,0.0035047531127929688,0.002956390380859375,0.0690460205078125,64.0,75.5,14.5,0.0,2.314398642381032,0.4499999999999999,0.0019333333333333336,3.9728466192881267,0.6245652695496877,10.0,5.364418029785156e-07,1.7694674218694368,24.826595751444497,0.30000000000000004
-3701.422946165961,-10210.581128632315,-7002.402697101128,120.0,1,0,1,0,0,480,480,480,480,120,120,38.61384443203986,38.61384443203986,480,120,480,False,4,4,2492c_00000,2023-07-25_19-20-39,1690302039,3.110322952270508,15.456709146499634,78734,MacBook-Air-Bulat-2.local,127.0.0.1,15.456709146499634,4,480,480,480,480,-3701.422946165961,-10210.581128632315,-7002.402697101128,120.0,1,0,"[-3701.422946165961, -4356.1733646595885, -9741.433348946648, -10210.581128632315]","[120, 120, 120, 120]",21.502077515691884,0.4654044837705953,0.09867486320415128,15.677395514552597,0.0,0.0036001205444335938,0.0029265880584716797,0.07029175758361816,3860.529,3767.965,0.315,380723.51,91.132,1316.766,0.868,480,480,480,480,27.26,78.16,"[-3701.422946165961, -4356.1733646595885, -9741.433348946648, -10210.581128632315]","[120, 120, 120, 120]",21.502077515691884,0.4654044837705953,0.09867486320415128,15.677395514552597,0.0,0.0036001205444335938,0.0029265880584716797,0.07029175758361816,64.0,105.5,14.5,0.0,2.7122767210006713,0.6750000000000003,0.0018999999999999998,3.277233187357585,0.7627096315224965,10.0,4.76837158203125e-07,0.20482994820922612,25.412454477945964,0.30000000000000004
-3701.422946165961,-10729.562351905548,-7747.834628062012,120.0,1,0,1,0,0,600,600,600,600,120,120,38.86579231149685,38.86579231149685,600,120,600,False,5,5,2492c_00000,2023-07-25_19-20-42,1690302042,3.0902509689331055,18.54696011543274,78734,MacBook-Air-Bulat-2.local,127.0.0.1,18.54696011543274,5,600,600,600,600,-3701.422946165961,-10729.562351905548,-7747.834628062012,120.0,1,0,"[-3701.422946165961, -4356.1733646595885, -9741.433348946648, -10210.581128632315, -10729.562351905548]","[120, 120, 120, 120, 120]",21.55191357692214,0.4642307359648029,0.09855939907493252,14.085687819012241,0.0,0.004172325134277344,0.0028944015502929688,0.06953716278076172,3705.929,3614.24,0.297,403816.175,90.264,1329.439,0.884,600,600,600,600,29.3,77.925,"[-3701.422946165961, -4356.1733646595885, -9741.433348946648, -10210.581128632315, -10729.562351905548]","[120, 120, 120, 120, 120]",21.55191357692214,0.4642307359648029,0.09855939907493252,14.085687819012241,0.0,0.004172325134277344,0.0028944015502929688,0.06953716278076172,64.0,135.5,14.5,0.0,3.7983289837837217,1.0125,0.001866666666666667,2.9895366430282593,0.6856422225634257,10.0,-4.76837158203125e-07,0.18675904509921867,26.283995819091796,0.30000000000000004
-3701.422946165961,-12023.30167856081,-8460.412469811812,120.0,1,0,1,0,0,720,720,720,720,120,120,37.023725376957664,37.023725376957664,720,120,720,False,6,6,2492c_00000,2023-07-25_19-20-45,1690302045,3.243781805038452,21.79074192047119,78734,MacBook-Air-Bulat-2.local,127.0.0.1,21.79074192047119,6,720,720,720,720,-3701.422946165961,-12023.30167856081,-8460.412469811812,120.0,1,0,"[-3701.422946165961, -4356.1733646595885, -9741.433348946648, -10210.581128632315, -10729.562351905548, -12023.30167856081]","[120, 120, 120, 120, 120, 120]",21.613541144914475,0.4632691251406183,0.09845127812526411,12.891784654914353,0.0,0.004065036773681641,0.0028928120930989585,0.06934404373168945,3628.465,3537.822,0.285,421126.604,89.22,1344.986,0.898,720,720,720,720,23.94,78.38,"[-3701.422946165961, -4356.1733646595885, -9741.433348946648, -10210.581128632315, -10729.562351905548, -12023.30167856081]","[120, 120, 120, 120, 120, 120]",21.613541144914475,0.4632691251406183,0.09845127812526411,12.891784654914353,0.0,0.004065036773681641,0.0028928120930989585,0.06934404373168945,64.0,165.5,14.5,0.0,3.530676754315694,1.5187499999999996,0.001833333333333333,2.9066662232081097,0.7462051749229431,10.0,-8.344650268554688e-07,0.04940359636675566,26.381901041666666,0.30000000000000004
-3701.422946165961,-12023.30167856081,-8739.834969394376,120.0,1,0,1,0,0,840,840,840,840,120,120,36.990651438942876,36.990651438942876,840,120,840,False,7,7,2492c_00000,2023-07-25_19-20-49,1690302049,3.2466180324554443,25.037359952926636,78734,MacBook-Air-Bulat-2.local,127.0.0.1,25.037359952926636,7,840,840,840,840,-3701.422946165961,-12023.30167856081,-8739.834969394376,120.0,1,0,"[-3701.422946165961, -4356.1733646595885, -9741.433348946648, -10210.581128632315, -10729.562351905548, -12023.30167856081, -10416.369966889772]","[120, 120, 120, 120, 120, 120, 120]",21.672986672206775,0.4622463191943906,0.09832512363842598,11.959576038454504,0.0,0.00400543212890625,0.00286102294921875,0.06913117000034877,3573.548,3482.926,0.276,434160.858,89.214,1345.077,0.896,840,840,840,840,22.175,77.85,"[-3701.422946165961, -4356.1733646595885, -9741.433348946648, -10210.581128632315, -10729.562351905548, -12023.30167856081, -10416.369966889772]","[120, 120, 120, 120, 120, 120, 120]",21.672986672206775,0.4622463191943906,0.09832512363842598,11.959576038454504,0.0,0.00400543212890625,0.00286102294921875,0.06913117000034877,64.0,195.5,14.5,0.0,4.280072077115377,2.2781250000000006,0.0018000000000000006,2.8578954458236696,0.74685773452123,10.0,-1.6689300537109375e-06,0.040891871496569365,26.607062657674152,0.30000000000000004
-3701.422946165961,-12023.30167856081,-8940.706120756502,120.0,1,0,1,0,0,960,960,960,960,120,120,40.00384049728081,40.00384049728081,960,120,960,False,8,8,2492c_00000,2023-07-25_19-20-52,1690302052,3.002429962158203,28.03978991508484,78734,MacBook-Air-Bulat-2.local,127.0.0.1,28.03978991508484,8,960,960,960,960,-3701.422946165961,-12023.30167856081,-8940.706120756502,120.0,1,0,"[-3701.422946165961, -4356.1733646595885, -9741.433348946648, -10210.581128632315, -10729.562351905548, -12023.30167856081, -10416.369966889772, -10346.804180291385]","[120, 120, 120, 120, 120, 120, 120, 120]",21.701661995484102,0.4615183385866177,0.09824006928458708,11.202698867399214,0.0,0.0039577484130859375,0.002872943878173828,0.0690460205078125,3501.816,3411.681,0.269,446202.553,88.739,1352.287,0.895,960,960,960,960,32.019999999999996,77.67999999999999,"[-3701.422946165961, -4356.1733646595885, -9741.433348946648, -10210.581128632315, -10729.562351905548, -12023.30167856081, -10416.369966889772, -10346.804180291385]","[120, 120, 120, 120, 120, 120, 120, 120]",21.701661995484102,0.4615183385866177,0.09824006928458708,11.202698867399214,0.0,0.0039577484130859375,0.002872943878173828,0.0690460205078125,64.0,225.5,14.5,0.0,7.867588011423747,3.4171874999999994,0.0017666666666666668,2.758739391962687,0.7220353464285533,10.0,-1.1920928955078125e-07,0.027093814709223805,26.852934646606446,0.30000000000000004
-3701.422946165961,-12023.30167856081,-9126.50348240853,120.0,1,0,1,0,0,1080,1080,1080,1080,120,120,36.881124150856955,36.881124150856955,1080,120,1080,False,9,9,2492c_00000,2023-07-25_19-20-55,1690302055,3.2563059329986572,31.296095848083496,78734,MacBook-Air-Bulat-2.local,127.0.0.1,31.296095848083496,9,1080,1080,1080,1080,-3701.422946165961,-12023.30167856081,-9126.50348240853,120.0,1,0,"[-3701.422946165961, -4356.1733646595885, -9741.433348946648, -10210.581128632315, -10729.562351905548, -12023.30167856081, -10416.369966889772, -10346.804180291385, -10612.882375624758]","[120, 120, 120, 120, 120, 120, 120, 120, 120]",21.734359734969914,0.461223732256821,0.0981984174308716,10.578561712578214,0.0,0.0038968192206488717,0.0028689702351888022,0.06884998745388454,3474.245,3384.485,0.263,455948.497,88.376,1357.839,0.891,1080,1080,1080,1080,21.75,77.22500000000001,"[-3701.422946165961, -4356.1733646595885, -9741.433348946648, -10210.581128632315, -10729.562351905548, -12023.30167856081, -10416.369966889772, -10346.804180291385, -10612.882375624758]","[120, 120, 120, 120, 120, 120, 120, 120, 120]",21.734359734969914,0.461223732256821,0.0981984174308716,10.578561712578214,0.0,0.0038968192206488717,0.0028689702351888022,0.06884998745388454,64.0,255.5,14.5,0.0,9.833075777689617,5.125781249999998,0.001733333333333334,2.7350050767262775,0.7544131676355997,10.0,4.76837158203125e-07,0.0152461739606224,26.99185415903727,0.30000000000000004
-3701.422946165961,-12023.30167856081,-9386.732047378635,120.0,1,0,1,0,0,1200,1200,1200,1200,120,120,36.72399693434347,36.72399693434347,1200,120,1200,False,10,10,2492c_00000,2023-07-25_19-20-58,1690302058,3.270217180252075,34.56631302833557,78734,MacBook-Air-Bulat-2.local,127.0.0.1,34.56631302833557,10,1200,1200,1200,1200,-3701.422946165961,-12023.30167856081,-9386.732047378635,120.0,1,0,"[-3701.422946165961, -4356.1733646595885, -9741.433348946648, -10210.581128632315, -10729.562351905548, -12023.30167856081, -10416.369966889772, -10346.804180291385, -10612.882375624758, -11728.789132109572]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",21.768066704919505,0.4608080865537357,0.09812973675966344,10.055190048859682,0.0,0.004150867462158203,0.0028371810913085938,0.06865501403808594,3453.581,3364.056,0.258,464485.493,88.154,1361.253,0.884,1200,1200,1200,1200,20.68,77.48,"[-3701.422946165961, -4356.1733646595885, -9741.433348946648, -10210.581128632315, -10729.562351905548, -12023.30167856081, -10416.369966889772, -10346.804180291385, -10612.882375624758, -11728.789132109572]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",21.768066704919505,0.4608080865537357,0.09812973675966344,10.055190048859682,0.0,0.004150867462158203,0.0028371810913085938,0.06865501403808594,64.0,285.5,14.5,0.0,8.414131943384806,5.125781249999998,0.0017000000000000001,2.698358694712321,0.7690425038337707,10.0,0.0,0.014511866588145494,27.150226593017578,0.30000000000000004
