episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss
141.3411668981426,-177.00578182899812,-18.261019674104887,120.0,3,0,1,0,0,360,360,360,360,360,360,32.48207107112915,32.48207107112915,360,360,360,False,3,1,a33fa_00000,2023-07-26_04-13-50,1690334030,11.085442066192627,11.085442066192627,97449,MacBook-Air-Bulat-2.local,127.0.0.1,11.085442066192627,1,360,360,360,360,141.3411668981426,-177.00578182899812,-18.261019674104887,120.0,3,0,"[-177.00578182899812, -19.118444091459132, 141.3411668981426]","[120, 120, 120]",20.65780882690092,0.42291757472664376,0.09571019962553834,9.357956307746697,0.0,0.0037431716918945312,0.002686182657877604,0.06847381591796875,3694.331,3679.959,0.318,377865.225,13.26,9050.013,0.752,360,360,360,360,38.625,77.625,"[-177.00578182899812, -19.118444091459132, 141.3411668981426]","[120, 120, 120]",20.65780882690092,0.42291757472664376,0.09571019962553834,9.357956307746697,0.0,0.0037431716918945312,0.002686182657877604,0.06847381591796875,64.0,3.0,2.0,0.0,10.0,0.0005,0.05,256.6390075683594,25561.9140625,158550.296875
253.81070828756225,-177.00578182899812,90.85508015735878,120.0,4,0,1,0,0,840,840,840,840,480,480,43.51788517438813,43.51788517438813,840,480,840,False,7,2,a33fa_00000,2023-07-26_04-14-01,1690334041,11.032326936721802,22.11776900291443,97449,MacBook-Air-Bulat-2.local,127.0.0.1,22.11776900291443,2,840,840,840,840,253.81070828756225,-177.00578182899812,90.85508015735878,120.0,4,0,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225]","[120, 120, 120, 120, 120, 120, 120]",20.737837201257644,0.41198514286231347,0.09517818914349462,6.800526996964825,0.0,0.004141671316964286,0.002677100045340402,0.06724085126604352,3158.985,3150.598,0.256,469386.539,7.371,16280.054,0.721,840,840,840,840,37.40624999999999,76.60000000000001,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225]","[120, 120, 120, 120, 120, 120, 120]",20.737837201257644,0.41198514286231347,0.09517818914349462,6.800526996964825,0.0,0.004141671316964286,0.002677100045340402,0.06724085126604352,64.0,7.0,6.0,0.0,10.0,0.0005,0.05,259.6312561035156,21470.263671875,508902.875
253.81070828756225,-177.00578182899812,114.95857427134912,120.0,4,0,1,0,0,1320,1320,1320,1320,480,480,42.34523771438862,42.34523771438862,1320,480,1320,False,11,3,a33fa_00000,2023-07-26_04-14-12,1690334052,11.337825059890747,33.455594062805176,97449,MacBook-Air-Bulat-2.local,127.0.0.1,33.455594062805176,3,1320,1320,1320,1320,253.81070828756225,-177.00578182899812,114.95857427134912,120.0,4,0,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225, 97.86864482423773, 160.37702355484814, 192.27814288267706, 178.03494462156607]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",20.850773002738997,0.4098790641463966,0.0954454050827509,5.661499839631222,0.0,0.004215673966841264,0.0027353113347833805,0.06695443933660333,2783.082,2779.136,0.215,559116.285,2.992,40110.971,0.702,1320,1320,1320,1320,39.83125,75.46875,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225, 97.86864482423773, 160.37702355484814, 192.27814288267706, 178.03494462156607]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",20.850773002738997,0.4098790641463966,0.0954454050827509,5.661499839631222,0.0,0.004215673966841264,0.0027353113347833805,0.06695443933660333,64.0,11.0,10.0,0.0,10.0,0.0005,0.05,236.0645294189453,19394.85546875,247586.8125
277.435593768605,-523.7055792283887,79.93909285235289,120.0,4,0,1,0,0,1800,1800,1800,1800,480,480,42.7364801483747,42.7364801483747,1800,480,1800,False,15,4,a33fa_00000,2023-07-26_04-14-23,1690334063,11.234212160110474,44.68980622291565,97449,MacBook-Air-Bulat-2.local,127.0.0.1,44.68980622291565,4,1800,1800,1800,1800,277.435593768605,-523.7055792283887,79.93909285235289,120.0,4,0,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225, 97.86864482423773, 160.37702355484814, 192.27814288267706, 178.03494462156607, 277.435593768605, 105.43494437285318, 75.37711688738358, -523.7055792283887]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",20.931153694873345,0.4071630083677313,0.09527613338732688,4.969493470837763,0.0,0.004061063130696614,0.0026941299438476562,0.06664752960205078,2805.997,2802.12,0.221,542016.455,2.901,41362.245,0.714,1800,1800,1800,1800,36.825,76.75625,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225, 97.86864482423773, 160.37702355484814, 192.27814288267706, 178.03494462156607, 277.435593768605, 105.43494437285318, 75.37711688738358, -523.7055792283887]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",20.931153694873345,0.4071630083677313,0.09527613338732688,4.969493470837763,0.0,0.004061063130696614,0.0026941299438476562,0.06664752960205078,64.0,15.0,14.0,0.0,10.0,0.0005,0.05,183.7677459716797,-41815.03515625,2324988.5
277.435593768605,-970.718329479382,-117.14705554914218,120.0,4,0,1,0,0,2280,2280,2280,2280,480,480,44.47880935372078,44.47880935372078,2280,480,2280,False,19,5,a33fa_00000,2023-07-26_04-14-34,1690334074,10.794289112091064,55.484095335006714,97449,MacBook-Air-Bulat-2.local,127.0.0.1,55.484095335006714,5,2280,2280,2280,2280,277.435593768605,-970.718329479382,-117.14705554914218,120.0,4,0,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225, 97.86864482423773, 160.37702355484814, 192.27814288267706, 178.03494462156607, 277.435593768605, 105.43494437285318, 75.37711688738358, -523.7055792283887, -705.6819051043599, -895.0444638775352, -970.718329479382, -853.4357497577181]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",20.94911214378951,0.4050936379429103,0.09508421618105019,4.4957772843367145,0.0,0.003932651720548931,0.002689110605340255,0.06656646728515625,2777.342,2773.427,0.221,543949.508,2.937,40857.922,0.714,2280,2280,2280,2280,36.19375,74.08749999999999,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225, 97.86864482423773, 160.37702355484814, 192.27814288267706, 178.03494462156607, 277.435593768605, 105.43494437285318, 75.37711688738358, -523.7055792283887, -705.6819051043599, -895.0444638775352, -970.718329479382, -853.4357497577181]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",20.94911214378951,0.4050936379429103,0.09508421618105019,4.4957772843367145,0.0,0.003932651720548931,0.002689110605340255,0.06656646728515625,64.0,19.0,18.0,0.0,10.0,0.0005,0.05,148.36163330078125,-47198.65234375,6055805.0
277.435593768605,-970.718329479382,-182.34039446704924,120.0,4,0,1,0,0,2760,2760,2760,2760,480,480,43.802802029979745,43.802802029979745,2760,480,2760,False,23,6,a33fa_00000,2023-07-26_04-14-45,1690334085,10.960644006729126,66.44473934173584,97449,MacBook-Air-Bulat-2.local,127.0.0.1,66.44473934173584,6,2760,2760,2760,2760,277.435593768605,-970.718329479382,-182.34039446704924,120.0,4,0,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225, 97.86864482423773, 160.37702355484814, 192.27814288267706, 178.03494462156607, 277.435593768605, 105.43494437285318, 75.37711688738358, -523.7055792283887, -705.6819051043599, -895.0444638775352, -970.718329479382, -853.4357497577181, -807.4963304610711, -455.1046977744369, -470.1970411571061, -235.23694791581698]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",20.95732681496587,0.40345375489558344,0.09490697283027157,4.146131082339809,0.0,0.0038375025210173235,0.0026568122532056727,0.06654366202976393,2743.422,2739.491,0.221,543949.508,2.944,40760.312,0.723,2760,2760,2760,2760,38.94666666666667,72.11333333333332,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225, 97.86864482423773, 160.37702355484814, 192.27814288267706, 178.03494462156607, 277.435593768605, 105.43494437285318, 75.37711688738358, -523.7055792283887, -705.6819051043599, -895.0444638775352, -970.718329479382, -853.4357497577181, -807.4963304610711, -455.1046977744369, -470.1970411571061, -235.23694791581698]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",20.95732681496587,0.40345375489558344,0.09490697283027157,4.146131082339809,0.0,0.0038375025210173235,0.0026568122532056727,0.06654366202976393,64.0,23.0,22.0,0.0,10.0,0.000475,0.05,140.3327178955078,-5512.048828125,407675.5625
277.435593768605,-970.718329479382,-128.6407204210281,120.0,4,0,1,0,0,3240,3240,3240,3240,480,480,43.22070898877157,43.22070898877157,3240,480,3240,False,27,7,a33fa_00000,2023-07-26_04-14-56,1690334096,11.108241081237793,77.55298042297363,97449,MacBook-Air-Bulat-2.local,127.0.0.1,77.55298042297363,7,3240,3240,3240,3240,277.435593768605,-970.718329479382,-128.6407204210281,120.0,4,0,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225, 97.86864482423773, 160.37702355484814, 192.27814288267706, 178.03494462156607, 277.435593768605, 105.43494437285318, 75.37711688738358, -523.7055792283887, -705.6819051043599, -895.0444638775352, -970.718329479382, -853.4357497577181, -807.4963304610711, -455.1046977744369, -470.1970411571061, -235.23694791581698, 214.58003224483897, 225.74393804544457, 101.83620963571997, 178.36944144836997]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",20.9670252186821,0.40201021292205474,0.09473599386997052,3.876560854486908,0.0,0.003910947729040075,0.002655276545771846,0.0665691163804796,2745.599,2741.848,0.214,561048.356,2.794,42954.255,0.702,3240,3240,3240,3240,37.76875,72.40625,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225, 97.86864482423773, 160.37702355484814, 192.27814288267706, 178.03494462156607, 277.435593768605, 105.43494437285318, 75.37711688738358, -523.7055792283887, -705.6819051043599, -895.0444638775352, -970.718329479382, -853.4357497577181, -807.4963304610711, -455.1046977744369, -470.1970411571061, -235.23694791581698, 214.58003224483897, 225.74393804544457, 101.83620963571997, 178.36944144836997]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",20.9670252186821,0.40201021292205474,0.09473599386997052,3.876560854486908,0.0,0.003910947729040075,0.002655276545771846,0.0665691163804796,64.0,27.0,26.0,0.0,10.0,0.00042500000000000003,0.05,142.11798095703125,27281.3671875,220388.96875
277.435593768605,-970.718329479382,-104.58619212546907,120.0,4,0,1,0,0,3720,3720,3720,3720,480,480,42.3693917137721,42.3693917137721,3720,480,3720,False,31,8,a33fa_00000,2023-07-26_04-15-08,1690334108,11.33169412612915,88.88467454910278,97449,MacBook-Air-Bulat-2.local,127.0.0.1,88.88467454910278,8,3720,3720,3720,3720,277.435593768605,-970.718329479382,-104.58619212546907,120.0,4,0,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225, 97.86864482423773, 160.37702355484814, 192.27814288267706, 178.03494462156607, 277.435593768605, 105.43494437285318, 75.37711688738358, -523.7055792283887, -705.6819051043599, -895.0444638775352, -970.718329479382, -853.4357497577181, -807.4963304610711, -455.1046977744369, -470.1970411571061, -235.23694791581698, 214.58003224483897, 225.74393804544457, 101.83620963571997, 178.36944144836997, 174.8897392450937, 130.51827906256906, 14.19118147838208, -88.47170430782676]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",20.98387065439178,0.40081339322359827,0.09459107013543812,3.661872104594006,0.0,0.003950826583370086,0.0026464462280273438,0.06646571620818108,2797.983,2794.238,0.219,548215.314,2.78,43172.373,0.704,3720,3720,3720,3720,39.21875,75.7875,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225, 97.86864482423773, 160.37702355484814, 192.27814288267706, 178.03494462156607, 277.435593768605, 105.43494437285318, 75.37711688738358, -523.7055792283887, -705.6819051043599, -895.0444638775352, -970.718329479382, -853.4357497577181, -807.4963304610711, -455.1046977744369, -470.1970411571061, -235.23694791581698, 214.58003224483897, 225.74393804544457, 101.83620963571997, 178.36944144836997, 174.8897392450937, 130.51827906256906, 14.19118147838208, -88.47170430782676]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",20.98387065439178,0.40081339322359827,0.09459107013543812,3.661872104594006,0.0,0.003950826583370086,0.0026464462280273438,0.06646571620818108,64.0,31.0,30.0,0.0,10.0,0.000375,0.05,142.8572235107422,-2732.335205078125,111753.96875
277.435593768605,-970.718329479382,-126.10067870914767,120.0,4,0,1,0,0,4200,4200,4200,4200,480,480,43.309705735329956,43.309705735329956,4200,480,4200,False,35,9,a33fa_00000,2023-07-26_04-15-19,1690334119,11.08552598953247,99.97020053863525,97449,MacBook-Air-Bulat-2.local,127.0.0.1,99.97020053863525,9,4200,4200,4200,4200,277.435593768605,-970.718329479382,-126.10067870914767,120.0,4,0,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225, 97.86864482423773, 160.37702355484814, 192.27814288267706, 178.03494462156607, 277.435593768605, 105.43494437285318, 75.37711688738358, -523.7055792283887, -705.6819051043599, -895.0444638775352, -970.718329479382, -853.4357497577181, -807.4963304610711, -455.1046977744369, -470.1970411571061, -235.23694791581698, 214.58003224483897, 225.74393804544457, 101.83620963571997, 178.36944144836997, 174.8897392450937, 130.51827906256906, 14.19118147838208, -88.47170430782676, -222.3158126649976, -330.28860217604625, -324.13717697750087, -294.6102071120821]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",20.997519202352255,0.3997715889142911,0.0944615550222659,3.485513331252716,0.0,0.0038984843662806918,0.0026464462280273438,0.06633894784109932,2801.261,2797.496,0.22,545009.724,2.794,42953.522,0.707,4200,4200,4200,4200,35.668749999999996,75.875,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225, 97.86864482423773, 160.37702355484814, 192.27814288267706, 178.03494462156607, 277.435593768605, 105.43494437285318, 75.37711688738358, -523.7055792283887, -705.6819051043599, -895.0444638775352, -970.718329479382, -853.4357497577181, -807.4963304610711, -455.1046977744369, -470.1970411571061, -235.23694791581698, 214.58003224483897, 225.74393804544457, 101.83620963571997, 178.36944144836997, 174.8897392450937, 130.51827906256906, 14.19118147838208, -88.47170430782676, -222.3158126649976, -330.28860217604625, -324.13717697750087, -294.6102071120821]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",20.997519202352255,0.3997715889142911,0.0944615550222659,3.485513331252716,0.0,0.0038984843662806918,0.0026464462280273438,0.06633894784109932,64.0,35.0,34.0,0.0,10.0,0.000325,0.05,141.5665283203125,-29476.09375,834243.5
277.435593768605,-970.718329479382,-115.4226973741712,120.0,4,0,1,0,0,4680,4680,4680,4680,480,480,43.934821470112425,43.934821470112425,4680,480,4680,False,39,10,a33fa_00000,2023-07-26_04-15-30,1690334130,10.927675008773804,110.89787554740906,97449,MacBook-Air-Bulat-2.local,127.0.0.1,110.89787554740906,10,4680,4680,4680,4680,277.435593768605,-970.718329479382,-115.4226973741712,120.0,4,0,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225, 97.86864482423773, 160.37702355484814, 192.27814288267706, 178.03494462156607, 277.435593768605, 105.43494437285318, 75.37711688738358, -523.7055792283887, -705.6819051043599, -895.0444638775352, -970.718329479382, -853.4357497577181, -807.4963304610711, -455.1046977744369, -470.1970411571061, -235.23694791581698, 214.58003224483897, 225.74393804544457, 101.83620963571997, 178.36944144836997, 174.8897392450937, 130.51827906256906, 14.19118147838208, -88.47170430782676, -222.3158126649976, -330.28860217604625, -324.13717697750087, -294.6102071120821, -247.09215647847924, -62.162243163963026, 205.4361160400714, 15.856840829863202]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",21.002445557555617,0.39954440938749397,0.09440523361168293,3.339822879650836,0.0,0.0038617696517553083,0.0026488915467873598,0.06638367970784505,2760.234,2756.437,0.22,545896.399,2.819,42562.322,0.713,4680,4680,4680,4680,37.913333333333334,76.44,"[-177.00578182899812, -19.118444091459132, 141.3411668981426, 187.99236133458345, 81.41593982667735, 167.54961067500312, 253.81070828756225, 97.86864482423773, 160.37702355484814, 192.27814288267706, 178.03494462156607, 277.435593768605, 105.43494437285318, 75.37711688738358, -523.7055792283887, -705.6819051043599, -895.0444638775352, -970.718329479382, -853.4357497577181, -807.4963304610711, -455.1046977744369, -470.1970411571061, -235.23694791581698, 214.58003224483897, 225.74393804544457, 101.83620963571997, 178.36944144836997, 174.8897392450937, 130.51827906256906, 14.19118147838208, -88.47170430782676, -222.3158126649976, -330.28860217604625, -324.13717697750087, -294.6102071120821, -247.09215647847924, -62.162243163963026, 205.4361160400714, 15.856840829863202]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",21.002445557555617,0.39954440938749397,0.09440523361168293,3.339822879650836,0.0,0.0038617696517553083,0.0026488915467873598,0.06638367970784505,64.0,39.0,38.0,0.0,10.0,0.00027499999999999996,0.05,137.1484832763672,-234.3638458251953,8383.28515625
