episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss
-3531.9687409165917,-3532.7345418266286,-3532.3875521407754,360.0,3,0,1,0,0,121080,121080,121080,121080,1080,1080,88.68178916038498,88.68178916038498,121080,1080,121080,False,817,161,2eccd_00000,2023-08-04_09-22-02,1691130122,12.182233810424805,1742.0129606723785,37095,MacBook-Air-Bulat-2.local,127.0.0.1,12.182233810424805,1,121080,121080,121080,121080,-3531.9687409165917,-3532.7345418266286,-3532.3875521407754,360.0,3,0,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105]","[360, 360, 360]",7.337108130371207,0.39081127967799184,0.09657077277621993,3.371460806099383,0.0,0.003226598103841146,0.0026464462280273438,0.06875991821289062,4059.441,4043.396,0.439,820030.471,14.635,24598.688,0.915,121080,121080,121080,121080,28.43333333333333,63.68333333333333,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105]","[360, 360, 360]",7.337108130371207,0.39081127967799184,0.09657077277621993,3.371460806099383,0.0,0.003226598103841146,0.0026464462280273438,0.06875991821289062,64.0,13.0,12.0,0.0,10.0,1e-09,0.05,-324.91689453125,-8491390.275,20816495.1
-3531.334535806403,-3533.864919418433,-3532.179841146655,360.0,4,0,1,0,0,122520,122520,122520,122520,1440,1440,107.97960340016273,107.97960340016273,122520,1440,122520,False,821,162,2eccd_00000,2023-08-04_09-22-16,1691130136,13.338351011276245,1755.3513116836548,37095,MacBook-Air-Bulat-2.local,127.0.0.1,25.52058482170105,2,122520,122520,122520,122520,-3531.334535806403,-3533.864919418433,-3532.179841146655,360.0,4,0,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433]","[360, 360, 360, 360, 360, 360, 360]",7.461393329411563,0.39803573461655706,0.09804984413998355,2.5867398669150035,0.0,0.003630774361746652,0.002738407679966518,0.06947176797049386,3644.875,3630.549,0.37,971921.479,13.109,27462.114,0.798,122520,122520,122520,122520,32.35263157894737,63.47368421052633,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433]","[360, 360, 360, 360, 360, 360, 360]",7.461393329411563,0.39803573461655706,0.09804984413998355,2.5867398669150035,0.0,0.003630774361746652,0.002738407679966518,0.06947176797049386,64.0,33.0,32.0,0.0,10.0,5.9666666666666666e-06,0.05,-326.4171875,-7075266.928125,20832601.5
-3530.501526627923,-3534.9052881195516,-3532.575323733632,360.0,4,0,1,0,0,123960,123960,123960,123960,1440,1440,111.19077358140261,111.19077358140261,123960,1440,123960,False,825,163,2eccd_00000,2023-08-04_09-22-29,1691130149,12.953260660171509,1768.3045723438263,37095,MacBook-Air-Bulat-2.local,127.0.0.1,38.47384548187256,3,123960,123960,123960,123960,-3530.501526627923,-3534.9052881195516,-3532.575323733632,360.0,4,0,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433, -3530.501526627923, -3533.8401690093706, -3533.822689286526, -3534.9052881195516]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.4924381452387685,0.39793704979428546,0.0978935731719467,2.230313461956954,0.0,0.003723664717240767,0.0027006322687322445,0.0683394345370206,3265.209,3253.092,0.32,1123307.127,10.963,32838.123,0.789,123960,123960,123960,123960,27.31111111111111,63.41111111111112,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433, -3530.501526627923, -3533.8401690093706, -3533.822689286526, -3534.9052881195516]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.4924381452387685,0.39793704979428546,0.0978935731719467,2.230313461956954,0.0,0.003723664717240767,0.0027006322687322445,0.0683394345370206,64.0,53.0,52.0,0.0,10.0,7.166666666666667e-06,0.05,-327.33156127929686,-12401117.33125,20846938.8
-3530.501526627923,-3539.1517377077284,-3533.7606484282896,360.0,4,0,1,0,0,125400,125400,125400,125400,1440,1440,114.52631297911384,114.52631297911384,125400,1440,125400,False,829,164,2eccd_00000,2023-08-04_09-22-41,1691130161,12.576146841049194,1780.8807191848755,37095,MacBook-Air-Bulat-2.local,127.0.0.1,51.04999232292175,4,125400,125400,125400,125400,-3530.501526627923,-3539.1517377077284,-3533.7606484282896,360.0,4,0,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433, -3530.501526627923, -3533.8401690093706, -3533.822689286526, -3534.9052881195516, -3534.751379571441, -3535.888675043948, -3538.2893730312794, -3539.1517377077284]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.486948737629523,0.3977880987166025,0.09779567149322595,2.0148194281883245,0.0,0.0036319096883138022,0.002673467000325521,0.06889502207438152,3203.805,3192.405,0.306,1177807.676,10.281,35017.624,0.77,125400,125400,125400,125400,28.316666666666666,64.40000000000002,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433, -3530.501526627923, -3533.8401690093706, -3533.822689286526, -3534.9052881195516, -3534.751379571441, -3535.888675043948, -3538.2893730312794, -3539.1517377077284]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.486948737629523,0.3977880987166025,0.09779567149322595,2.0148194281883245,0.0,0.0036319096883138022,0.002673467000325521,0.06889502207438152,64.0,73.0,72.0,0.0,10.0,7.327777777777778e-06,0.05,-330.41163940429686,300946.3796875,20880332.7
-3530.501526627923,-3554.7057265789203,-3537.0722982068514,360.0,4,0,1,0,0,126840,126840,126840,126840,1440,1440,112.94662343458732,112.94662343458732,126840,1440,126840,False,833,165,2eccd_00000,2023-08-04_09-22-54,1691130174,12.753572702407837,1793.6342918872833,37095,MacBook-Air-Bulat-2.local,127.0.0.1,63.80356502532959,5,126840,126840,126840,126840,-3530.501526627923,-3554.7057265789203,-3537.0722982068514,360.0,4,0,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433, -3530.501526627923, -3533.8401690093706, -3533.822689286526, -3534.9052881195516, -3534.751379571441, -3535.888675043948, -3538.2893730312794, -3539.1517377077284, -3542.8420293355884, -3547.092866930218, -3554.7057265789203, -3553.323316661104]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.479906457059068,0.3974202814643336,0.09766569363895396,1.867863346572,0.0,0.003573769017269737,0.0026916202745939557,0.06906484302721526,3166.042,3154.195,0.316,1138467.496,10.665,33755.993,0.817,126840,126840,126840,126840,27.911111111111108,64.32777777777778,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433, -3530.501526627923, -3533.8401690093706, -3533.822689286526, -3534.9052881195516, -3534.751379571441, -3535.888675043948, -3538.2893730312794, -3539.1517377077284, -3542.8420293355884, -3547.092866930218, -3554.7057265789203, -3553.323316661104]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.479906457059068,0.3974202814643336,0.09766569363895396,1.867863346572,0.0,0.003573769017269737,0.0026916202745939557,0.06906484302721526,64.0,93.0,92.0,0.0,10.0,5.1277777777777774e-06,0.05,-332.35414428710936,-6927810.615625,21032658.2
-3530.501526627923,-3563.7172540441243,-3541.153990250826,360.0,4,0,1,0,0,128280,128280,128280,128280,1440,1440,112.26009706511427,112.26009706511427,128280,1440,128280,False,837,166,2eccd_00000,2023-08-04_09-23-07,1691130187,12.82986068725586,1806.4641525745392,37095,MacBook-Air-Bulat-2.local,127.0.0.1,76.63342571258545,6,128280,128280,128280,128280,-3530.501526627923,-3563.7172540441243,-3541.153990250826,360.0,4,0,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433, -3530.501526627923, -3533.8401690093706, -3533.822689286526, -3534.9052881195516, -3534.751379571441, -3535.888675043948, -3538.2893730312794, -3539.1517377077284, -3542.8420293355884, -3547.092866930218, -3554.7057265789203, -3553.323316661104, -3557.621816236165, -3558.6386908397562, -3562.1903487187838, -3563.7172540441243]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.476965550139439,0.3967208989787355,0.09751259238556641,1.758516517884768,0.0,0.003626035607379416,0.0026962031488833222,0.0686075376427692,3182.185,3170.43,0.317,1134106.534,10.586,34008.177,0.804,128280,128280,128280,128280,28.268421052631574,64.23684210526315,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433, -3530.501526627923, -3533.8401690093706, -3533.822689286526, -3534.9052881195516, -3534.751379571441, -3535.888675043948, -3538.2893730312794, -3539.1517377077284, -3542.8420293355884, -3547.092866930218, -3554.7057265789203, -3553.323316661104, -3557.621816236165, -3558.6386908397562, -3562.1903487187838, -3563.7172540441243]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.476965550139439,0.3967208989787355,0.09751259238556641,1.758516517884768,0.0,0.003626035607379416,0.0026962031488833222,0.0686075376427692,64.0,113.0,112.0,0.0,10.0,2.9277777777777773e-06,0.05,-333.7514587402344,-1557381.10390625,21149765.0
-3530.501526627923,-3642.8223350373905,-3549.086158071286,360.0,4,0,1,0,0,129720,129720,129720,129720,1440,1440,110.28595714206284,110.28595714206284,129720,1440,129720,False,841,167,2eccd_00000,2023-08-04_09-23-20,1691130200,13.059493780136108,1819.5236463546753,37095,MacBook-Air-Bulat-2.local,127.0.0.1,89.69291949272156,7,129720,129720,129720,129720,-3530.501526627923,-3642.8223350373905,-3549.086158071286,360.0,4,0,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433, -3530.501526627923, -3533.8401690093706, -3533.822689286526, -3534.9052881195516, -3534.751379571441, -3535.888675043948, -3538.2893730312794, -3539.1517377077284, -3542.8420293355884, -3547.092866930218, -3554.7057265789203, -3553.323316661104, -3557.621816236165, -3558.6386908397562, -3562.1903487187838, -3563.7172540441243, -3642.8223350373905, -3578.25644381622, -3574.7019404150315, -3583.003772887057]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.479791661711245,0.39553410482695556,0.09725552477627622,1.6736305340585924,0.0,0.0035568519874855323,0.002712673611111111,0.06850737112539786,3234.717,3223.227,0.315,1143035.155,10.381,34680.15,0.749,129720,129720,129720,129720,19.200000000000003,63.7388888888889,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433, -3530.501526627923, -3533.8401690093706, -3533.822689286526, -3534.9052881195516, -3534.751379571441, -3535.888675043948, -3538.2893730312794, -3539.1517377077284, -3542.8420293355884, -3547.092866930218, -3554.7057265789203, -3553.323316661104, -3557.621816236165, -3558.6386908397562, -3562.1903487187838, -3563.7172540441243, -3642.8223350373905, -3578.25644381622, -3574.7019404150315, -3583.003772887057]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.479791661711245,0.39553410482695556,0.09725552477627622,1.6736305340585924,0.0,0.0035568519874855323,0.002712673611111111,0.06850737112539786,64.0,133.0,132.0,0.0,10.0,2.5e-06,0.05,-333.4335876464844,-7470446.41875,21327949.8
-3530.501526627923,-3642.8223350373905,-3553.7679850693544,360.0,4,0,1,0,0,131160,131160,131160,131160,1440,1440,112.56757607539835,112.56757607539835,131160,1440,131160,False,845,168,2eccd_00000,2023-08-04_09-23-33,1691130213,12.794862031936646,1832.318508386612,37095,MacBook-Air-Bulat-2.local,127.0.0.1,102.4877815246582,8,131160,131160,131160,131160,-3530.501526627923,-3642.8223350373905,-3553.7679850693544,360.0,4,0,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433, -3530.501526627923, -3533.8401690093706, -3533.822689286526, -3534.9052881195516, -3534.751379571441, -3535.888675043948, -3538.2893730312794, -3539.1517377077284, -3542.8420293355884, -3547.092866930218, -3554.7057265789203, -3553.323316661104, -3557.621816236165, -3558.6386908397562, -3562.1903487187838, -3563.7172540441243, -3642.8223350373905, -3578.25644381622, -3574.7019404150315, -3583.003772887057, -3573.9400085887946, -3584.819394973064, -3584.5036620947044, -3598.218203568713]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.4819800520288196,0.39425147461956717,0.09698119405139384,1.6054651542691962,0.0,0.0035908914381457915,0.002696437220419607,0.06820155728247858,3229.694,3218.958,0.3,1199896.249,9.703,37100.498,0.691,131160,131160,131160,131160,20.78888888888889,63.38333333333334,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433, -3530.501526627923, -3533.8401690093706, -3533.822689286526, -3534.9052881195516, -3534.751379571441, -3535.888675043948, -3538.2893730312794, -3539.1517377077284, -3542.8420293355884, -3547.092866930218, -3554.7057265789203, -3553.323316661104, -3557.621816236165, -3558.6386908397562, -3562.1903487187838, -3563.7172540441243, -3642.8223350373905, -3578.25644381622, -3574.7019404150315, -3583.003772887057, -3573.9400085887946, -3584.819394973064, -3584.5036620947044, -3598.218203568713]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.4819800520288196,0.39425147461956717,0.09698119405139384,1.6054651542691962,0.0,0.0035908914381457915,0.002696437220419607,0.06820155728247858,64.0,153.0,152.0,0.0,10.0,2.5e-06,0.05,-333.3139709472656,-11597861.2625,21575780.0
-3530.501526627923,-3642.8223350373905,-3558.2966479397587,360.0,4,0,1,0,0,132600,132600,132600,132600,1440,1440,115.08868432651143,115.08868432651143,132600,1440,132600,False,849,169,2eccd_00000,2023-08-04_09-23-45,1691130225,12.514887809753418,1844.8333961963654,37095,MacBook-Air-Bulat-2.local,127.0.0.1,115.00266933441162,9,132600,132600,132600,132600,-3530.501526627923,-3642.8223350373905,-3558.2966479397587,360.0,4,0,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433, -3530.501526627923, -3533.8401690093706, -3533.822689286526, -3534.9052881195516, -3534.751379571441, -3535.888675043948, -3538.2893730312794, -3539.1517377077284, -3542.8420293355884, -3547.092866930218, -3554.7057265789203, -3553.323316661104, -3557.621816236165, -3558.6386908397562, -3562.1903487187838, -3563.7172540441243, -3642.8223350373905, -3578.25644381622, -3574.7019404150315, -3583.003772887057, -3573.9400085887946, -3584.819394973064, -3584.5036620947044, -3598.218203568713, -3588.9294951271972, -3587.5338836154665, -3589.574333506343, -3607.5374284925424]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.4810193990642215,0.39306424783026456,0.09672897638908266,1.549411270376261,0.0,0.0036219188145228793,0.0026757376534598215,0.0678873062133789,3183.475,3172.725,0.3,1200659.542,9.709,37080.362,0.699,132600,132600,132600,132600,25.25555555555556,64.30555555555554,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433, -3530.501526627923, -3533.8401690093706, -3533.822689286526, -3534.9052881195516, -3534.751379571441, -3535.888675043948, -3538.2893730312794, -3539.1517377077284, -3542.8420293355884, -3547.092866930218, -3554.7057265789203, -3553.323316661104, -3557.621816236165, -3558.6386908397562, -3562.1903487187838, -3563.7172540441243, -3642.8223350373905, -3578.25644381622, -3574.7019404150315, -3583.003772887057, -3573.9400085887946, -3584.819394973064, -3584.5036620947044, -3598.218203568713, -3588.9294951271972, -3587.5338836154665, -3589.574333506343, -3607.5374284925424]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.4810193990642215,0.39306424783026456,0.09672897638908266,1.549411270376261,0.0,0.0036219188145228793,0.0026757376534598215,0.0678873062133789,64.0,173.0,172.0,0.0,10.0,2.5e-06,0.05,-333.58265991210936,-14457060.2,21663440.6
-3530.501526627923,-3642.8223350373905,-3563.4574866113744,360.0,4,0,1,0,0,134040,134040,134040,134040,1440,1440,113.30584511525335,113.30584511525335,134040,1440,134040,False,853,170,2eccd_00000,2023-08-04_09-23-58,1691130238,12.711468935012817,1857.5448651313782,37095,MacBook-Air-Bulat-2.local,127.0.0.1,127.71413826942444,10,134040,134040,134040,134040,-3530.501526627923,-3642.8223350373905,-3563.4574866113744,360.0,4,0,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433, -3530.501526627923, -3533.8401690093706, -3533.822689286526, -3534.9052881195516, -3534.751379571441, -3535.888675043948, -3538.2893730312794, -3539.1517377077284, -3542.8420293355884, -3547.092866930218, -3554.7057265789203, -3553.323316661104, -3557.621816236165, -3558.6386908397562, -3562.1903487187838, -3563.7172540441243, -3642.8223350373905, -3578.25644381622, -3574.7019404150315, -3583.003772887057, -3573.9400085887946, -3584.819394973064, -3584.5036620947044, -3598.218203568713, -3588.9294951271972, -3587.5338836154665, -3589.574333506343, -3607.5374284925424, -3600.1016543572155, -3613.640925664832, -3603.3412135438066, -3617.3755063861777]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.479645163868915,0.39197153443095534,0.09649772667054587,1.5025440809496897,0.0,0.0035591614552033255,0.0026819033500475762,0.06777139810415414,3151.72,3140.919,0.297,1212518.622,9.746,36939.123,0.715,134040,134040,134040,134040,25.17777777777778,64.72777777777777,"[-3532.7345418266286, -3531.9687409165917, -3532.459373679105, -3531.3964208585558, -3531.5003555208627, -3531.334535806403, -3533.864919418433, -3530.501526627923, -3533.8401690093706, -3533.822689286526, -3534.9052881195516, -3534.751379571441, -3535.888675043948, -3538.2893730312794, -3539.1517377077284, -3542.8420293355884, -3547.092866930218, -3554.7057265789203, -3553.323316661104, -3557.621816236165, -3558.6386908397562, -3562.1903487187838, -3563.7172540441243, -3642.8223350373905, -3578.25644381622, -3574.7019404150315, -3583.003772887057, -3573.9400085887946, -3584.819394973064, -3584.5036620947044, -3598.218203568713, -3588.9294951271972, -3587.5338836154665, -3589.574333506343, -3607.5374284925424, -3600.1016543572155, -3613.640925664832, -3603.3412135438066, -3617.3755063861777]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.479645163868915,0.39197153443095534,0.09649772667054587,1.5025440809496897,0.0,0.0035591614552033255,0.0026819033500475762,0.06777139810415414,64.0,193.0,192.0,0.0,10.0,2.5e-06,0.05,-334.3593383789063,-2196485.275,21793579.8
