episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss
-3527.1732859128188,-3530.0036985621336,-3528.323776017935,360.0,3,0,1,0,0,121080,121080,121080,121080,1080,1080,88.72090258463416,88.72090258463416,121080,1080,121080,False,817,161,0d7ea_00000,2023-08-04_09-42-35,1691131355,12.176079988479614,1742.0068068504333,38033,MacBook-Air-Bulat-2.local,127.0.0.1,12.176079988479614,1,121080,121080,121080,121080,-3527.1732859128188,-3530.0036985621336,-3528.323776017935,360.0,3,0,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852]","[360, 360, 360]",7.26992173066964,0.3736100739400548,0.0920624340385557,3.445847182225343,0.0,0.0032901763916015625,0.0027418136596679688,0.0669399897257487,4057.652,4039.774,0.445,809624.365,16.575,21719.745,0.801,121080,121080,121080,121080,25.783333333333335,63.87777777777777,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852]","[360, 360, 360]",7.26992173066964,0.3736100739400548,0.0920624340385557,3.445847182225343,0.0,0.0032901763916015625,0.0027418136596679688,0.0669399897257487,64.0,13.0,12.0,0.0,10.0,1e-08,0.05,-324.79722290039064,-3218552.5375,20760896.0
-3523.3831370621847,-3849.885417885919,-3573.572088077763,360.0,4,0,1,0,0,122520,122520,122520,122520,1440,1440,113.11535474369056,113.11535474369056,122520,1440,122520,False,821,162,0d7ea_00000,2023-08-04_09-42-48,1691131368,12.732917070388794,1754.7397239208221,38033,MacBook-Air-Bulat-2.local,127.0.0.1,24.908997058868408,2,122520,122520,122520,122520,-3523.3831370621847,-3849.885417885919,-3573.572088077763,360.0,4,0,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919]","[360, 360, 360, 360, 360, 360, 360]",7.329557369224036,0.3729031385911713,0.09192546621207211,2.6055466708919828,0.0,0.0035490308489118305,0.0026396342686244418,0.06585121154785156,3557.611,3543.746,0.374,962364.207,12.682,28385.633,0.759,122520,122520,122520,122520,22.894444444444446,63.733333333333334,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919]","[360, 360, 360, 360, 360, 360, 360]",7.329557369224036,0.3729031385911713,0.09192546621207211,2.6055466708919828,0.0,0.0035490308489118305,0.0026396342686244418,0.06585121154785156,64.0,33.0,32.0,0.0,10.0,5.966666666666667e-05,0.05,-331.82929077148435,-5460057.32109375,25660230.0
-3523.3831370621847,-9071.540781892305,-5258.303392353894,360.0,4,0,1,0,0,123960,123960,123960,123960,1440,1440,111.18892518277475,111.18892518277475,123960,1440,123960,False,825,163,0d7ea_00000,2023-08-04_09-43-01,1691131381,12.953421115875244,1767.6931450366974,38033,MacBook-Air-Bulat-2.local,127.0.0.1,37.86241817474365,3,123960,123960,123960,123960,-3523.3831370621847,-9071.540781892305,-5258.303392353894,360.0,4,0,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919, -5995.40001383304, -8903.829299285118, -8855.562604338034, -9071.540781892305]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.367887567294814,0.37187785153681735,0.09178819822424611,2.2398395350889486,0.0,0.0035524368286132812,0.0026334415782581677,0.06557161157781427,3202.967,3191.539,0.325,1107650.704,10.305,34933.045,0.75,123960,123960,123960,123960,22.75,63.60555555555556,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919, -5995.40001383304, -8903.829299285118, -8855.562604338034, -9071.540781892305]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.367887567294814,0.37187785153681735,0.09178819822424611,2.2398395350889486,0.0,0.0035524368286132812,0.0026334415782581677,0.06557161157781427,64.0,53.0,52.0,0.0,10.0,7.166666666666667e-05,0.05,-382.9525451660156,-92681625.5625,136864576.0
-3523.3831370621847,-9071.540781892305,-6238.109348491027,360.0,4,0,1,0,0,125400,125400,125400,125400,1440,1440,110.765200428639,110.765200428639,125400,1440,125400,False,829,164,0d7ea_00000,2023-08-04_09-43-14,1691131394,13.003017902374268,1780.6961629390717,38033,MacBook-Air-Bulat-2.local,127.0.0.1,50.86543607711792,4,125400,125400,125400,125400,-3523.3831370621847,-9071.540781892305,-6238.109348491027,360.0,4,0,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919, -5995.40001383304, -8903.829299285118, -8855.562604338034, -9071.540781892305, -8987.581493271104, -8899.711164559956, -8948.742377044618, -8894.267876596907]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.399388286894244,0.37140073687655667,0.09172075809150411,2.018521345382602,0.0,0.0034316380818684897,0.0026257832845052085,0.0657351811726888,3238.558,3227.839,0.297,1212908.218,9.651,37300.754,0.727,125400,125400,125400,125400,20.384210526315787,63.68421052631578,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919, -5995.40001383304, -8903.829299285118, -8855.562604338034, -9071.540781892305, -8987.581493271104, -8899.711164559956, -8948.742377044618, -8894.267876596907]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.399388286894244,0.37140073687655667,0.09172075809150411,2.018521345382602,0.0,0.0034316380818684897,0.0026257832845052085,0.0657351811726888,64.0,73.0,72.0,0.0,10.0,7.327777777777778e-05,0.05,-433.45005493164064,-127016001.2,130835867.2
-3523.3831370621847,-9071.540781892305,-6805.113492716476,360.0,4,0,1,0,0,126840,126840,126840,126840,1440,1440,111.61384573984328,111.61384573984328,126840,1440,126840,False,833,165,0d7ea_00000,2023-08-04_09-43-26,1691131406,12.904161930084229,1793.6003248691559,38033,MacBook-Air-Bulat-2.local,127.0.0.1,63.76959800720215,5,126840,126840,126840,126840,-3523.3831370621847,-9071.540781892305,-6805.113492716476,360.0,4,0,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919, -5995.40001383304, -8903.829299285118, -8855.562604338034, -9071.540781892305, -8987.581493271104, -8899.711164559956, -8948.742377044618, -8894.267876596907, -8939.72114527803, -9005.134993193837, -8870.73773848045, -8909.922257295322]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.421203412907252,0.37103109076144614,0.09167145144577463,1.866939071495426,0.0,0.003365466469212582,0.0025837044966848274,0.06570816040039062,3231.638,3220.955,0.292,1230903.595,9.614,37444.128,0.734,126840,126840,126840,126840,19.34444444444444,63.57777777777778,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919, -5995.40001383304, -8903.829299285118, -8855.562604338034, -9071.540781892305, -8987.581493271104, -8899.711164559956, -8948.742377044618, -8894.267876596907, -8939.72114527803, -9005.134993193837, -8870.73773848045, -8909.922257295322]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.421203412907252,0.37103109076144614,0.09167145144577463,1.866939071495426,0.0,0.003365466469212582,0.0025837044966848274,0.06570816040039062,64.0,93.0,92.0,0.0,10.0,5.127777777777778e-05,0.05,-457.3843505859375,-38562884.21875,130781196.8
-3523.3831370621847,-9071.540781892305,-7177.981102579335,360.0,4,0,1,0,0,128280,128280,128280,128280,1440,1440,113.7888449550017,113.7888449550017,128280,1440,128280,False,837,166,0d7ea_00000,2023-08-04_09-43-39,1691131419,12.657542943954468,1806.2578678131104,38033,MacBook-Air-Bulat-2.local,127.0.0.1,76.42714095115662,6,128280,128280,128280,128280,-3523.3831370621847,-9071.540781892305,-7177.981102579335,360.0,4,0,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919, -5995.40001383304, -8903.829299285118, -8855.562604338034, -9071.540781892305, -8987.581493271104, -8899.711164559956, -8948.742377044618, -8894.267876596907, -8939.72114527803, -9005.134993193837, -8870.73773848045, -8909.922257295322, -8999.67798563953, -8883.846361178294, -8961.547480826557, -8951.337170067309]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.431936108996686,0.37075165479486094,0.09162779720460323,1.7556711840100403,0.0,0.003458105999490489,0.0025707742442255435,0.06566773290219514,3201.537,3190.811,0.296,1215251.058,9.669,37232.783,0.717,128280,128280,128280,128280,22.155555555555555,63.638888888888886,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919, -5995.40001383304, -8903.829299285118, -8855.562604338034, -9071.540781892305, -8987.581493271104, -8899.711164559956, -8948.742377044618, -8894.267876596907, -8939.72114527803, -9005.134993193837, -8870.73773848045, -8909.922257295322, -8999.67798563953, -8883.846361178294, -8961.547480826557, -8951.337170067309]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.431936108996686,0.37075165479486094,0.09162779720460323,1.7556711840100403,0.0,0.003458105999490489,0.0025707742442255435,0.06566773290219514,64.0,113.0,112.0,0.0,10.0,2.9277777777777775e-05,0.05,-471.6698059082031,-114673968.0625,132252457.6
-3523.3831370621847,-9081.135421919753,-7438.0696549343,360.0,4,0,1,0,0,129720,129720,129720,129720,1440,1440,111.69344020953503,111.69344020953503,129720,1440,129720,False,841,167,0d7ea_00000,2023-08-04_09-43-52,1691131432,12.894983053207397,1819.1528508663177,38033,MacBook-Air-Bulat-2.local,127.0.0.1,89.32212400436401,7,129720,129720,129720,129720,-3523.3831370621847,-9081.135421919753,-7438.0696549343,360.0,4,0,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919, -5995.40001383304, -8903.829299285118, -8855.562604338034, -9071.540781892305, -8987.581493271104, -8899.711164559956, -8948.742377044618, -8894.267876596907, -8939.72114527803, -9005.134993193837, -8870.73773848045, -8909.922257295322, -8999.67798563953, -8883.846361178294, -8961.547480826557, -8951.337170067309, -9081.135421919753, -8880.499541772515, -8874.650266410345, -8898.030093798747]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.441026154977994,0.3705289506000336,0.09159049013794483,1.6699192724361949,0.0,0.0033961402045355905,0.0025758036860713254,0.06574701379846644,3203.167,3192.406,0.297,1210768.535,9.708,37083.823,0.712,129720,129720,129720,129720,21.489473684210527,63.699999999999996,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919, -5995.40001383304, -8903.829299285118, -8855.562604338034, -9071.540781892305, -8987.581493271104, -8899.711164559956, -8948.742377044618, -8894.267876596907, -8939.72114527803, -9005.134993193837, -8870.73773848045, -8909.922257295322, -8999.67798563953, -8883.846361178294, -8961.547480826557, -8951.337170067309, -9081.135421919753, -8880.499541772515, -8874.650266410345, -8898.030093798747]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.441026154977994,0.3705289506000336,0.09159049013794483,1.6699192724361949,0.0,0.0033961402045355905,0.0025758036860713254,0.06574701379846644,64.0,133.0,132.0,0.0,10.0,2.5e-05,0.05,-482.3623779296875,-127887536.0125,130864563.2
-3523.3831370621847,-9081.135421919753,-7632.5546543386,360.0,4,0,1,0,0,131160,131160,131160,131160,1440,1440,112.16074019059273,112.16074019059273,131160,1440,131160,False,845,168,0d7ea_00000,2023-08-04_09-44-05,1691131445,12.841580867767334,1831.994431734085,38033,MacBook-Air-Bulat-2.local,127.0.0.1,102.16370487213135,8,131160,131160,131160,131160,-3523.3831370621847,-9081.135421919753,-7632.5546543386,360.0,4,0,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919, -5995.40001383304, -8903.829299285118, -8855.562604338034, -9071.540781892305, -8987.581493271104, -8899.711164559956, -8948.742377044618, -8894.267876596907, -8939.72114527803, -9005.134993193837, -8870.73773848045, -8909.922257295322, -8999.67798563953, -8883.846361178294, -8961.547480826557, -8951.337170067309, -9081.135421919753, -8880.499541772515, -8874.650266410345, -8898.030093798747, -8933.22687275342, -9027.827039331754, -8896.340381587514, -8923.919307597838]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.448215741308468,0.37030220026402094,0.09155152230475017,1.6014749629571103,0.0,0.003460145765735257,0.002597224327825731,0.06589812617148122,3207.504,3196.85,0.296,1217112.236,9.597,37511.849,0.718,131160,131160,131160,131160,19.655555555555555,63.772222222222226,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919, -5995.40001383304, -8903.829299285118, -8855.562604338034, -9071.540781892305, -8987.581493271104, -8899.711164559956, -8948.742377044618, -8894.267876596907, -8939.72114527803, -9005.134993193837, -8870.73773848045, -8909.922257295322, -8999.67798563953, -8883.846361178294, -8961.547480826557, -8951.337170067309, -9081.135421919753, -8880.499541772515, -8874.650266410345, -8898.030093798747, -8933.22687275342, -9027.827039331754, -8896.340381587514, -8923.919307597838]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.448215741308468,0.37030220026402094,0.09155152230475017,1.6014749629571103,0.0,0.003460145765735257,0.002597224327825731,0.06589812617148122,64.0,153.0,152.0,0.0,10.0,2.5e-05,0.05,-494.62042846679685,-239989896.95,131003282.4
-3523.3831370621847,-9081.135421919753,-7782.001126862378,360.0,4,0,1,0,0,132600,132600,132600,132600,1440,1440,110.54161531525565,110.54161531525565,132600,1440,132600,False,849,169,0d7ea_00000,2023-08-04_09-44-18,1691131458,13.029222011566162,1845.0236537456512,38033,MacBook-Air-Bulat-2.local,127.0.0.1,115.19292688369751,9,132600,132600,132600,132600,-3523.3831370621847,-9081.135421919753,-7782.001126862378,360.0,4,0,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919, -5995.40001383304, -8903.829299285118, -8855.562604338034, -9071.540781892305, -8987.581493271104, -8899.711164559956, -8948.742377044618, -8894.267876596907, -8939.72114527803, -9005.134993193837, -8870.73773848045, -8909.922257295322, -8999.67798563953, -8883.846361178294, -8961.547480826557, -8951.337170067309, -9081.135421919753, -8880.499541772515, -8874.650266410345, -8898.030093798747, -8933.22687275342, -9027.827039331754, -8896.340381587514, -8923.919307597838, -8884.431106224536, -8922.807708174092, -8930.720355303463, -9022.885985984542]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.455228668603417,0.3701445015232875,0.0915279311413292,1.545844114200157,0.0,0.0034052985055106027,0.0025878633771623883,0.06585393633161273,3218.582,3207.977,0.297,1213493.08,9.542,37726.1,0.722,132600,132600,132600,132600,20.02105263157895,63.86315789473684,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919, -5995.40001383304, -8903.829299285118, -8855.562604338034, -9071.540781892305, -8987.581493271104, -8899.711164559956, -8948.742377044618, -8894.267876596907, -8939.72114527803, -9005.134993193837, -8870.73773848045, -8909.922257295322, -8999.67798563953, -8883.846361178294, -8961.547480826557, -8951.337170067309, -9081.135421919753, -8880.499541772515, -8874.650266410345, -8898.030093798747, -8933.22687275342, -9027.827039331754, -8896.340381587514, -8923.919307597838, -8884.431106224536, -8922.807708174092, -8930.720355303463, -9022.885985984542]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.455228668603417,0.3701445015232875,0.0915279311413292,1.545844114200157,0.0,0.0034052985055106027,0.0025878633771623883,0.06585393633161273,64.0,173.0,172.0,0.0,10.0,2.5e-05,0.05,-508.46526489257815,-884352441.6,135970340.0
-3523.3831370621847,-9081.135421919753,-7899.481450948429,360.0,4,0,1,0,0,134040,134040,134040,134040,1440,1440,110.92624384623403,110.92624384623403,134040,1440,134040,False,853,170,0d7ea_00000,2023-08-04_09-44-31,1691131471,12.98426079750061,1858.0079145431519,38033,MacBook-Air-Bulat-2.local,127.0.0.1,128.17718768119812,10,134040,134040,134040,134040,-3523.3831370621847,-9081.135421919753,-7899.481450948429,360.0,4,0,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919, -5995.40001383304, -8903.829299285118, -8855.562604338034, -9071.540781892305, -8987.581493271104, -8899.711164559956, -8948.742377044618, -8894.267876596907, -8939.72114527803, -9005.134993193837, -8870.73773848045, -8909.922257295322, -8999.67798563953, -8883.846361178294, -8961.547480826557, -8951.337170067309, -9081.135421919753, -8880.499541772515, -8874.650266410345, -8898.030093798747, -8933.22687275342, -9027.827039331754, -8896.340381587514, -8923.919307597838, -8884.431106224536, -8922.807708174092, -8930.720355303463, -9022.885985984542, -8980.541512208514, -8915.762866852552, -8881.188449035717, -8932.244318708636]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.461834045157801,0.36999404444811845,0.09150302117416721,1.4993402407906424,0.0,0.0033812645154121593,0.002588369907476963,0.06598081344213241,3243.052,3232.456,0.295,1218388.962,9.532,37766.297,0.724,134040,134040,134040,134040,22.544444444444444,63.87777777777777,"[-3530.0036985621336, -3527.1732859128188, -3527.794343578852, -3528.8850440753654, -3523.3831370621847, -3527.8796894670654, -3849.885417885919, -5995.40001383304, -8903.829299285118, -8855.562604338034, -9071.540781892305, -8987.581493271104, -8899.711164559956, -8948.742377044618, -8894.267876596907, -8939.72114527803, -9005.134993193837, -8870.73773848045, -8909.922257295322, -8999.67798563953, -8883.846361178294, -8961.547480826557, -8951.337170067309, -9081.135421919753, -8880.499541772515, -8874.650266410345, -8898.030093798747, -8933.22687275342, -9027.827039331754, -8896.340381587514, -8923.919307597838, -8884.431106224536, -8922.807708174092, -8930.720355303463, -9022.885985984542, -8980.541512208514, -8915.762866852552, -8881.188449035717, -8932.244318708636]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",7.461834045157801,0.36999404444811845,0.09150302117416721,1.4993402407906424,0.0,0.0033812645154121593,0.002588369907476963,0.06598081344213241,64.0,193.0,192.0,0.0,10.0,2.5e-05,0.05,-527.38447265625,-222872338.675,131890270.4
