episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss
-3528.103758166464,-3531.453741157246,-3529.484500064107,360.0,5,0,1,0,0,121800,121800,121800,121800,1800,1800,159.3766849898994,159.3766849898994,121800,1800,121800,False,819,161,71c6f_00000,2023-08-04_10-06-48,1691132808,11.296083927154541,1741.1268107891083,39437,MacBook-Air-Bulat-2.local,127.0.0.1,11.296083927154541,1,121800,121800,121800,121800,-3528.103758166464,-3531.453741157246,-3529.484500064107,360.0,5,0,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252]","[360, 360, 360, 360, 360]",4.367831413908709,0.238988347876939,0.057920358500038495,1.5635193883545326,0.0,0.0025415420532226562,0.0017499923706054688,0.04329681396484375,2258.788,2249.199,0.261,1376686.214,8.766,41069.626,0.532,121800,121800,121800,121800,23.3,66.2,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252]","[360, 360, 360, 360, 360]",4.367831413908709,0.238988347876939,0.057920358500038495,1.5635193883545326,0.0,0.0025415420532226562,0.0017499923706054688,0.04329681396484375,64.0,23.0,22.0,0.0,10.0,5.366666666666667e-07,0.1,-324.97459716796874,-6527096.3734375,20786404.7
-3527.4060070452165,-3531.453741157246,-3528.756766011249,360.0,6,0,1,0,0,123960,123960,123960,123960,2160,2160,190.52073035896822,190.52073035896822,123960,2160,123960,False,825,162,71c6f_00000,2023-08-04_10-07-00,1691132820,11.339215755462646,1752.466026544571,39437,MacBook-Air-Bulat-2.local,127.0.0.1,22.635299682617188,2,123960,123960,123960,123960,-3527.4060070452165,-3531.453741157246,-3528.756766011249,360.0,6,0,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.364330612598223,0.23801725307780786,0.05768121617960619,1.2661256248998514,0.0,0.002570585771040483,0.0017339533025568182,0.043830004605379974,1893.763,1886.668,0.217,1660745.095,6.32,56959.45,0.527,123960,123960,123960,123960,19.84375,66.23125,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.364330612598223,0.23801725307780786,0.05768121617960619,1.2661256248998514,0.0,0.002570585771040483,0.0017339533025568182,0.043830004605379974,64.0,53.0,52.0,0.0,10.0,7.166666666666667e-07,0.1,-324.276953125,-84897.1625,20753932.7
-3527.4060070452165,-3531.453741157246,-3528.66331008248,360.0,6,0,1,0,0,126120,126120,126120,126120,2160,2160,190.47226340849798,190.47226340849798,126120,2160,126120,False,831,163,71c6f_00000,2023-08-04_10-07-11,1691132831,11.342084169387817,1763.8081107139587,39437,MacBook-Air-Bulat-2.local,127.0.0.1,33.977383852005005,3,126120,126120,126120,126120,-3527.4060070452165,-3531.453741157246,-3528.66331008248,360.0,6,0,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165, -3527.635046617572, -3527.8450809954534, -3527.9224822398132, -3528.5663680161574, -3529.3851781138733, -3529.5976892955523]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.361781862489981,0.23767273509016965,0.057580198018076116,1.1230049012901333,0.0,0.0024206498089958638,0.0016969792983111214,0.04362779505112592,1890.466,1883.365,0.207,1735574.069,6.345,56734.303,0.517,126120,126120,126120,126120,20.475,66.18125,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165, -3527.635046617572, -3527.8450809954534, -3527.9224822398132, -3528.5663680161574, -3529.3851781138733, -3529.5976892955523]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.361781862489981,0.23767273509016965,0.057580198018076116,1.1230049012901333,0.0,0.0024206498089958638,0.0016969792983111214,0.04362779505112592,64.0,83.0,82.0,0.0,10.0,6.227777777777777e-07,0.1,-323.84669189453126,-13637213.096875,20779581.7
-3527.373103192358,-3531.453741157246,-3528.506468235803,360.0,6,0,1,0,0,128280,128280,128280,128280,2160,2160,190.10810966659082,190.10810966659082,128280,2160,128280,False,837,164,71c6f_00000,2023-08-04_10-07-22,1691132842,11.363894701004028,1775.1720054149628,39437,MacBook-Air-Bulat-2.local,127.0.0.1,45.34127855300903,4,128280,128280,128280,128280,-3527.373103192358,-3531.453741157246,-3528.506468235803,360.0,6,0,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165, -3527.635046617572, -3527.8450809954534, -3527.9224822398132, -3528.5663680161574, -3529.3851781138733, -3529.5976892955523, -3527.7940566207594, -3528.469109144819, -3527.373103192358, -3527.716126781064, -3528.12675322961, -3528.893349052709]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.360843696569682,0.23737037980524264,0.05749957189419295,1.0349194876051293,0.0,0.0024453453395677648,0.0017093575519064198,0.04366480785867442,1890.883,1884.0,0.208,1732388.068,6.14,58632.893,0.503,128280,128280,128280,128280,20.825,66.20625000000001,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165, -3527.635046617572, -3527.8450809954534, -3527.9224822398132, -3528.5663680161574, -3529.3851781138733, -3529.5976892955523, -3527.7940566207594, -3528.469109144819, -3527.373103192358, -3527.716126781064, -3528.12675322961, -3528.893349052709]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.360843696569682,0.23737037980524264,0.05749957189419295,1.0349194876051293,0.0,0.0024453453395677648,0.0017093575519064198,0.04366480785867442,64.0,113.0,112.0,0.0,10.0,2.9277777777777767e-07,0.1,-323.68109741210935,-15657004.975,20772836.8
-3527.292315035736,-3531.453741157246,-3528.4100901469774,360.0,6,0,1,0,0,130440,130440,130440,130440,2160,2160,190.2428331592182,190.2428331592182,130440,2160,130440,False,843,165,71c6f_00000,2023-08-04_10-07-34,1691132854,11.3558828830719,1786.5278882980347,39437,MacBook-Air-Bulat-2.local,127.0.0.1,56.69716143608093,5,130440,130440,130440,130440,-3527.292315035736,-3531.453741157246,-3528.4100901469774,360.0,6,0,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165, -3527.635046617572, -3527.8450809954534, -3527.9224822398132, -3528.5663680161574, -3529.3851781138733, -3529.5976892955523, -3527.7940566207594, -3528.469109144819, -3527.373103192358, -3527.716126781064, -3528.12675322961, -3528.893349052709, -3528.607419890293, -3527.5735415266804, -3527.292315035736, -3528.0382745395395, -3529.3285198141316, -3527.403774032467]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.359909809193824,0.2371586890461463,0.05744399764258494,0.9744534794361328,0.0,0.002492707351158405,0.0017289457650020205,0.04359853678736193,1892.519,1885.581,0.216,1667531.132,6.179,58264.113,0.513,130440,130440,130440,130440,19.9625,66.2375,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165, -3527.635046617572, -3527.8450809954534, -3527.9224822398132, -3528.5663680161574, -3529.3851781138733, -3529.5976892955523, -3527.7940566207594, -3528.469109144819, -3527.373103192358, -3527.716126781064, -3528.12675322961, -3528.893349052709, -3528.607419890293, -3527.5735415266804, -3527.292315035736, -3528.0382745395395, -3529.3285198141316, -3527.403774032467]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.359909809193824,0.2371586890461463,0.05744399764258494,0.9744534794361328,0.0,0.002492707351158405,0.0017289457650020205,0.04359853678736193,64.0,143.0,142.0,0.0,10.0,2.5e-07,0.1,-323.41485595703125,-3893388.603125,20754235.5
-3527.292315035736,-3531.453741157246,-3528.3637474481798,360.0,6,0,1,0,0,132600,132600,132600,132600,2160,2160,190.55558572669838,190.55558572669838,132600,2160,132600,False,849,166,71c6f_00000,2023-08-04_10-07-45,1691132865,11.337573289871216,1797.8654615879059,39437,MacBook-Air-Bulat-2.local,127.0.0.1,68.03473472595215,6,132600,132600,132600,132600,-3527.292315035736,-3531.453741157246,-3528.3637474481798,360.0,6,0,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165, -3527.635046617572, -3527.8450809954534, -3527.9224822398132, -3528.5663680161574, -3529.3851781138733, -3529.5976892955523, -3527.7940566207594, -3528.469109144819, -3527.373103192358, -3527.716126781064, -3528.12675322961, -3528.893349052709, -3528.607419890293, -3527.5735415266804, -3527.292315035736, -3528.0382745395395, -3529.3285198141316, -3527.403774032467, -3527.5789085235097, -3528.4420731627943, -3528.979693971568, -3528.1565021623273, -3528.2405444564856, -3527.4408241472847]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.358781802862139,0.23700647084567486,0.05740591026410829,0.9299449860184152,0.0,0.0024298259190150668,0.0017193385532924107,0.043624469212123325,1892.114,1885.06,0.218,1652204.224,6.294,57195.921,0.511,132600,132600,132600,132600,18.8625,66.25625,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165, -3527.635046617572, -3527.8450809954534, -3527.9224822398132, -3528.5663680161574, -3529.3851781138733, -3529.5976892955523, -3527.7940566207594, -3528.469109144819, -3527.373103192358, -3527.716126781064, -3528.12675322961, -3528.893349052709, -3528.607419890293, -3527.5735415266804, -3527.292315035736, -3528.0382745395395, -3529.3285198141316, -3527.403774032467, -3527.5789085235097, -3528.4420731627943, -3528.979693971568, -3528.1565021623273, -3528.2405444564856, -3527.4408241472847]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.358781802862139,0.23700647084567486,0.05740591026410829,0.9299449860184152,0.0,0.0024298259190150668,0.0017193385532924107,0.043624469212123325,64.0,173.0,172.0,0.0,10.0,2.5e-07,0.1,-323.5075439453125,-3447050.13125,20754951.4
-3526.2957982698845,-3531.453741157246,-3528.2490682133885,360.0,6,0,1,0,0,134760,134760,134760,134760,2160,2160,190.3239116831346,190.3239116831346,134760,2160,134760,False,855,167,71c6f_00000,2023-08-04_10-07-57,1691132877,11.350959062576294,1809.2164206504822,39437,MacBook-Air-Bulat-2.local,127.0.0.1,79.38569378852844,7,134760,134760,134760,134760,-3526.2957982698845,-3531.453741157246,-3528.2490682133885,360.0,6,0,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165, -3527.635046617572, -3527.8450809954534, -3527.9224822398132, -3528.5663680161574, -3529.3851781138733, -3529.5976892955523, -3527.7940566207594, -3528.469109144819, -3527.373103192358, -3527.716126781064, -3528.12675322961, -3528.893349052709, -3528.607419890293, -3527.5735415266804, -3527.292315035736, -3528.0382745395395, -3529.3285198141316, -3527.403774032467, -3527.5789085235097, -3528.4420731627943, -3528.979693971568, -3528.1565021623273, -3528.2405444564856, -3527.4408241472847, -3528.6357247548526, -3528.821451272932, -3527.017504483251, -3528.0667931953317, -3526.2957982698845, -3526.6433640863756]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.358032310421209,0.23687291636338206,0.0573750387756949,0.8953939367673005,0.0,0.002542356165443979,0.0017212658393673782,0.04359047587324933,1892.485,1885.555,0.213,1687660.042,6.177,58282.554,0.508,134760,134760,134760,134760,19.288235294117644,66.21176470588235,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165, -3527.635046617572, -3527.8450809954534, -3527.9224822398132, -3528.5663680161574, -3529.3851781138733, -3529.5976892955523, -3527.7940566207594, -3528.469109144819, -3527.373103192358, -3527.716126781064, -3528.12675322961, -3528.893349052709, -3528.607419890293, -3527.5735415266804, -3527.292315035736, -3528.0382745395395, -3529.3285198141316, -3527.403774032467, -3527.5789085235097, -3528.4420731627943, -3528.979693971568, -3528.1565021623273, -3528.2405444564856, -3527.4408241472847, -3528.6357247548526, -3528.821451272932, -3527.017504483251, -3528.0667931953317, -3526.2957982698845, -3526.6433640863756]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.358032310421209,0.23687291636338206,0.0573750387756949,0.8953939367673005,0.0,0.002542356165443979,0.0017212658393673782,0.04359047587324933,64.0,203.0,202.0,0.0,10.0,2.5e-07,0.1,-323.3664123535156,-446854.61875,20743080.7
-3526.2957982698845,-3531.453741157246,-3528.121499851814,360.0,6,0,1,0,0,136920,136920,136920,136920,2160,2160,190.3805121495518,190.3805121495518,136920,2160,136920,False,861,168,71c6f_00000,2023-08-04_10-08-08,1691132888,11.347550868988037,1820.5639715194702,39437,MacBook-Air-Bulat-2.local,127.0.0.1,90.73324465751648,8,136920,136920,136920,136920,-3526.2957982698845,-3531.453741157246,-3528.121499851814,360.0,6,0,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165, -3527.635046617572, -3527.8450809954534, -3527.9224822398132, -3528.5663680161574, -3529.3851781138733, -3529.5976892955523, -3527.7940566207594, -3528.469109144819, -3527.373103192358, -3527.716126781064, -3528.12675322961, -3528.893349052709, -3528.607419890293, -3527.5735415266804, -3527.292315035736, -3528.0382745395395, -3529.3285198141316, -3527.403774032467, -3527.5789085235097, -3528.4420731627943, -3528.979693971568, -3528.1565021623273, -3528.2405444564856, -3527.4408241472847, -3528.6357247548526, -3528.821451272932, -3527.017504483251, -3528.0667931953317, -3526.2957982698845, -3526.6433640863756, -3526.7311093788103, -3526.678759595166, -3527.481662485766, -3527.6703346531185, -3527.011990337428, -3527.924839836039]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.357633845569502,0.23675244510066976,0.05734920926850945,0.8675169863410154,0.0,0.0025312951270570145,0.001718642863821476,0.04355045075112201,1889.348,1882.418,0.219,1647517.119,6.182,58229.96,0.497,136920,136920,136920,136920,21.09375,66.01875,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165, -3527.635046617572, -3527.8450809954534, -3527.9224822398132, -3528.5663680161574, -3529.3851781138733, -3529.5976892955523, -3527.7940566207594, -3528.469109144819, -3527.373103192358, -3527.716126781064, -3528.12675322961, -3528.893349052709, -3528.607419890293, -3527.5735415266804, -3527.292315035736, -3528.0382745395395, -3529.3285198141316, -3527.403774032467, -3527.5789085235097, -3528.4420731627943, -3528.979693971568, -3528.1565021623273, -3528.2405444564856, -3527.4408241472847, -3528.6357247548526, -3528.821451272932, -3527.017504483251, -3528.0667931953317, -3526.2957982698845, -3526.6433640863756, -3526.7311093788103, -3526.678759595166, -3527.481662485766, -3527.6703346531185, -3527.011990337428, -3527.924839836039]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.357633845569502,0.23675244510066976,0.05734920926850945,0.8675169863410154,0.0,0.0025312951270570145,0.001718642863821476,0.04355045075112201,64.0,233.0,232.0,0.0,10.0,2.5e-07,0.1,-323.20249633789064,-2155715.6875,20759296.4
-3526.2957982698845,-3531.453741157246,-3528.013762698984,360.0,6,0,1,0,0,139080,139080,139080,139080,2160,2160,190.6462260694675,190.6462260694675,139080,2160,139080,False,867,169,71c6f_00000,2023-08-04_10-08-19,1691132899,11.331812858581543,1831.8957843780518,39437,MacBook-Air-Bulat-2.local,127.0.0.1,102.06505751609802,9,139080,139080,139080,139080,-3526.2957982698845,-3531.453741157246,-3528.013762698984,360.0,6,0,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165, -3527.635046617572, -3527.8450809954534, -3527.9224822398132, -3528.5663680161574, -3529.3851781138733, -3529.5976892955523, -3527.7940566207594, -3528.469109144819, -3527.373103192358, -3527.716126781064, -3528.12675322961, -3528.893349052709, -3528.607419890293, -3527.5735415266804, -3527.292315035736, -3528.0382745395395, -3529.3285198141316, -3527.403774032467, -3527.5789085235097, -3528.4420731627943, -3528.979693971568, -3528.1565021623273, -3528.2405444564856, -3527.4408241472847, -3528.6357247548526, -3528.821451272932, -3527.017504483251, -3528.0667931953317, -3526.2957982698845, -3526.6433640863756, -3526.7311093788103, -3526.678759595166, -3527.481662485766, -3527.6703346531185, -3527.011990337428, -3527.924839836039, -3526.979290720969, -3527.6617865880157, -3527.540616353993, -3526.6763883209396, -3527.197550813965, -3526.9632972129984]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.357113977950522,0.23670104963145258,0.05733637505982396,0.8446327657442437,0.0,0.0024804529154075767,0.0017076168420179835,0.04358921410902491,1888.981,1881.926,0.223,1612849.22,6.296,57176.862,0.503,139080,139080,139080,139080,19.799999999999997,65.96249999999999,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165, -3527.635046617572, -3527.8450809954534, -3527.9224822398132, -3528.5663680161574, -3529.3851781138733, -3529.5976892955523, -3527.7940566207594, -3528.469109144819, -3527.373103192358, -3527.716126781064, -3528.12675322961, -3528.893349052709, -3528.607419890293, -3527.5735415266804, -3527.292315035736, -3528.0382745395395, -3529.3285198141316, -3527.403774032467, -3527.5789085235097, -3528.4420731627943, -3528.979693971568, -3528.1565021623273, -3528.2405444564856, -3527.4408241472847, -3528.6357247548526, -3528.821451272932, -3527.017504483251, -3528.0667931953317, -3526.2957982698845, -3526.6433640863756, -3526.7311093788103, -3526.678759595166, -3527.481662485766, -3527.6703346531185, -3527.011990337428, -3527.924839836039, -3526.979290720969, -3527.6617865880157, -3527.540616353993, -3526.6763883209396, -3527.197550813965, -3526.9632972129984]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.357113977950522,0.23670104963145258,0.05733637505982396,0.8446327657442437,0.0,0.0024804529154075767,0.0017076168420179835,0.04358921410902491,64.0,263.0,262.0,0.0,10.0,2.5e-07,0.1,-322.9539428710938,-456030.79375,20746460.6
-3526.2957982698845,-3531.453741157246,-3528.0069124682864,360.0,6,0,1,0,0,141240,141240,141240,141240,2160,2160,189.4489748522531,189.4489748522531,141240,2160,141240,False,873,170,71c6f_00000,2023-08-04_10-08-31,1691132911,11.403558254241943,1843.2993426322937,39437,MacBook-Air-Bulat-2.local,127.0.0.1,113.46861577033997,10,141240,141240,141240,141240,-3526.2957982698845,-3531.453741157246,-3528.0069124682864,360.0,6,0,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165, -3527.635046617572, -3527.8450809954534, -3527.9224822398132, -3528.5663680161574, -3529.3851781138733, -3529.5976892955523, -3527.7940566207594, -3528.469109144819, -3527.373103192358, -3527.716126781064, -3528.12675322961, -3528.893349052709, -3528.607419890293, -3527.5735415266804, -3527.292315035736, -3528.0382745395395, -3529.3285198141316, -3527.403774032467, -3527.5789085235097, -3528.4420731627943, -3528.979693971568, -3528.1565021623273, -3528.2405444564856, -3527.4408241472847, -3528.6357247548526, -3528.821451272932, -3527.017504483251, -3528.0667931953317, -3526.2957982698845, -3526.6433640863756, -3526.7311093788103, -3526.678759595166, -3527.481662485766, -3527.6703346531185, -3527.011990337428, -3527.924839836039, -3526.979290720969, -3527.6617865880157, -3527.540616353993, -3526.6763883209396, -3527.197550813965, -3526.9632972129984, -3526.7418474291085, -3527.748235661396, -3527.9827349128336, -3528.286235295227, -3527.407254196455, -3529.512105087746]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.356901631591526,0.23665536091643516,0.057323529983442936,0.8254939308407121,0.0,0.002452882669739804,0.0017036825923596398,0.04355624570684918,1894.855,1887.775,0.221,1625874.276,6.308,57073.989,0.519,141240,141240,141240,141240,20.293750000000003,66.21875,"[-3531.453741157246, -3528.693746969846, -3529.474720217727, -3528.103758166464, -3529.696533809252, -3527.5834141083255, -3528.179291950725, -3528.477362863689, -3527.837515113722, -3529.4183347215253, -3527.4060070452165, -3527.635046617572, -3527.8450809954534, -3527.9224822398132, -3528.5663680161574, -3529.3851781138733, -3529.5976892955523, -3527.7940566207594, -3528.469109144819, -3527.373103192358, -3527.716126781064, -3528.12675322961, -3528.893349052709, -3528.607419890293, -3527.5735415266804, -3527.292315035736, -3528.0382745395395, -3529.3285198141316, -3527.403774032467, -3527.5789085235097, -3528.4420731627943, -3528.979693971568, -3528.1565021623273, -3528.2405444564856, -3527.4408241472847, -3528.6357247548526, -3528.821451272932, -3527.017504483251, -3528.0667931953317, -3526.2957982698845, -3526.6433640863756, -3526.7311093788103, -3526.678759595166, -3527.481662485766, -3527.6703346531185, -3527.011990337428, -3527.924839836039, -3526.979290720969, -3527.6617865880157, -3527.540616353993, -3526.6763883209396, -3527.197550813965, -3526.9632972129984, -3526.7418474291085, -3527.748235661396, -3527.9827349128336, -3528.286235295227, -3527.407254196455, -3529.512105087746]","[360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360, 360]",4.356901631591526,0.23665536091643516,0.057323529983442936,0.8254939308407121,0.0,0.002452882669739804,0.0017036825923596398,0.04355624570684918,64.0,293.0,292.0,0.0,10.0,1.7166666666666666e-07,0.1,-322.9422973632812,-9831986.475,20775681.7
