episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss
-1187.4258645544264,-1194.8813556625362,-1191.1536101084812,121.0,2,0,1,0,0,1213922,1213922,1213922,1213922,242,242,17.96188134445736,17.96188134445736,1213922,242,1213922,False,3854,756,4f8cd_00000,2023-08-05_08-38-50,1691213930,13.47544813156128,10251.008404016495,50585,MacBook-Air-Bulat-2.local,127.0.0.1,13.47544813156128,1,1213922,1213922,1213922,1213922,-1187.4258645544264,-1194.8813556625362,-1191.1536101084812,121.0,2,0,"[-1187.4258645544264, -1194.8813556625362]","[121, 121]",20.844078848881978,0.3893532380155085,0.09508682376563303,33.98306968280808,0.0,0.0051021575927734375,0.0031828880310058594,0.0836491584777832,6736.47,6725.595,0.389,311165.41,9.714,12456.239,0.732,1213922,1213922,1213922,1213922,33.295,66.72,"[-1187.4258645544264, -1194.8813556625362]","[121, 121]",20.844078848881978,0.3893532380155085,0.09508682376563303,33.98306968280808,0.0,0.0051021575927734375,0.0031828880310058594,0.0836491584777832,64.0,2.0,1.0,0.0,10.0,1e-12,0.1,-319.5893859863281,-13878908.0,11054610.0
-1187.4258645544264,-1198.5240413721779,-1194.3454935729615,121.0,2,0,1,0,0,1214164,1214164,1214164,1214164,242,242,21.525518808588064,21.525518808588064,1214164,242,1214164,False,3856,757,4f8cd_00000,2023-08-05_08-39-02,1691213942,11.244833946228027,10262.253237962723,50585,MacBook-Air-Bulat-2.local,127.0.0.1,24.720282077789307,2,1214164,1214164,1214164,1214164,-1187.4258645544264,-1198.5240413721779,-1194.3454935729615,121.0,2,0,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706]","[121, 121, 121, 121]",21.25878176657387,0.3883668895004653,0.0950329517469535,31.342431607909326,0.0,0.005447864532470703,0.0031769275665283203,0.08565783500671387,6178.847,6171.487,0.3,402866.27,6.295,19220.981,0.726,1214164,1214164,1214164,1214164,20.481250000000003,66.65,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706]","[121, 121, 121, 121]",21.25878176657387,0.3883668895004653,0.0950329517469535,31.342431607909326,0.0,0.005447864532470703,0.0031769275665283203,0.08565783500671387,64.0,4.0,3.0,0.0,10.0,1e-12,0.1,-319.212890625,-1864283.375,11120389.0
-1187.4258645544264,-1198.5240413721779,-1193.0524387097596,121.0,2,0,1,0,0,1214406,1214406,1214406,1214406,242,242,21.646383114456796,21.646383114456796,1214406,242,1214406,False,3858,758,4f8cd_00000,2023-08-05_08-39-13,1691213953,11.1821870803833,10273.435425043106,50585,MacBook-Air-Bulat-2.local,127.0.0.1,35.90246915817261,3,1214406,1214406,1214406,1214406,-1187.4258645544264,-1198.5240413721779,-1193.0524387097596,121.0,2,0,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706, -1192.0111455857184, -1188.9215123809936]","[121, 121, 121, 121, 121, 121]",21.43869052417155,0.3877564421531388,0.09500102222238584,29.895534850553314,0.0,0.005884965260823567,0.0031908353169759116,0.08511145909627278,5982.509,5976.311,0.272,445575.754,5.165,23428.621,0.724,1214406,1214406,1214406,1214406,21.94375,66.63125,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706, -1192.0111455857184, -1188.9215123809936]","[121, 121, 121, 121, 121, 121]",21.43869052417155,0.3877564421531388,0.09500102222238584,29.895534850553314,0.0,0.005884965260823567,0.0031908353169759116,0.08511145909627278,64.0,6.0,5.0,0.0,10.0,1e-12,0.1,-319.277587890625,-14470834.0,10925656.0
-1187.4258645544264,-1198.5240413721779,-1192.5779809913624,121.0,2,0,1,0,0,1214648,1214648,1214648,1214648,242,242,21.7482539469296,21.7482539469296,1214648,242,1214648,False,3860,759,4f8cd_00000,2023-08-05_08-39-24,1691213964,11.129681825637817,10284.565106868744,50585,MacBook-Air-Bulat-2.local,127.0.0.1,47.032150983810425,4,1214648,1214648,1214648,1214648,-1187.4258645544264,-1198.5240413721779,-1192.5779809913624,121.0,2,0,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706, -1192.0111455857184, -1188.9215123809936, -1194.8833511179162, -1187.4258645544264]","[121, 121, 121, 121, 121, 121, 121, 121]",21.551630655481418,0.38729510736573775,0.09494222895622755,28.938745431653036,0.0,0.005760788917541504,0.0032067298889160156,0.08422136306762695,5877.795,5872.197,0.259,467859.676,4.574,26455.761,0.729,1214648,1214648,1214648,1214648,21.279999999999998,66.68666666666668,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706, -1192.0111455857184, -1188.9215123809936, -1194.8833511179162, -1187.4258645544264]","[121, 121, 121, 121, 121, 121, 121, 121]",21.551630655481418,0.38729510736573775,0.09494222895622755,28.938745431653036,0.0,0.005760788917541504,0.0032067298889160156,0.08422136306762695,64.0,8.0,7.0,0.0,10.0,1e-12,0.1,-318.9363098144531,240820.140625,10909448.0
-1187.4258645544264,-1198.5240413721779,-1191.5475577039754,121.0,2,0,1,0,0,1214890,1214890,1214890,1214890,242,242,21.792389795435426,21.792389795435426,1214890,242,1214890,False,3862,760,4f8cd_00000,2023-08-05_08-39-35,1691213975,11.107056856155396,10295.6721637249,50585,MacBook-Air-Bulat-2.local,127.0.0.1,58.13920783996582,5,1214890,1214890,1214890,1214890,-1187.4258645544264,-1198.5240413721779,-1191.5475577039754,121.0,2,0,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706, -1192.0111455857184, -1188.9215123809936, -1194.8833511179162, -1187.4258645544264, -1187.4258645544264, -1187.4258645544264]","[121, 121, 121, 121, 121, 121, 121, 121, 121, 121]",21.62761192811339,0.3867511401508784,0.0948444097274014,28.251974169728065,0.0,0.005650520324707031,0.0032186508178710938,0.08414506912231445,5812.713,5807.476,0.251,482883.715,4.232,28594.734,0.718,1214890,1214890,1214890,1214890,20.25625,66.57499999999999,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706, -1192.0111455857184, -1188.9215123809936, -1194.8833511179162, -1187.4258645544264, -1187.4258645544264, -1187.4258645544264]","[121, 121, 121, 121, 121, 121, 121, 121, 121, 121]",21.62761192811339,0.3867511401508784,0.0948444097274014,28.251974169728065,0.0,0.005650520324707031,0.0032186508178710938,0.08414506912231445,64.0,10.0,9.0,0.0,10.0,1e-12,0.1,-318.9363098144531,240820.140625,10909448.0
-1187.4258645544264,-1198.5240413721779,-1191.3991961082097,121.0,2,0,1,0,0,1215132,1215132,1215132,1215132,242,242,21.509835634865098,21.509835634865098,1215132,242,1215132,False,3864,761,4f8cd_00000,2023-08-05_08-39-46,1691213986,11.253193140029907,10306.92535686493,50585,MacBook-Air-Bulat-2.local,127.0.0.1,69.39240097999573,6,1215132,1215132,1215132,1215132,-1187.4258645544264,-1198.5240413721779,-1191.3991961082097,121.0,2,0,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706, -1192.0111455857184, -1188.9215123809936, -1194.8833511179162, -1187.4258645544264, -1187.4258645544264, -1187.4258645544264, -1190.9215561825138, -1190.39322007625]","[121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121]",21.687121998341524,0.3861647845770211,0.09472411923633113,27.744043594461385,0.0,0.005632638931274414,0.0031908353169759116,0.08432070414225261,5590.483,5586.669,0.217,558563.487,2.852,42433.302,0.709,1215132,1215132,1215132,1215132,18.581249999999997,66.5625,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706, -1192.0111455857184, -1188.9215123809936, -1194.8833511179162, -1187.4258645544264, -1187.4258645544264, -1187.4258645544264, -1190.9215561825138, -1190.39322007625]","[121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121]",21.687121998341524,0.3861647845770211,0.09472411923633113,27.744043594461385,0.0,0.005632638931274414,0.0031908353169759116,0.08432070414225261,64.0,12.0,11.0,0.0,10.0,1e-12,0.1,-319.2613830566406,-2596548.0,10959044.0
-1187.4258645544264,-1198.5240413721779,-1191.7182075257806,121.0,2,0,1,0,0,1215374,1215374,1215374,1215374,242,242,21.419959238367174,21.419959238367174,1215374,242,1215374,False,3866,762,4f8cd_00000,2023-08-05_08-39-58,1691213998,11.300425052642822,10318.225781917572,50585,MacBook-Air-Bulat-2.local,127.0.0.1,80.69282603263855,7,1215374,1215374,1215374,1215374,-1187.4258645544264,-1198.5240413721779,-1191.7182075257806,121.0,2,0,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706, -1192.0111455857184, -1188.9215123809936, -1194.8833511179162, -1187.4258645544264, -1187.4258645544264, -1187.4258645544264, -1190.9215561825138, -1190.39322007625, -1188.9115620570647, -1198.3529900053459]","[121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121]",21.737282566398513,0.38569231212584565,0.09461913729678129,27.352184356306648,0.0,0.005899156842912946,0.003142016274588449,0.0844052859715053,5596.023,5592.218,0.218,555141.965,2.838,42636.142,0.713,1215374,1215374,1215374,1215374,20.03125,66.63749999999999,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706, -1192.0111455857184, -1188.9215123809936, -1194.8833511179162, -1187.4258645544264, -1187.4258645544264, -1187.4258645544264, -1190.9215561825138, -1190.39322007625, -1188.9115620570647, -1198.3529900053459]","[121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121]",21.737282566398513,0.38569231212584565,0.09461913729678129,27.352184356306648,0.0,0.005899156842912946,0.003142016274588449,0.0844052859715053,64.0,14.0,13.0,0.0,10.0,1e-12,0.1,-319.5639953613281,-22863206.0,11130092.0
-1187.4258645544264,-1198.5240413721779,-1191.919645569522,121.0,2,0,1,0,0,1215616,1215616,1215616,1215616,242,242,21.68406093027558,21.68406093027558,1215616,242,1215616,False,3868,763,4f8cd_00000,2023-08-05_08-40-09,1691214009,11.162799835205078,10329.388581752777,50585,MacBook-Air-Bulat-2.local,127.0.0.1,91.85562586784363,8,1215616,1215616,1215616,1215616,-1187.4258645544264,-1198.5240413721779,-1191.919645569522,121.0,2,0,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706, -1192.0111455857184, -1188.9215123809936, -1194.8833511179162, -1187.4258645544264, -1187.4258645544264, -1187.4258645544264, -1190.9215561825138, -1190.39322007625, -1188.9115620570647, -1198.3529900053459, -1193.4285583724873, -1193.2308653789366]","[121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121]",21.775911425097846,0.3855198704701853,0.09456566263368821,27.03403947511735,0.0,0.005875527858734131,0.0031381845474243164,0.08464157581329346,5594.081,5590.241,0.22,551103.034,2.866,42216.927,0.717,1215616,1215616,1215616,1215616,20.14375,66.5625,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706, -1192.0111455857184, -1188.9215123809936, -1194.8833511179162, -1187.4258645544264, -1187.4258645544264, -1187.4258645544264, -1190.9215561825138, -1190.39322007625, -1188.9115620570647, -1198.3529900053459, -1193.4285583724873, -1193.2308653789366]","[121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121]",21.775911425097846,0.3855198704701853,0.09456566263368821,27.03403947511735,0.0,0.005875527858734131,0.0031381845474243164,0.08464157581329346,64.0,16.0,15.0,0.0,10.0,1e-12,0.1,-319.5406799316406,-2887176.5,11039750.0
-1187.4258645544264,-1198.5240413721779,-1191.7547368513817,121.0,2,0,1,0,0,1215858,1215858,1215858,1215858,242,242,21.557439170818686,21.557439170818686,1215858,242,1215858,False,3870,764,4f8cd_00000,2023-08-05_08-40-20,1691214020,11.228269100189209,10340.616850852966,50585,MacBook-Air-Bulat-2.local,127.0.0.1,103.08389496803284,9,1215858,1215858,1215858,1215858,-1187.4258645544264,-1198.5240413721779,-1191.7547368513817,121.0,2,0,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706, -1192.0111455857184, -1188.9215123809936, -1194.8833511179162, -1187.4258645544264, -1187.4258645544264, -1187.4258645544264, -1190.9215561825138, -1190.39322007625, -1188.9115620570647, -1198.3529900053459, -1193.4285583724873, -1193.2308653789366, -1191.9593721554538, -1188.9115620570647]","[121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121]",21.81238863338269,0.3853518451460007,0.0945138317691606,26.767666919813315,0.0,0.005870395236545139,0.003106064266628689,0.08453792995876735,5603.93,5600.075,0.22,549789.605,2.888,41895.95,0.709,1215858,1215858,1215858,1215858,20.03125,66.475,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706, -1192.0111455857184, -1188.9215123809936, -1194.8833511179162, -1187.4258645544264, -1187.4258645544264, -1187.4258645544264, -1190.9215561825138, -1190.39322007625, -1188.9115620570647, -1198.3529900053459, -1193.4285583724873, -1193.2308653789366, -1191.9593721554538, -1188.9115620570647]","[121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121]",21.81238863338269,0.3853518451460007,0.0945138317691606,26.767666919813315,0.0,0.005870395236545139,0.003106064266628689,0.08453792995876735,64.0,18.0,17.0,0.0,10.0,1e-12,0.1,-319.28021240234375,-14678571.0,10922936.0
-1187.001940084544,-1198.5240413721779,-1191.5188928443263,121.0,2,0,1,0,0,1216100,1216100,1216100,1216100,242,242,21.316584412300603,21.316584412300603,1216100,242,1216100,False,3872,765,4f8cd_00000,2023-08-05_08-40-32,1691214032,11.35506296157837,10351.971913814545,50585,MacBook-Air-Bulat-2.local,127.0.0.1,114.4389579296112,10,1216100,1216100,1216100,1216100,-1187.001940084544,-1198.5240413721779,-1191.5188928443263,121.0,2,0,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706, -1192.0111455857184, -1188.9215123809936, -1194.8833511179162, -1187.4258645544264, -1187.4258645544264, -1187.4258645544264, -1190.9215561825138, -1190.39322007625, -1188.9115620570647, -1198.3529900053459, -1193.4285583724873, -1193.2308653789366, -1191.9593721554538, -1188.9115620570647, -1191.7906534771116, -1187.001940084544]","[121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121]",21.845910828090744,0.38516475772552716,0.09445936088457374,26.546488148675184,0.0,0.00580906867980957,0.0030863285064697266,0.08463382720947266,5628.716,5624.852,0.221,546827.695,2.884,41958.298,0.721,1216100,1216100,1216100,1216100,20.431250000000002,66.29374999999999,"[-1187.4258645544264, -1194.8813556625362, -1198.5240413721779, -1196.550712702706, -1192.0111455857184, -1188.9215123809936, -1194.8833511179162, -1187.4258645544264, -1187.4258645544264, -1187.4258645544264, -1190.9215561825138, -1190.39322007625, -1188.9115620570647, -1198.3529900053459, -1193.4285583724873, -1193.2308653789366, -1191.9593721554538, -1188.9115620570647, -1191.7906534771116, -1187.001940084544]","[121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121]",21.845910828090744,0.38516475772552716,0.09445936088457374,26.546488148675184,0.0,0.00580906867980957,0.0030863285064697266,0.08463382720947266,64.0,20.0,19.0,0.0,10.0,1e-12,0.1,-318.9363098144531,240709.75,10899795.0
