episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/policy_entropy,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss
-1051.0693343662952,-1671.76773367424,-1323.287918437914,120.0,5,0,1,0,0,600,600,600,600,600,600,54.813146761429934,54.813146761429934,600,600,600,False,5,1,487fa_00000,2023-07-24_20-55-47,1690221347,10.9481360912323,10.9481360912323,39803,MacBook-Air-Bulat-2.local,127.0.0.1,10.9481360912323,1,600,600,600,600,-1051.0693343662952,-1671.76773367424,-1323.287918437914,120.0,5,0,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987]","[120, 120, 120, 120, 120]",13.019583189546964,0.2750806919548555,0.06285761041371478,4.756964383625151,0.0,0.0031757354736328125,0.0020360946655273438,0.04913806915283203,2189.245,2181.514,0.191,627420.194,6.953,17258.853,0.557,600,600,600,600,30.931250000000002,76.01249999999999,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987]","[120, 120, 120, 120, 120]",13.019583189546964,0.2750806919548555,0.06285761041371478,4.756964383625151,0.0,0.0031757354736328125,0.0020360946655273438,0.04913806915283203,64.0,5.0,4.0,0.0,10.0,0.00046666666666666666,0.1,285.9139099121094,-199369.1875,15346583.0
-1051.0693343662952,-1671.76773367424,-1304.263326158038,120.0,6,0,1,0,0,1320,1320,1320,1320,720,720,65.55060663257169,65.55060663257169,1320,720,1320,False,11,2,487fa_00000,2023-07-24_20-55-58,1690221358,10.985657930374146,21.933794021606445,39803,MacBook-Air-Bulat-2.local,127.0.0.1,21.933794021606445,2,1320,1320,1320,1320,-1051.0693343662952,-1671.76773367424,-1304.263326158038,120.0,6,0,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.015122457622319,0.27526922752505045,0.06302520133648591,3.894638814558412,0.0,0.002952055497602983,0.0019767067649147725,0.04995736208829013,1825.812,1823.092,0.143,841244.326,2.038,58887.398,0.513,1320,1320,1320,1320,24.293750000000003,76.17500000000001,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.015122457622319,0.27526922752505045,0.06302520133648591,3.894638814558412,0.0,0.002952055497602983,0.0019767067649147725,0.04995736208829013,64.0,11.0,10.0,0.0,10.0,0.0004166666666666667,0.1,285.4430847167969,-182645.421875,13109140.0
-934.1740148088348,-1671.76773367424,-1235.7725670824807,120.0,6,0,1,0,0,2040,2040,2040,2040,720,720,65.48855632647901,65.48855632647901,2040,720,2040,False,17,3,487fa_00000,2023-07-24_20-56-09,1690221369,10.996519804000854,32.9303138256073,39803,MacBook-Air-Bulat-2.local,127.0.0.1,32.9303138256073,3,2040,2040,2040,2040,-934.1740148088348,-1671.76773367424,-1235.7725670824807,120.0,6,0,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838, -1178.9559596485599, -1112.251756490136, -1074.154255917207, -1271.0551429275058, -1090.6459228715119, -934.1740148088348]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.023402002726513,0.2732140306556629,0.06272002957573657,3.470714670119457,0.0,0.002781082602108226,0.0019045437083524816,0.04948167239918428,1834.679,1832.101,0.144,831378.394,1.898,63237.864,0.507,2040,2040,2040,2040,24.746666666666666,76.18666666666668,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838, -1178.9559596485599, -1112.251756490136, -1074.154255917207, -1271.0551429275058, -1090.6459228715119, -934.1740148088348]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.023402002726513,0.2732140306556629,0.06272002957573657,3.470714670119457,0.0,0.002781082602108226,0.0019045437083524816,0.04948167239918428,64.0,17.0,16.0,0.0,10.0,0.00036666666666666667,0.1,280.79986572265625,-124507.796875,6215548.0
-755.998806728208,-1671.76773367424,-1141.0204794623137,120.0,6,0,1,0,0,2760,2760,2760,2760,720,720,65.74648434483514,65.74648434483514,2760,720,2760,False,23,4,487fa_00000,2023-07-24_20-56-20,1690221380,10.953013896942139,43.88332772254944,39803,MacBook-Air-Bulat-2.local,127.0.0.1,43.88332772254944,4,2760,2760,2760,2760,-755.998806728208,-1671.76773367424,-1141.0204794623137,120.0,6,0,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838, -1178.9559596485599, -1112.251756490136, -1074.154255917207, -1271.0551429275058, -1090.6459228715119, -934.1740148088348, -900.9988488841341, -1099.7531150292925, -768.9965334334995, -755.998806728208, -908.6613841342771, -800.9286990216366]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.027969066758025,0.2714975700852153,0.06244962768349863,3.2064366977508296,0.0,0.0027169351992399797,0.0019052754277768342,0.051022612530252205,1828.914,1826.34,0.146,823489.005,1.894,63359.662,0.507,2760,2760,2760,2760,24.23125,76.2,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838, -1178.9559596485599, -1112.251756490136, -1074.154255917207, -1271.0551429275058, -1090.6459228715119, -934.1740148088348, -900.9988488841341, -1099.7531150292925, -768.9965334334995, -755.998806728208, -908.6613841342771, -800.9286990216366]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.027969066758025,0.2714975700852153,0.06244962768349863,3.2064366977508296,0.0,0.0027169351992399797,0.0019052754277768342,0.051022612530252205,64.0,23.0,22.0,0.0,10.0,0.0003166666666666667,0.1,263.12872314453125,-94214.5703125,4585655.0
-650.0618154367022,-1671.76773367424,-1074.1875545745418,120.0,6,0,1,0,0,3480,3480,3480,3480,720,720,65.36809987922082,65.36809987922082,3480,720,3480,False,29,5,487fa_00000,2023-07-24_20-56-31,1690221391,11.016525030136108,54.89985275268555,39803,MacBook-Air-Bulat-2.local,127.0.0.1,54.89985275268555,5,3480,3480,3480,3480,-650.0618154367022,-1671.76773367424,-1074.1875545745418,120.0,6,0,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838, -1178.9559596485599, -1112.251756490136, -1074.154255917207, -1271.0551429275058, -1090.6459228715119, -934.1740148088348, -900.9988488841341, -1099.7531150292925, -768.9965334334995, -755.998806728208, -908.6613841342771, -800.9286990216366, -792.2473718828883, -763.4024714602573, -977.5255385202789, -650.0618154367022, -884.4461651309031, -840.2846925974616]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.031292354292827,0.2704390720668368,0.06227541659220238,3.0258921561547,0.0,0.0028602008161873653,0.0019303683576912716,0.052091171001565864,1833.163,1830.553,0.147,816144.771,1.896,63291.938,0.539,3480,3480,3480,3480,26.381249999999998,76.1875,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838, -1178.9559596485599, -1112.251756490136, -1074.154255917207, -1271.0551429275058, -1090.6459228715119, -934.1740148088348, -900.9988488841341, -1099.7531150292925, -768.9965334334995, -755.998806728208, -908.6613841342771, -800.9286990216366, -792.2473718828883, -763.4024714602573, -977.5255385202789, -650.0618154367022, -884.4461651309031, -840.2846925974616]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.031292354292827,0.2704390720668368,0.06227541659220238,3.0258921561547,0.0,0.0028602008161873653,0.0019303683576912716,0.052091171001565864,64.0,29.0,28.0,0.0,10.0,0.0002666666666666667,0.1,262.7968444824219,-109989.296875,6302709.0
-593.505803523914,-1671.76773367424,-1015.0888696776456,120.0,6,0,1,0,0,4200,4200,4200,4200,720,720,65.75451818886397,65.75451818886397,4200,720,4200,False,35,6,487fa_00000,2023-07-24_20-56-42,1690221402,10.951842784881592,65.85169553756714,39803,MacBook-Air-Bulat-2.local,127.0.0.1,65.85169553756714,6,4200,4200,4200,4200,-593.505803523914,-1671.76773367424,-1015.0888696776456,120.0,6,0,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838, -1178.9559596485599, -1112.251756490136, -1074.154255917207, -1271.0551429275058, -1090.6459228715119, -934.1740148088348, -900.9988488841341, -1099.7531150292925, -768.9965334334995, -755.998806728208, -908.6613841342771, -800.9286990216366, -792.2473718828883, -763.4024714602573, -977.5255385202789, -650.0618154367022, -884.4461651309031, -840.2846925974616, -593.505803523914, -662.165911699012, -790.5508778618617, -860.1520364700672, -831.0232026434379, -639.2735238575871]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.031840303201502,0.2698224274252411,0.062184773685218506,2.8925395902345024,0.0,0.0027922221592494418,0.001923016139439174,0.05178383418491909,1832.165,1829.6,0.146,819733.681,1.86,64514.52,0.529,4200,4200,4200,4200,25.4,76.24,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838, -1178.9559596485599, -1112.251756490136, -1074.154255917207, -1271.0551429275058, -1090.6459228715119, -934.1740148088348, -900.9988488841341, -1099.7531150292925, -768.9965334334995, -755.998806728208, -908.6613841342771, -800.9286990216366, -792.2473718828883, -763.4024714602573, -977.5255385202789, -650.0618154367022, -884.4461651309031, -840.2846925974616, -593.505803523914, -662.165911699012, -790.5508778618617, -860.1520364700672, -831.0232026434379, -639.2735238575871]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.031840303201502,0.2698224274252411,0.062184773685218506,2.8925395902345024,0.0,0.0027922221592494418,0.001923016139439174,0.05178383418491909,64.0,35.0,34.0,0.0,10.0,0.00023,0.1,266.6741638183594,-82538.84375,3244140.5
-493.42533459993786,-1671.76773367424,-955.3348376257351,120.0,6,0,1,0,0,4920,4920,4920,4920,720,720,65.60210750568633,65.60210750568633,4920,720,4920,False,41,7,487fa_00000,2023-07-24_20-56-53,1690221413,10.977149963378906,76.82884550094604,39803,MacBook-Air-Bulat-2.local,127.0.0.1,76.82884550094604,7,4920,4920,4920,4920,-493.42533459993786,-1671.76773367424,-955.3348376257351,120.0,6,0,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838, -1178.9559596485599, -1112.251756490136, -1074.154255917207, -1271.0551429275058, -1090.6459228715119, -934.1740148088348, -900.9988488841341, -1099.7531150292925, -768.9965334334995, -755.998806728208, -908.6613841342771, -800.9286990216366, -792.2473718828883, -763.4024714602573, -977.5255385202789, -650.0618154367022, -884.4461651309031, -840.2846925974616, -593.505803523914, -662.165911699012, -790.5508778618617, -860.1520364700672, -831.0232026434379, -639.2735238575871, -722.2316289236811, -589.4386296753119, -624.3525944842708, -658.6754394426165, -552.4942768117277, -493.42533459993786]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.033328265547112,0.2691454564864158,0.06208064593189231,2.788362308470434,0.0,0.0027016895573313644,0.0018852513010908917,0.05097389221191406,1827.408,1824.843,0.148,813243.626,1.859,64534.373,0.53,4920,4920,4920,4920,24.86875,76.2625,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838, -1178.9559596485599, -1112.251756490136, -1074.154255917207, -1271.0551429275058, -1090.6459228715119, -934.1740148088348, -900.9988488841341, -1099.7531150292925, -768.9965334334995, -755.998806728208, -908.6613841342771, -800.9286990216366, -792.2473718828883, -763.4024714602573, -977.5255385202789, -650.0618154367022, -884.4461651309031, -840.2846925974616, -593.505803523914, -662.165911699012, -790.5508778618617, -860.1520364700672, -831.0232026434379, -639.2735238575871, -722.2316289236811, -589.4386296753119, -624.3525944842708, -658.6754394426165, -552.4942768117277, -493.42533459993786]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.033328265547112,0.2691454564864158,0.06208064593189231,2.788362308470434,0.0,0.0027016895573313644,0.0018852513010908917,0.05097389221191406,64.0,41.0,40.0,0.0,10.0,0.0002,0.1,261.1509704589844,-59882.953125,1824086.0
-415.69063952081075,-1671.76773367424,-928.9969021307037,120.0,6,0,1,0,0,5640,5640,5640,5640,720,720,65.78066180698296,65.78066180698296,5640,720,5640,False,47,8,487fa_00000,2023-07-24_20-57-04,1690221424,10.947411060333252,87.7762565612793,39803,MacBook-Air-Bulat-2.local,127.0.0.1,87.7762565612793,8,5640,5640,5640,5640,-415.69063952081075,-1671.76773367424,-928.9969021307037,120.0,6,0,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838, -1178.9559596485599, -1112.251756490136, -1074.154255917207, -1271.0551429275058, -1090.6459228715119, -934.1740148088348, -900.9988488841341, -1099.7531150292925, -768.9965334334995, -755.998806728208, -908.6613841342771, -800.9286990216366, -792.2473718828883, -763.4024714602573, -977.5255385202789, -650.0618154367022, -884.4461651309031, -840.2846925974616, -593.505803523914, -662.165911699012, -790.5508778618617, -860.1520364700672, -831.0232026434379, -639.2735238575871, -722.2316289236811, -589.4386296753119, -624.3525944842708, -658.6754394426165, -552.4942768117277, -493.42533459993786, -747.6667181855015, -695.8019174595876, -708.0526853341992, -1006.2222474472633, -415.69063952081075, -920.691849540561]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.03399129868883,0.26858455434977485,0.06199096961584226,2.7047666205775163,0.0,0.0027002172267183346,0.0018890867842004655,0.05053560784522523,1825.776,1823.229,0.148,813243.626,1.853,64749.396,0.516,5640,5640,5640,5640,24.300000000000004,76.19333333333334,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838, -1178.9559596485599, -1112.251756490136, -1074.154255917207, -1271.0551429275058, -1090.6459228715119, -934.1740148088348, -900.9988488841341, -1099.7531150292925, -768.9965334334995, -755.998806728208, -908.6613841342771, -800.9286990216366, -792.2473718828883, -763.4024714602573, -977.5255385202789, -650.0618154367022, -884.4461651309031, -840.2846925974616, -593.505803523914, -662.165911699012, -790.5508778618617, -860.1520364700672, -831.0232026434379, -639.2735238575871, -722.2316289236811, -589.4386296753119, -624.3525944842708, -658.6754394426165, -552.4942768117277, -493.42533459993786, -747.6667181855015, -695.8019174595876, -708.0526853341992, -1006.2222474472633, -415.69063952081075, -920.691849540561]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.03399129868883,0.26858455434977485,0.06199096961584226,2.7047666205775163,0.0,0.0027002172267183346,0.0018890867842004655,0.05053560784522523,64.0,47.0,46.0,0.0,10.0,0.00017,0.1,261.0117492675781,-118996.0390625,6718198.0
-415.69063952081075,-1671.76773367424,-917.2833571039445,120.0,6,0,1,0,0,6360,6360,6360,6360,720,720,65.50628334750225,65.50628334750225,6360,720,6360,False,53,9,487fa_00000,2023-07-24_20-57-15,1690221435,10.993276119232178,98.76953268051147,39803,MacBook-Air-Bulat-2.local,127.0.0.1,98.76953268051147,9,6360,6360,6360,6360,-415.69063952081075,-1671.76773367424,-917.2833571039445,120.0,6,0,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838, -1178.9559596485599, -1112.251756490136, -1074.154255917207, -1271.0551429275058, -1090.6459228715119, -934.1740148088348, -900.9988488841341, -1099.7531150292925, -768.9965334334995, -755.998806728208, -908.6613841342771, -800.9286990216366, -792.2473718828883, -763.4024714602573, -977.5255385202789, -650.0618154367022, -884.4461651309031, -840.2846925974616, -593.505803523914, -662.165911699012, -790.5508778618617, -860.1520364700672, -831.0232026434379, -639.2735238575871, -722.2316289236811, -589.4386296753119, -624.3525944842708, -658.6754394426165, -552.4942768117277, -493.42533459993786, -747.6667181855015, -695.8019174595876, -708.0526853341992, -1006.2222474472633, -415.69063952081075, -920.691849540561, -689.8646035760331, -844.065020386173, -739.2795176914414, -997.7105586474752, -861.9834227820583, -820.2604032828002]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.03443579828737,0.26822280638085993,0.06193945727765977,2.6363967484131634,0.0,0.002708525027868883,0.0018695615372567806,0.05041743224521853,1827.046,1824.485,0.148,811669.86,1.859,64550.926,0.524,6360,6360,6360,6360,26.95,76.08749999999999,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838, -1178.9559596485599, -1112.251756490136, -1074.154255917207, -1271.0551429275058, -1090.6459228715119, -934.1740148088348, -900.9988488841341, -1099.7531150292925, -768.9965334334995, -755.998806728208, -908.6613841342771, -800.9286990216366, -792.2473718828883, -763.4024714602573, -977.5255385202789, -650.0618154367022, -884.4461651309031, -840.2846925974616, -593.505803523914, -662.165911699012, -790.5508778618617, -860.1520364700672, -831.0232026434379, -639.2735238575871, -722.2316289236811, -589.4386296753119, -624.3525944842708, -658.6754394426165, -552.4942768117277, -493.42533459993786, -747.6667181855015, -695.8019174595876, -708.0526853341992, -1006.2222474472633, -415.69063952081075, -920.691849540561, -689.8646035760331, -844.065020386173, -739.2795176914414, -997.7105586474752, -861.9834227820583, -820.2604032828002]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.03443579828737,0.26822280638085993,0.06193945727765977,2.6363967484131634,0.0,0.002708525027868883,0.0018695615372567806,0.05041743224521853,64.0,53.0,52.0,0.0,10.0,0.00014,0.1,261.0675048828125,-100727.0078125,4774213.0
-415.69063952081075,-1671.76773367424,-910.2218569820445,120.0,6,0,1,0,0,7080,7080,7080,7080,720,720,65.10769928635692,65.10769928635692,7080,720,7080,False,59,10,487fa_00000,2023-07-24_20-57-26,1690221446,11.060575008392334,109.83010768890381,39803,MacBook-Air-Bulat-2.local,127.0.0.1,109.83010768890381,10,7080,7080,7080,7080,-415.69063952081075,-1671.76773367424,-910.2218569820445,120.0,6,0,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838, -1178.9559596485599, -1112.251756490136, -1074.154255917207, -1271.0551429275058, -1090.6459228715119, -934.1740148088348, -900.9988488841341, -1099.7531150292925, -768.9965334334995, -755.998806728208, -908.6613841342771, -800.9286990216366, -792.2473718828883, -763.4024714602573, -977.5255385202789, -650.0618154367022, -884.4461651309031, -840.2846925974616, -593.505803523914, -662.165911699012, -790.5508778618617, -860.1520364700672, -831.0232026434379, -639.2735238575871, -722.2316289236811, -589.4386296753119, -624.3525944842708, -658.6754394426165, -552.4942768117277, -493.42533459993786, -747.6667181855015, -695.8019174595876, -708.0526853341992, -1006.2222474472633, -415.69063952081075, -920.691849540561, -689.8646035760331, -844.065020386173, -739.2795176914414, -997.7105586474752, -861.9834227820583, -820.2604032828002, -772.2129917443874, -858.6577788515682, -951.0389477454228, -793.9667508515279, -764.2247757533829, -946.9703904852943]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.03566373488128,0.26794613136666956,0.06189537688826679,2.579367032295924,0.0,0.002734135773222325,0.0018867395691952464,0.051680257764913265,1842.307,1839.745,0.149,807373.244,1.858,64588.202,0.525,7080,7080,7080,7080,27.143749999999997,76.05625,"[-1391.8397305607616, -1051.0693343662952, -1069.3932365642863, -1671.76773367424, -1432.369557023987, -1282.1136769030375, -1055.1612267691355, -1393.2763414868614, -1337.590466894553, -1348.3662423624223, -1313.949041132838, -1178.9559596485599, -1112.251756490136, -1074.154255917207, -1271.0551429275058, -1090.6459228715119, -934.1740148088348, -900.9988488841341, -1099.7531150292925, -768.9965334334995, -755.998806728208, -908.6613841342771, -800.9286990216366, -792.2473718828883, -763.4024714602573, -977.5255385202789, -650.0618154367022, -884.4461651309031, -840.2846925974616, -593.505803523914, -662.165911699012, -790.5508778618617, -860.1520364700672, -831.0232026434379, -639.2735238575871, -722.2316289236811, -589.4386296753119, -624.3525944842708, -658.6754394426165, -552.4942768117277, -493.42533459993786, -747.6667181855015, -695.8019174595876, -708.0526853341992, -1006.2222474472633, -415.69063952081075, -920.691849540561, -689.8646035760331, -844.065020386173, -739.2795176914414, -997.7105586474752, -861.9834227820583, -820.2604032828002, -772.2129917443874, -858.6577788515682, -951.0389477454228, -793.9667508515279, -764.2247757533829, -946.9703904852943]","[120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120, 120]",13.03566373488128,0.26794613136666956,0.06189537688826679,2.579367032295924,0.0,0.002734135773222325,0.0018867395691952464,0.051680257764913265,64.0,59.0,58.0,0.0,10.0,0.00010999999999999999,0.1,260.53271484375,-112470.0703125,5753306.0
