episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,connector_metrics/ObsPreprocessorConnector_ms,connector_metrics/StateBufferConnector_ms,connector_metrics/ViewRequirementAgentConnector_ms,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,sampler_results/sampler_perf/mean_raw_obs_processing_ms,sampler_results/sampler_perf/mean_inference_ms,sampler_results/sampler_perf/mean_action_processing_ms,sampler_results/sampler_perf/mean_env_wait_ms,sampler_results/sampler_perf/mean_env_render_ms,sampler_results/connector_metrics/ObsPreprocessorConnector_ms,sampler_results/connector_metrics/StateBufferConnector_ms,sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-105794838.10887831,-105794838.10887831,-105794838.10887831,105408.0,1,0,1,0,0,4848768,4848768,4848768,4848768,105408,105408,486.5184635448406,486.5184635448406,4848768,105408,4848768,False,6,6,1db46_00000,2023-07-19_14-15-55,1689765355,216.6600799560547,2108.4618039131165,93557,MacBook-Air-Bulat-2.local,127.0.0.1,216.6600799560547,1,4848768,4848768,4848768,4848768,-105794838.10887831,-105794838.10887831,-105794838.10887831,105408.0,1,0,[-105794838.10887831],[105408],0.1723923909486486,0.2681484885946289,0.05668951854834826,0.7716600216533491,0.0,0.004220008850097656,0.00152587890625,0.04417896270751953,216657.741,135085.602,0.526,200413960.123,81555.845,1292.464,0.827,4848768,4848768,4848768,4848768,16.401623376623377,71.40454545454546,[-105794838.10887831],[105408],0.1723923909486486,0.2681484885946289,0.05668951854834826,0.7716600216533491,0.0,0.004220008850097656,0.00152587890625,0.04417896270751953,64.0,24705.5,24704.5,0.0,9.793830214521495,0.5695312499999999,0.0025573180571933983,10.422396125684404,0.04059480563886937,10.0,-3.246227465909253e-08,0.6703781632799725,14.021397524530457,0.0
-105794838.10887831,-120036974.62172385,-112915906.36530107,105408.0,1,0,1,0,0,4954176,4954176,4954176,4954176,105408,105408,492.20290925430857,492.20290925430857,4954176,105408,4954176,False,7,7,1db46_00000,2023-07-19_14-19-29,1689765569,214.15762305259705,2322.6194269657135,93557,MacBook-Air-Bulat-2.local,127.0.0.1,430.81770300865173,2,4954176,4954176,4954176,4954176,-105794838.10887831,-120036974.62172385,-112915906.36530107,105408.0,1,0,"[-105794838.10887831, -120036974.62172385]","[105408, 105408]",0.17224395402622586,0.2680749091993175,0.0566763182433116,0.7658215013722902,0.0,0.0031948089599609375,0.001430511474609375,0.0443577766418457,215406.651,133822.421,28.68,3675302.769,81539.647,1292.721,0.797,4954176,4954176,4954176,4954176,15.65148514851485,71.97260726072608,"[-105794838.10887831, -120036974.62172385]","[105408, 105408]",0.17224395402622586,0.2680749091993175,0.0566763182433116,0.7658215013722902,0.0,0.0031948089599609375,0.001430511474609375,0.0443577766418457,64.0,74115.5,24704.5,0.0,8.91025110452197,0.8542968749999995,0.0025573180571933983,10.09361860715916,0.020370843082056653,10.0,6.61550034301239e-08,0.08574041407716047,14.678598300533917,0.0
-105794838.10887831,-120036974.62172385,-114460964.91093855,105408.0,1,0,1,0,0,5059584,5059584,5059584,5059584,105408,105408,492.60380256166496,492.60380256166496,5059584,105408,5059584,False,8,8,1db46_00000,2023-07-19_14-23-03,1689765783,213.98297500610352,2536.602401971817,93557,MacBook-Air-Bulat-2.local,127.0.0.1,644.8006780147552,3,5059584,5059584,5059584,5059584,-105794838.10887831,-120036974.62172385,-114460964.91093855,105408.0,1,0,"[-105794838.10887831, -120036974.62172385, -117551082.00221351]","[105408, 105408, 105408]",0.17216323803013245,0.26816225180502107,0.05667094248487354,0.7622467954873066,0.0,0.0028212865193684897,0.0014781951904296875,0.04452069600423177,214931.527,133333.257,31.121,3387035.999,81551.028,1292.54,1.067,5059584,5059584,5059584,5059584,16.140594059405938,71.94257425742573,"[-105794838.10887831, -120036974.62172385, -117551082.00221351]","[105408, 105408, 105408]",0.17216323803013245,0.26816225180502107,0.05667094248487354,0.7622467954873066,0.0,0.0028212865193684897,0.0014781951904296875,0.04452069600423177,64.0,123525.5,24704.5,0.0,8.677546933591305,0.8542968749999995,0.0025573180571933983,10.074435626271041,0.018197627416329413,10.0,6.637214239105429e-08,0.06582957655476578,14.738639872422997,0.0
-105794838.10887831,-120036974.62172385,-114581093.00592329,105408.0,1,0,1,0,0,5164992,5164992,5164992,5164992,105408,105408,493.345171499467,493.345171499467,5164992,105408,5164992,False,9,9,1db46_00000,2023-07-19_14-26-37,1689765997,213.66155695915222,2750.2639589309692,93557,MacBook-Air-Bulat-2.local,127.0.0.1,858.4622349739075,4,5164992,5164992,5164992,5164992,-105794838.10887831,-120036974.62172385,-114581093.00592329,105408.0,1,0,"[-105794838.10887831, -120036974.62172385, -117551082.00221351, -114941477.29087754]","[105408, 105408, 105408, 105408]",0.1721734854205195,0.2683144995634492,0.05668876710399697,0.7590794040777029,0.0,0.002676248550415039,0.001519918441772461,0.04436373710632324,214613.575,132829.891,31.97,3297063.948,81735.64,1289.621,1.0,5164992,5164992,5164992,5164992,16.219141914191418,71.61650165016502,"[-105794838.10887831, -120036974.62172385, -117551082.00221351, -114941477.29087754]","[105408, 105408, 105408, 105408]",0.1721734854205195,0.2683144995634492,0.05668876710399697,0.7590794040777029,0.0,0.002676248550415039,0.001519918441772461,0.04436373710632324,64.0,172935.5,24704.5,0.0,8.719254191000557,0.8542968749999995,0.0025573180571933983,10.093299301093804,0.020718186321318728,10.0,1.0133151510084623e-08,0.08496006012410248,14.912116252765605,0.0
-105794838.10887831,-120036974.62172385,-114606101.70814356,105408.0,1,0,1,0,0,5270400,5270400,5270400,5270400,105408,105408,490.5706736978411,490.5706736978411,5270400,105408,5270400,False,10,10,1db46_00000,2023-07-19_14-30-12,1689766212,214.87003898620605,2965.1339979171753,93557,MacBook-Air-Bulat-2.local,127.0.0.1,1073.3322739601135,5,5270400,5270400,5270400,5270400,-105794838.10887831,-120036974.62172385,-114606101.70814356,105408.0,1,0,"[-105794838.10887831, -120036974.62172385, -117551082.00221351, -114941477.29087754, -114706136.51702465]","[105408, 105408, 105408, 105408, 105408]",0.17221890540326298,0.26856663142707404,0.05672337918889594,0.757114822816731,0.0,0.002574920654296875,0.001544952392578125,0.04445075988769531,214664.481,132916.446,37.529,2808694.279,81694.456,1290.271,0.955,5270400,5270400,5270400,5270400,16.972131147540985,72.61540983606557,"[-105794838.10887831, -120036974.62172385, -117551082.00221351, -114941477.29087754, -114706136.51702465]","[105408, 105408, 105408, 105408, 105408]",0.17221890540326298,0.26856663142707404,0.05672337918889594,0.757114822816731,0.0,0.002574920654296875,0.001544952392578125,0.04445075988769531,64.0,222345.5,24704.5,0.0,8.840988301326693,0.8542968749999995,0.0025573180571933983,10.077892068908467,0.02003721499337836,10.0,3.709457249227407e-08,0.0677221872025146,14.858491981639911,0.0
-105794838.10887831,-120036974.62172385,-113445595.70591073,105408.0,1,0,1,0,0,5375808,5375808,5375808,5375808,105408,105408,497.63977997950036,497.63977997950036,5375808,105408,5375808,False,11,11,1db46_00000,2023-07-19_14-33-44,1689766424,211.81745100021362,3176.951448917389,93557,MacBook-Air-Bulat-2.local,127.0.0.1,1285.1497249603271,6,5375808,5375808,5375808,5375808,-105794838.10887831,-120036974.62172385,-113445595.70591073,105408.0,1,0,"[-105794838.10887831, -120036974.62172385, -117551082.00221351, -114941477.29087754, -114706136.51702465, -107643065.69474646]","[105408, 105408, 105408, 105408, 105408, 105408]",0.17225648656594486,0.26870832354459523,0.05673859530992333,0.7549429502124063,0.0,0.0024875005086263022,0.0015457471211751301,0.04427035649617513,214189.709,132355.169,36.68,2873747.988,81781.699,1288.895,1.067,5375808,5375808,5375808,5375808,16.059136212624587,72.59202657807309,"[-105794838.10887831, -120036974.62172385, -117551082.00221351, -114941477.29087754, -114706136.51702465, -107643065.69474646]","[105408, 105408, 105408, 105408, 105408, 105408]",0.17225648656594486,0.26870832354459523,0.05673859530992333,0.7549429502124063,0.0,0.0024875005086263022,0.0015457471211751301,0.04427035649617513,64.0,271755.5,24704.5,0.0,8.555310184909516,0.8542968749999995,0.0025573180571933983,10.08125518416374,0.019175126487442927,10.0,-1.4548310382335782e-08,0.07266801247017594,14.461155773642284,0.0
-105794838.10887831,-120036974.62172385,-113175267.91981108,105408.0,1,0,1,0,0,5481216,5481216,5481216,5481216,105408,105408,490.4051399260582,490.4051399260582,5481216,105408,5481216,False,12,12,1db46_00000,2023-07-19_14-37-19,1689766639,214.94257879257202,3391.894027709961,93557,MacBook-Air-Bulat-2.local,127.0.0.1,1500.0923037528992,7,5481216,5481216,5481216,5481216,-105794838.10887831,-120036974.62172385,-113175267.91981108,105408.0,1,0,"[-105794838.10887831, -120036974.62172385, -117551082.00221351, -114941477.29087754, -114706136.51702465, -107643065.69474646, -111553301.20321326]","[105408, 105408, 105408, 105408, 105408, 105408, 105408]",0.17228811009913358,0.2688141694077308,0.0567509329334833,0.753323723299111,0.0,0.0024386814662388395,0.001559938703264509,0.04412106105259487,214296.983,132315.989,36.349,2899879.848,81928.549,1286.584,1.034,5481216,5481216,5481216,5481216,16.03421052631579,72.25032894736842,"[-105794838.10887831, -120036974.62172385, -117551082.00221351, -114941477.29087754, -114706136.51702465, -107643065.69474646, -111553301.20321326]","[105408, 105408, 105408, 105408, 105408, 105408, 105408]",0.17228811009913358,0.2688141694077308,0.0567509329334833,0.753323723299111,0.0,0.0024386814662388395,0.001559938703264509,0.04412106105259487,64.0,321165.5,24704.5,0.0,8.77821799291185,0.8542968749999995,0.0025573180571933983,10.071615170660445,0.02005827066874165,10.0,2.0628201288386554e-08,0.06035009773003385,14.613302745599057,0.0
-105794838.10887831,-120036974.62172385,-112479649.75120278,105408.0,1,0,1,0,0,5586624,5586624,5586624,5586624,105408,105408,509.75332452930337,509.75332452930337,5586624,105408,5586624,False,13,13,1db46_00000,2023-07-19_14-40-45,1689766845,206.78457713127136,3598.6786048412323,93557,MacBook-Air-Bulat-2.local,127.0.0.1,1706.8768808841705,8,5586624,5586624,5586624,5586624,-105794838.10887831,-120036974.62172385,-112479649.75120278,105408.0,1,0,"[-105794838.10887831, -120036974.62172385, -117551082.00221351, -114941477.29087754, -114706136.51702465, -107643065.69474646, -111553301.20321326, -107610322.57094465]","[105408, 105408, 105408, 105408, 105408, 105408, 105408, 105408]",0.1723132939624917,0.26889289066643085,0.05675787576233543,0.7508505338836838,0.0,0.002378225326538086,0.0015676021575927734,0.04419684410095215,213357.655,131254.809,35.501,2969128.108,82051.273,1284.66,1.014,5586624,5586624,5586624,5586624,15.959183673469388,72.1795918367347,"[-105794838.10887831, -120036974.62172385, -117551082.00221351, -114941477.29087754, -114706136.51702465, -107643065.69474646, -111553301.20321326, -107610322.57094465]","[105408, 105408, 105408, 105408, 105408, 105408, 105408, 105408]",0.1723132939624917,0.26889289066643085,0.05675787576233543,0.7508505338836838,0.0,0.002378225326538086,0.0015676021575927734,0.04419684410095215,64.0,370575.5,24704.5,0.0,8.519894223520145,0.8542968749999995,0.0025573180571933983,10.094074246111825,0.01892444920237101,10.0,4.2884944783750995e-08,0.0879668398751159,14.599812128437215,0.0
-105644048.85354552,-120036974.62172385,-111720138.54035197,105408.0,1,0,1,0,0,5692032,5692032,5692032,5692032,105408,105408,502.9366918002525,502.9366918002525,5692032,105408,5692032,False,14,14,1db46_00000,2023-07-19_14-44-15,1689767055,209.58705306053162,3808.265657901764,93557,MacBook-Air-Bulat-2.local,127.0.0.1,1916.4639339447021,9,5692032,5692032,5692032,5692032,-105644048.85354552,-120036974.62172385,-111720138.54035197,105408.0,1,0,"[-105794838.10887831, -120036974.62172385, -117551082.00221351, -114941477.29087754, -114706136.51702465, -107643065.69474646, -111553301.20321326, -107610322.57094465, -105644048.85354552]","[105408, 105408, 105408, 105408, 105408, 105408, 105408, 105408, 105408]",0.17234572619145064,0.26896005519012683,0.056767815674845484,0.7483994715191096,0.0,0.0023762385050455728,0.001568264431423611,0.0446266598171658,212938.472,130776.951,35.345,2982300.974,82110.131,1283.739,0.991,5692032,5692032,5692032,5692032,16.49023569023569,72.05589225589226,"[-105794838.10887831, -120036974.62172385, -117551082.00221351, -114941477.29087754, -114706136.51702465, -107643065.69474646, -111553301.20321326, -107610322.57094465, -105644048.85354552]","[105408, 105408, 105408, 105408, 105408, 105408, 105408, 105408, 105408]",0.17234572619145064,0.26896005519012683,0.056767815674845484,0.7483994715191096,0.0,0.0023762385050455728,0.001568264431423611,0.0446266598171658,64.0,419985.5,24704.5,0.0,8.683694352794788,0.8542968749999995,0.0025573180571933983,10.075407169594309,0.019832153421878683,10.0,9.84725187819295e-08,0.06505351742704917,14.565426294033017,0.0
-105097513.4841524,-120036974.62172385,-111057876.03473201,105408.0,1,0,1,0,0,5797440,5797440,5797440,5797440,105408,105408,433.04940104796435,433.04940104796435,5797440,105408,5797440,False,15,15,1db46_00000,2023-07-19_14-48-18,1689767298,243.413094997406,4051.67875289917,93557,MacBook-Air-Bulat-2.local,127.0.0.1,2159.877028942108,10,5797440,5797440,5797440,5797440,-105097513.4841524,-120036974.62172385,-111057876.03473201,105408.0,1,0,"[-105794838.10887831, -120036974.62172385, -117551082.00221351, -114941477.29087754, -114706136.51702465, -107643065.69474646, -111553301.20321326, -107610322.57094465, -105644048.85354552, -105097513.4841524]","[105408, 105408, 105408, 105408, 105408, 105408, 105408, 105408, 105408, 105408]",0.1723685695015123,0.2689992835194207,0.056776372744514414,0.7461736881414203,0.0,0.0023651123046875,0.0015878677368164062,0.04469156265258789,215985.494,130479.783,34.969,3014331.426,85454.233,1233.502,0.999,5797440,5797440,5797440,5797440,16.39536231884058,72.03942028985507,"[-105794838.10887831, -120036974.62172385, -117551082.00221351, -114941477.29087754, -114706136.51702465, -107643065.69474646, -111553301.20321326, -107610322.57094465, -105644048.85354552, -105097513.4841524]","[105408, 105408, 105408, 105408, 105408, 105408, 105408, 105408, 105408, 105408]",0.1723685695015123,0.2689992835194207,0.056776372744514414,0.7461736881414203,0.0,0.0023651123046875,0.0015878677368164062,0.04469156265258789,64.0,469395.5,24704.5,0.0,8.543283328312631,0.8542968749999995,0.0025573180571933983,10.084166999689314,0.01822849252936301,10.0,-3.2027996737231755e-08,0.07718453221484482,14.706748729938198,0.0
